id,name,institution,countryExpertise,continent,biome,repTree,cornBImp,cornBNImp,cornFImp,cornFNImp,wheatBImp,wheatBNImp,wheatFImp,wheatFNImp,soyBImp,soyBNImp,soyFImp,soyFNImp,policiesImp,policiesNImp
4,Dennis Garrity,ICRAF and the Global EverGreening Alliance,Many countries in Africa and Asia.,Africa,Tropical & Subtropical Dry Broadleaf Forests,Faidherbia albida,1;2;3;4;5;6;7;9,8,1;2;3;4;5;8;9,6;7,NA,NA,NA,NA,NA,NA,NA,NA,1;2;3;4;5;6,NA
5,Alain Ndoli,International Union for Conservation of Nature (IUCN),Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania,Africa,Tropical & Subtropical Moist Broadleaf Forests,Alnus Acuminata,3;1;5;2;4;6,7;8;9,1;3;4;2;5,6;7;8;9,NA,NA,NA,NA,NA,NA,NA,NA,2;4;5;1;6;3,NA
8,Huasen Xu,Hebei Agricultural University,China,Asia (includes Middle East),Temperate Broadleaf & Mixed Forests,Populus tomentosa,3;7;9;2;8,6;4;1,1;8,3;2;5;4;6;7;9,3;7;9;2,4;1;6;8,1;2;3,5;7;4;6;8;9,3;7;9;2,4;1;6;8,NA,NA,,NA
10,Eduardo Somarriba,CATIE,Latin America and the Caribbean,North/Central America (includes Caribbean),Tropical & Subtropical Moist Broadleaf Forests,Cordia alliodora,NA,1;3;2;4;9;5;6;7;8,NA,8;1;2;3;4;5;6;7;9,NA,NA,NA,NA,NA,NA,NA,NA,,3;5;4;6;1;2
11,Paramu Mafongoya,University of KwaZulu-Natal,Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa,Africa,Tropical & Subtropical Grasslands; Savannas; and Shrublands,Gliricidia sepium,Other,1;2;3;4;5;6;7;8;9,3;4;1,8;2;5;6;7;9,NA,NA,NA,NA,NA,NA,NA,NA,Other,1;2;3;4;5;6
14,Amit Kumar,Forest Research Institute Dehradun ,India ,Asia (includes Middle East),Temperate Broadleaf & Mixed Forests,Populus deltoides,5;4;1;6;3;8;7,2;9,1;2;3;4;5;7;8;9,NA,3;4;2;1;5;6,7;8;9,1;2;3;4;5;6;7,8;9,NA,NA,NA,NA,1;2;5;3;6,4
15,AthanaseMukuralinda ,CIFOR-ICRAF,Rwanda ,Africa,Tropical & Subtropical Moist Broadleaf Forests,Markhamia lutea ,5;4;3;2;1,6;7;8;9,9;8;7;6;5;4;3;2;1,NA,NA,NA,NA,NA,9;8;7;6;5;4;3;2;1,,9;8;7;6;5;4;3;2;1,,6;5;4;3;2;1,NA
16,Tesfaye Shiferaw Sida,CIMMYT,Ethiopia; Kenya; Tanzania; Rwanda,Africa,Temperate Grasslands; Savannas & Shrublands,Faidherbia albida,4;5;6;9;1;2;3;7;8,NA,3;4;8;5;9,1;2;6;7,4;5;6;9,1;2;3;7;8,3;4;5;8,1;2;6;7;9,NA,NA,NA,NA,1;2;3;4;5;6,NA
21,Andy Gordon,University of Guelph,Canada/other temperate countries,North/Central America (includes Caribbean),Temperate Broadleaf & Mixed Forests,sugar maple,1;2;3;4;5;6;7,8;9,NA,2;3;4;5;6;8;7;1;9,NA,1;3;4;5;6;7;2;8;9,1;2;3;4;5;6,7;8;9,3;1;4;5;6;7;2,8;9,1;2;3;4;5;6,7;8;9,1;2;3;4;5;6,NA
22,Alain Cogliastro,IRBV - Institut de Recherche en Biologie Végétale,southern Québec; Canada,North/Central America (includes Caribbean),Temperate Broadleaf & Mixed Forests,Quercus macrocarpa,4;5;6;2;8;3;7,1;9,3;4;5;2;1;6;7;8,9,NA,NA,NA,NA,NA,NA,NA,NA,3;6;5;2;1;4,NA
