ID,ANOVA,Name (First Last):,CONTINENT: Please select the continent you will address in this questionnaire.  Please select only one.  We welcome responses for multiple continents; however; as responses will likely vary by bio...,TreeAvgMatureHeight(M)R2,TreeAvgMatureWidth(M)R2,Tree Area (m2)RecalculatedR2,Crop,Biome,Clim,Veg,CS_Final1OptimalCropSpecificTotal TreeCover/ha (%) w/ Mechanization scaled across all cropland by level of mech(CY)GivenR2,Tha_2FinalOptimalAcrossAll CropsTrees/ha_GivenR2,AA_3FinalOptimalAcrossAllCrops%cover_GivenR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,Amit Kumar,Asia,18,2.25,4.2,Corn,TBMF,Tem,F,25%,772,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Huasen Xu,Asia,20,7.6,45.36459792,Corn,TBMF,Tem,F,40%,88,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,Pierluigi Paris,Europe,23,6.9,37.39280656,Corn,TBMF,Tem,F,13%,no data,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x1,1,Starry (based on VanVooren article),Europe,20,5,19.63495408,Corn,TBMF,Tem,F,10%,60,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,Alain Cogliastro,North/Central America (includes Caribbean),no data,11.5,103.8689071,Corn,TBMF,Tem,F,26%,37,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,Andy Gordon,North/Central America (includes Caribbean),no data,15,176.7145868,Corn,TBMF,Tem,F,75%,42,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,Harry Greene,North/Central America (includes Caribbean),,6.9,37.39280656,Corn,TBMF,Tem,F,62%,166,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Dennis Garrity,Africa,23,11.5,103.8689071,Corn,TrSDBF,Trop,F,100%,96,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,Peter O. Alele,Africa,no data,9.2,66.47610055,Corn,TrSDBF,Trop,F,100%,150,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2,2,Starry,North/Central America (includes Caribbean),23,4,12.56637061,Corn,TrSDBF,Trop,F,30%,225,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
