BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,sum
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,1.991752248491071E8
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,67707.8507499784
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,705891.3871518133
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,54175.6927566151
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,6992832.290559334
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,113770.04938043596
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,25827.397725096977
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,84424.31796919298
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,1331857.7813204771
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,890292.6311838483
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,1.890548786732712E7
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,0.0
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,519167.3139667571
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,328.317170271181
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,6.736268945932389
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,2956779.225012452
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,3.0183449198794294E7
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,1.6577310119063988E7
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,9.89482785118888E8
Temperate Conifer Forests,5.0,CHN,China,7432626.075266565
Montane Grasslands & Shrublands,10.0,CHN,China,5.297782474234653E7
Deserts & Xeric Shrublands,13.0,CHN,China,5466611.3526310725
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,6.322437136134047E7
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,1.134471988761579E8
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,58316.351069820084
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,3.319641302745181E7
Temperate Conifer Forests,5.0,JPN,Japan,1584777.6685728438
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,4713.889743499188
Temperate Conifer Forests,5.0,MNG,Mongolia,20188.53160744409
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,5100348.796622203
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,115.55531592165147
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,518195.3653387
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,268125.28830349294
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,5646.981467216487
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,185.6101294691481
Deserts & Xeric Shrublands,13.0,QAT,Qatar,5438.388697410561
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,1185.8457434965921
