BIOME_NAME,BIOME_NUM,NAME,ISO3,sum
"Temperate Grasslands, Savannas & Shrublands",8.0,French Southern and Antarctic Lands,ATF,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,Kazakhstan,KAZ,2.1870337322850314E8
Montane Grasslands & Shrublands,10.0,Kazakhstan,KAZ,52692.066676410126
Deserts & Xeric Shrublands,13.0,Kazakhstan,KAZ,185793.0574909318
Temperate Conifer Forests,5.0,Kazakhstan,KAZ,20269.937301772214
"Temperate Grasslands, Savannas & Shrublands",8.0,Tajikistan,TJK,6294714.436213971
Montane Grasslands & Shrublands,10.0,Tajikistan,TJK,18791.582132460888
Deserts & Xeric Shrublands,13.0,Tajikistan,TJK,7676.6990403492455
"Temperate Grasslands, Savannas & Shrublands",8.0,Turkmenistan,TKM,31115.775044872025
Montane Grasslands & Shrublands,10.0,Turkmenistan,TKM,900160.9720928912
Deserts & Xeric Shrublands,13.0,Turkmenistan,TKM,222633.37569884735
"Temperate Grasslands, Savannas & Shrublands",8.0,Uzbekistan,UZB,1.5023070774254305E7
Montane Grasslands & Shrublands,10.0,Uzbekistan,UZB,0.0
Deserts & Xeric Shrublands,13.0,Uzbekistan,UZB,142590.20176728637
Tropical & Subtropical Moist Broadleaf Forests,1.0,Hong Kong,HKG,11201.977042006918
Tropical & Subtropical Moist Broadleaf Forests,1.0,Macau,MAC,74.74107536989099
Tropical & Subtropical Moist Broadleaf Forests,1.0,Taiwan,TWN,3219690.8110831217
Temperate Broadleaf & Mixed Forests,4.0,North Korea,PRK,4.6303279842922784E7
Temperate Broadleaf & Mixed Forests,4.0,South Korea,KOR,2.2168138202948663E7
Temperate Broadleaf & Mixed Forests,4.0,China,CHN,1.208352063629891E9
Temperate Conifer Forests,5.0,China,CHN,6347932.655427131
Montane Grasslands & Shrublands,10.0,China,CHN,4.913118052076068E7
Deserts & Xeric Shrublands,13.0,China,CHN,2375197.467282502
Tropical & Subtropical Moist Broadleaf Forests,1.0,China,CHN,1.158215502927879E8
"Temperate Grasslands, Savannas & Shrublands",8.0,China,CHN,1.2948405677874498E8
Tropical & Subtropical Moist Broadleaf Forests,1.0,Japan,JPN,105968.46473985193
Temperate Broadleaf & Mixed Forests,4.0,Japan,JPN,2.36310094156969E7
Temperate Conifer Forests,5.0,Japan,JPN,1133617.1275440378
Deserts & Xeric Shrublands,13.0,Mongolia,MNG,120544.58773603791
Temperate Conifer Forests,5.0,Mongolia,MNG,93993.85625669645
"Temperate Grasslands, Savannas & Shrublands",8.0,Mongolia,MNG,1.0646768456837932E7
Montane Grasslands & Shrublands,10.0,Mongolia,MNG,11774.501802350856
"Mediterranean Forests, Woodlands & Scrub",12.0,Cyprus,CYP,194390.57232266295
"Mediterranean Forests, Woodlands & Scrub",12.0,Lebanon,LBN,225809.33261105727
Deserts & Xeric Shrublands,13.0,Kuwait,KWT,227.7062747551068
Deserts & Xeric Shrublands,13.0,Bahrain,BHR,0.0
Deserts & Xeric Shrublands,13.0,Qatar,QAT,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,United Arab Emirates,ARE,25.03302816703441
Deserts & Xeric Shrublands,13.0,United Arab Emirates,ARE,198.11638854317673
Temperate Broadleaf & Mixed Forests,4.0,Armenia,ARM,1729857.7667501196
"Temperate Grasslands, Savannas & Shrublands",8.0,Armenia,ARM,1919417.485033656
Deserts & Xeric Shrublands,13.0,Armenia,ARM,23.021666906976012
Temperate Broadleaf & Mixed Forests,4.0,Azerbaijan,AZE,5990180.67970641
"Temperate Grasslands, Savannas & Shrublands",8.0,Azerbaijan,AZE,336432.36112598464
Deserts & Xeric Shrublands,13.0,Azerbaijan,AZE,343100.340170648
Temperate Broadleaf & Mixed Forests,4.0,Georgia,GEO,6691551.936492264
"Temperate Grasslands, Savannas & Shrublands",8.0,Georgia,GEO,916637.1072164587
Deserts & Xeric Shrublands,13.0,Georgia,GEO,14673.03541324734
Deserts & Xeric Shrublands,13.0,Israel,ISR,4528.700066044138
"Temperate Grasslands, Savannas & Shrublands",8.0,Israel,ISR,10223.770640195875
"Mediterranean Forests, Woodlands & Scrub",12.0,Israel,ISR,845674.8232061641
Temperate Broadleaf & Mixed Forests,4.0,Iraq,IRQ,1994513.6922830895
"Temperate Grasslands, Savannas & Shrublands",8.0,Iraq,IRQ,59258.23207588123
"Mediterranean Forests, Woodlands & Scrub",12.0,Iraq,IRQ,16981.092941438274
Deserts & Xeric Shrublands,13.0,Iraq,IRQ,74427.19134111902
"Temperate Grasslands, Savannas & Shrublands",8.0,Jordan,JOR,31396.517648749053
"Mediterranean Forests, Woodlands & Scrub",12.0,Jordan,JOR,27114.98669667069
Deserts & Xeric Shrublands,13.0,Jordan,JOR,1994.0960606368185
"Temperate Grasslands, Savannas & Shrublands",8.0,Kyrgyzstan,KGZ,2591747.024275334
Montane Grasslands & Shrublands,10.0,Kyrgyzstan,KGZ,9907.81471995134
Temperate Conifer Forests,5.0,Kyrgyzstan,KGZ,3776.5855325526636
Deserts & Xeric Shrublands,13.0,Kyrgyzstan,KGZ,19979.312386117825
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,Oman,OMN,1499.5025190333172
Deserts & Xeric Shrublands,13.0,Oman,OMN,204.20818677355285
"Temperate Grasslands, Savannas & Shrublands",8.0,Oman,OMN,35.13144610405604
"Mediterranean Forests, Woodlands & Scrub",12.0,Gaza Strip,PSE,62130.07050119819
Deserts & Xeric Shrublands,13.0,Gaza Strip,PSE,887.2206210955466
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,Saudi Arabia,SAU,1519.08294806931
Deserts & Xeric Shrublands,13.0,Saudi Arabia,SAU,24642.75465681159
"Mediterranean Forests, Woodlands & Scrub",12.0,Saudi Arabia,SAU,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,Syria,SYR,920074.2763518663
"Mediterranean Forests, Woodlands & Scrub",12.0,Syria,SYR,1128905.6591964082
Deserts & Xeric Shrublands,13.0,Syria,SYR,4012.2599716833165
Temperate Broadleaf & Mixed Forests,4.0,Turkey,TUR,7.325493748925667E7
Temperate Conifer Forests,5.0,Turkey,TUR,9091172.186939545
"Temperate Grasslands, Savannas & Shrublands",8.0,Turkey,TUR,1.1740148708068028E7
"Mediterranean Forests, Woodlands & Scrub",12.0,Turkey,TUR,1.2915039616505323E7
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,Yemen,YEM,631991.7450210948
Deserts & Xeric Shrublands,13.0,Yemen,YEM,208334.02307986259
Tropical & Subtropical Moist Broadleaf Forests,1.0,British Indian Ocean Territory,IOT,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,Maldives,MDV,0.0
Montane Grasslands & Shrublands,10.0,Afghanistan,AFG,295103.4433151309
Deserts & Xeric Shrublands,13.0,Afghanistan,AFG,132554.8712524675
Temperate Conifer Forests,5.0,Afghanistan,AFG,63378.6586455944
