BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,sum
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,2.4788935922852787E8
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,1.1640672285056446E7
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,1.676936348007081E8
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,848423.1942512635
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,7145655.336308988
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,108827.25480841669
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,174727.40881797322
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,717442.0056099226
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,7536541.766355411
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,1.6352079858844258E7
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,2.1971085498797014E7
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,374110.86461983866
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,1.0985706466437163E7
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,123356.22330075064
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,0.0
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,0.0
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,2.519766434250787E8
Temperate Conifer Forests,5.0,CHN,China,1.1493041288260318E8
Montane Grasslands & Shrublands,10.0,CHN,China,6.656632988532754E8
Deserts & Xeric Shrublands,13.0,CHN,China,3.5998274774840355E7
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,2.2082102014914167E8
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,2.629384653764042E8
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,0.0
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,0.0
Temperate Conifer Forests,5.0,JPN,Japan,0.0
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,5.338044649447901E7
Temperate Conifer Forests,5.0,MNG,Mongolia,7.44963021996628E7
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,3.119111740372806E8
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,5.192882643795101E7
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,0.0
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,43370.61706672006
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,0.0
Deserts & Xeric Shrublands,13.0,QAT,Qatar,28502.377883318666
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,0.0
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,66999.07930546028
Temperate Broadleaf & Mixed Forests,4.0,ARM,Armenia,782286.7132228657
"Temperate Grasslands, Savannas & Shrublands",8.0,ARM,Armenia,665159.821917623
Deserts & Xeric Shrublands,13.0,ARM,Armenia,0.0
Temperate Broadleaf & Mixed Forests,4.0,AZE,Azerbaijan,2823193.778612782
"Temperate Grasslands, Savannas & Shrublands",8.0,AZE,Azerbaijan,867114.4822367069
Deserts & Xeric Shrublands,13.0,AZE,Azerbaijan,568128.0375941811
Temperate Broadleaf & Mixed Forests,4.0,GEO,Georgia,1.117052515219655E7
"Temperate Grasslands, Savannas & Shrublands",8.0,GEO,Georgia,151710.32584716874
Deserts & Xeric Shrublands,13.0,GEO,Georgia,119846.456209211
Deserts & Xeric Shrublands,13.0,ISR,Israel,33229.28713226126
"Temperate Grasslands, Savannas & Shrublands",8.0,ISR,Israel,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,ISR,Israel,0.0
Temperate Broadleaf & Mixed Forests,4.0,IRQ,Iraq,528919.55061271
"Temperate Grasslands, Savannas & Shrublands",8.0,IRQ,Iraq,580830.495017183
"Mediterranean Forests, Woodlands & Scrub",12.0,IRQ,Iraq,0.0
Deserts & Xeric Shrublands,13.0,IRQ,Iraq,516524.4890625822
"Temperate Grasslands, Savannas & Shrublands",8.0,JOR,Jordan,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,JOR,Jordan,26144.66671986865
Deserts & Xeric Shrublands,13.0,JOR,Jordan,67821.42288844993
"Temperate Grasslands, Savannas & Shrublands",8.0,KGZ,Kyrgyzstan,2.345376802107234E7
Montane Grasslands & Shrublands,10.0,KGZ,Kyrgyzstan,2.0908062665324245E7
Temperate Conifer Forests,5.0,KGZ,Kyrgyzstan,2352646.4862867747
Deserts & Xeric Shrublands,13.0,KGZ,Kyrgyzstan,243.51539269016567
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,OMN,Oman,70431.86416425856
Deserts & Xeric Shrublands,13.0,OMN,Oman,452624.3767767667
"Temperate Grasslands, Savannas & Shrublands",8.0,OMN,Oman,10615.597093919374
"Mediterranean Forests, Woodlands & Scrub",12.0,PSE,Palestina,0.0
Deserts & Xeric Shrublands,13.0,PSE,Palestina,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SAU,Saudi Arabia,0.0
Deserts & Xeric Shrublands,13.0,SAU,Saudi Arabia,453048.029205974
"Mediterranean Forests, Woodlands & Scrub",12.0,SAU,Saudi Arabia,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,SYR,Syria,3916900.188027461
"Mediterranean Forests, Woodlands & Scrub",12.0,SYR,Syria,1145175.7135292455
Deserts & Xeric Shrublands,13.0,SYR,Syria,1105381.7759626212
Temperate Broadleaf & Mixed Forests,4.0,TUR,Turkey,2.1247932586607695E7
Temperate Conifer Forests,5.0,TUR,Turkey,4104847.2483930434
"Temperate Grasslands, Savannas & Shrublands",8.0,TUR,Turkey,4628016.12911794
"Mediterranean Forests, Woodlands & Scrub",12.0,TUR,Turkey,2447207.2218093746
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,YEM,Yemen,1.3602415938101167E7
Deserts & Xeric Shrublands,13.0,YEM,Yemen,1.5553842525152043E7
Tropical & Subtropical Moist Broadleaf Forests,1.0,IOT,British Indian Ocean Territory,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MDV,Maldives,0.0
Montane Grasslands & Shrublands,10.0,AFG,Afghanistan,3.442970746281789E7
Deserts & Xeric Shrublands,13.0,AFG,Afghanistan,2.1039204062824257E7
Temperate Conifer Forests,5.0,AFG,Afghanistan,5026458.114909956
"Temperate Grasslands, Savannas & Shrublands",8.0,AFG,Afghanistan,1741660.8287549475
Tropical & Subtropical Moist Broadleaf Forests,1.0,BGD,Bangladesh,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BGD,Bangladesh,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,BTN,Bhutan,0.0
Tropical & Subtropical Coniferous Forests,3.0,BTN,Bhutan,0.0
Temperate Broadleaf & Mixed Forests,4.0,BTN,Bhutan,17.455506104076612
Temperate Conifer Forests,5.0,BTN,Bhutan,84126.3587015258
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BTN,Bhutan,0.0
Montane Grasslands & Shrublands,10.0,BTN,Bhutan,1040402.1639002819
Tropical & Subtropical Moist Broadleaf Forests,1.0,IND,India,257569.55159875593
Tropical & Subtropical Dry Broadleaf Forests,2.0,IND,India,53557.640024354456
Deserts & Xeric Shrublands,13.0,IND,India,39638.35077026183
Tropical & Subtropical Coniferous Forests,3.0,IND,India,1383712.7615903968
Temperate Broadleaf & Mixed Forests,4.0,IND,India,3631528.683494454
Temperate Conifer Forests,5.0,IND,India,878766.5033611582
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,IND,India,0.0
Montane Grasslands & Shrublands,10.0,IND,India,2618410.437520993
Temperate Broadleaf & Mixed Forests,4.0,IRN,Iran,1.0591004864777923E8
Temperate Conifer Forests,5.0,IRN,Iran,1.663619272603023E7
"Temperate Grasslands, Savannas & Shrublands",8.0,IRN,Iran,7881022.305987194
Deserts & Xeric Shrublands,13.0,IRN,Iran,1.5345825099256784E7
Montane Grasslands & Shrublands,10.0,IRN,Iran,1.4521526761559065E7
Tropical & Subtropical Moist Broadleaf Forests,1.0,LKA,Sri Lanka,0.0
Tropical & Subtropical Dry Broadleaf Forests,2.0,LKA,Sri Lanka,0.0
Deserts & Xeric Shrublands,13.0,LKA,Sri Lanka,5018.929385477201
Tropical & Subtropical Moist Broadleaf Forests,1.0,NPL,Nepal,95575.9095899022
Tropical & Subtropical Coniferous Forests,3.0,NPL,Nepal,57841.345202384124
Temperate Broadleaf & Mixed Forests,4.0,NPL,Nepal,585895.0993359417
Temperate Conifer Forests,5.0,NPL,Nepal,66573.34632701764
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,NPL,Nepal,0.0
Montane Grasslands & Shrublands,10.0,NPL,Nepal,146647.2612098636
Tropical & Subtropical Moist Broadleaf Forests,1.0,PAK,Pakistan,0.0
Temperate Conifer Forests,5.0,PAK,Pakistan,77047.48023425575
Montane Grasslands & Shrublands,10.0,PAK,Pakistan,701508.2149822885
Deserts & Xeric Shrublands,13.0,PAK,Pakistan,920217.9756247
Tropical & Subtropical Coniferous Forests,3.0,PAK,Pakistan,0.0
Temperate Broadleaf & Mixed Forests,4.0,PAK,Pakistan,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,CXR,Christmas Island,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,CCK,Cocos Islands,0.0
Tropical & Subtropical Dry Broadleaf Forests,2.0,TLS,East Timor,222149.39525416045
Tropical & Subtropical Moist Broadleaf Forests,1.0,BRN,Brunei,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,SGP,Singapore,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,S--,Spratly islands,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,P--,Paracel Islands,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,IDN,Indonesia,730205.7172270784
Tropical & Subtropical Dry Broadleaf Forests,2.0,IDN,Indonesia,2267759.6914272853
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,IDN,Indonesia,0.0
Montane Grasslands & Shrublands,10.0,IDN,Indonesia,55149.58296724741
Tropical & Subtropical Coniferous Forests,3.0,IDN,Indonesia,10.745247702169419
Tropical & Subtropical Moist Broadleaf Forests,1.0,KHM,Cambodia,11608.009296742563
Tropical & Subtropical Dry Broadleaf Forests,2.0,KHM,Cambodia,283182.66479162057
Tropical & Subtropical Moist Broadleaf Forests,1.0,LAO,Laos,54384.03490099555
Tropical & Subtropical Dry Broadleaf Forests,2.0,LAO,Laos,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MMR,Myanmar,0.0
Tropical & Subtropical Coniferous Forests,3.0,MMR,Myanmar,0.0
Tropical & Subtropical Dry Broadleaf Forests,2.0,MMR,Myanmar,0.0
Temperate Broadleaf & Mixed Forests,4.0,MMR,Myanmar,0.0
Temperate Conifer Forests,5.0,MMR,Myanmar,0.0
Montane Grasslands & Shrublands,10.0,MMR,Myanmar,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MYS,Malaysia,251129.41724584164
Montane Grasslands & Shrublands,10.0,MYS,Malaysia,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MYS,Malaysia,0.0
