BIOME_NAME,BIOME_NUM,NAME,ISO3,sum
"Temperate Grasslands, Savannas & Shrublands",8.0,French Southern and Antarctic Lands,ATF,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,Kazakhstan,KAZ,2532538.8145120996
Montane Grasslands & Shrublands,10.0,Kazakhstan,KAZ,132934.59851604092
Deserts & Xeric Shrublands,13.0,Kazakhstan,KAZ,5929285.54068239
Temperate Conifer Forests,5.0,Kazakhstan,KAZ,6415.070011836312
"Temperate Grasslands, Savannas & Shrublands",8.0,Tajikistan,TJK,67516.39334739
Montane Grasslands & Shrublands,10.0,Tajikistan,TJK,1232.1327439266431
Deserts & Xeric Shrublands,13.0,Tajikistan,TJK,4721.964057220728
"Temperate Grasslands, Savannas & Shrublands",8.0,Turkmenistan,TKM,3238.8918616269266
Montane Grasslands & Shrublands,10.0,Turkmenistan,TKM,43079.357670169404
Deserts & Xeric Shrublands,13.0,Turkmenistan,TKM,217370.1247738871
"Temperate Grasslands, Savannas & Shrublands",8.0,Uzbekistan,UZB,204859.31622153718
Montane Grasslands & Shrublands,10.0,Uzbekistan,UZB,3651.1128793273206
Deserts & Xeric Shrublands,13.0,Uzbekistan,UZB,208856.8170387436
Tropical & Subtropical Moist Broadleaf Forests,1.0,Hong Kong,HKG,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,Macau,MAC,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,Taiwan,TWN,0.8653686011538786
Temperate Broadleaf & Mixed Forests,4.0,North Korea,PRK,0.0
Temperate Broadleaf & Mixed Forests,4.0,South Korea,KOR,0.0
Temperate Broadleaf & Mixed Forests,4.0,China,CHN,841657.1275018064
Temperate Conifer Forests,5.0,China,CHN,1049718.061820095
Montane Grasslands & Shrublands,10.0,China,CHN,8074873.702204705
Deserts & Xeric Shrublands,13.0,China,CHN,963540.0794158352
Tropical & Subtropical Moist Broadleaf Forests,1.0,China,CHN,572238.4963167459
"Temperate Grasslands, Savannas & Shrublands",8.0,China,CHN,2713385.136838969
Tropical & Subtropical Moist Broadleaf Forests,1.0,Japan,JPN,0.0
Temperate Broadleaf & Mixed Forests,4.0,Japan,JPN,0.0
Temperate Conifer Forests,5.0,Japan,JPN,0.0
Deserts & Xeric Shrublands,13.0,Mongolia,MNG,1642046.5740169785
Temperate Conifer Forests,5.0,Mongolia,MNG,665513.2847775053
"Temperate Grasslands, Savannas & Shrublands",8.0,Mongolia,MNG,3645300.6546045137
Montane Grasslands & Shrublands,10.0,Mongolia,MNG,684563.8373193244
"Mediterranean Forests, Woodlands & Scrub",12.0,Cyprus,CYP,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,Lebanon,LBN,0.0
Deserts & Xeric Shrublands,13.0,Kuwait,KWT,27.315350666437713
Deserts & Xeric Shrublands,13.0,Bahrain,BHR,0.0
Deserts & Xeric Shrublands,13.0,Qatar,QAT,5.9940480395859375
"Temperate Grasslands, Savannas & Shrublands",8.0,United Arab Emirates,ARE,0.0
Deserts & Xeric Shrublands,13.0,United Arab Emirates,ARE,21.963057223137685
Temperate Broadleaf & Mixed Forests,4.0,Armenia,ARM,5377.873977334048
"Temperate Grasslands, Savannas & Shrublands",8.0,Armenia,ARM,6124.838363735842
Deserts & Xeric Shrublands,13.0,Armenia,ARM,0.0
Temperate Broadleaf & Mixed Forests,4.0,Azerbaijan,AZE,17317.89647253439
"Temperate Grasslands, Savannas & Shrublands",8.0,Azerbaijan,AZE,7526.851687753076
Deserts & Xeric Shrublands,13.0,Azerbaijan,AZE,22592.07934377196
Temperate Broadleaf & Mixed Forests,4.0,Georgia,GEO,97306.50353259286
"Temperate Grasslands, Savannas & Shrublands",8.0,Georgia,GEO,1766.4100955692434
Deserts & Xeric Shrublands,13.0,Georgia,GEO,6706.303334324927
Deserts & Xeric Shrublands,13.0,Israel,ISR,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,Israel,ISR,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,Israel,ISR,0.0
Temperate Broadleaf & Mixed Forests,4.0,Iraq,IRQ,2919.4681581451623
"Temperate Grasslands, Savannas & Shrublands",8.0,Iraq,IRQ,1073.0111930918808
"Mediterranean Forests, Woodlands & Scrub",12.0,Iraq,IRQ,0.0
Deserts & Xeric Shrublands,13.0,Iraq,IRQ,533.707863378558
"Temperate Grasslands, Savannas & Shrublands",8.0,Jordan,JOR,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,Jordan,JOR,111.01821406904232
Deserts & Xeric Shrublands,13.0,Jordan,JOR,4.893663305891502
"Temperate Grasslands, Savannas & Shrublands",8.0,Kyrgyzstan,KGZ,237752.3343496473
Montane Grasslands & Shrublands,10.0,Kyrgyzstan,KGZ,252287.1657231459
Temperate Conifer Forests,5.0,Kyrgyzstan,KGZ,19276.53498835099
Deserts & Xeric Shrublands,13.0,Kyrgyzstan,KGZ,8.117908268582589
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,Oman,OMN,696.2475264625784
Deserts & Xeric Shrublands,13.0,Oman,OMN,3655.1844786706074
"Temperate Grasslands, Savannas & Shrublands",8.0,Oman,OMN,0.03196737626019646
"Mediterranean Forests, Woodlands & Scrub",12.0,Gaza Strip,PSE,0.0
Deserts & Xeric Shrublands,13.0,Gaza Strip,PSE,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,Saudi Arabia,SAU,0.0
Deserts & Xeric Shrublands,13.0,Saudi Arabia,SAU,70.59541428580002
"Mediterranean Forests, Woodlands & Scrub",12.0,Saudi Arabia,SAU,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,Syria,SYR,3723.194218388859
"Mediterranean Forests, Woodlands & Scrub",12.0,Syria,SYR,6327.535107309493
Deserts & Xeric Shrublands,13.0,Syria,SYR,1928.8320666390518
Temperate Broadleaf & Mixed Forests,4.0,Turkey,TUR,148955.12198287708
Temperate Conifer Forests,5.0,Turkey,TUR,29738.976945422943
"Temperate Grasslands, Savannas & Shrublands",8.0,Turkey,TUR,51780.09343524838
"Mediterranean Forests, Woodlands & Scrub",12.0,Turkey,TUR,23209.710557320217
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,Yemen,YEM,63109.62251844007
Deserts & Xeric Shrublands,13.0,Yemen,YEM,120531.5270885309
Tropical & Subtropical Moist Broadleaf Forests,1.0,British Indian Ocean Territory,IOT,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,Maldives,MDV,0.0
Montane Grasslands & Shrublands,10.0,Afghanistan,AFG,311598.8281813845
Deserts & Xeric Shrublands,13.0,Afghanistan,AFG,578166.7510402104
Temperate Conifer Forests,5.0,Afghanistan,AFG,29075.3791635496
"Temperate Grasslands, Savannas & Shrublands",8.0,Afghanistan,AFG,17352.66390248347
Tropical & Subtropical Moist Broadleaf Forests,1.0,Bangladesh,BGD,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,Bangladesh,BGD,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,Bhutan,BTN,0.0
Tropical & Subtropical Coniferous Forests,3.0,Bhutan,BTN,0.0
Temperate Broadleaf & Mixed Forests,4.0,Bhutan,BTN,0.0
Temperate Conifer Forests,5.0,Bhutan,BTN,437.7015916823187
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,Bhutan,BTN,0.0
Montane Grasslands & Shrublands,10.0,Bhutan,BTN,8298.16456568468
Tropical & Subtropical Moist Broadleaf Forests,1.0,India,IND,12.451537215008456
Tropical & Subtropical Dry Broadleaf Forests,2.0,India,IND,22.229126178283323
Deserts & Xeric Shrublands,13.0,India,IND,482.4891285310707
Tropical & Subtropical Coniferous Forests,3.0,India,IND,2224.2732886248855
Temperate Broadleaf & Mixed Forests,4.0,India,IND,23989.358582050776
