ISO3,COUNTRY,BIOME_NAME,BIOME_NUM,sum
ATF,French Southern Territories,"Temperate Grasslands, Savannas & Shrublands",8.0,0.0
KAZ,Kazakhstan,"Temperate Grasslands, Savannas & Shrublands",8.0,1.961316452152183E11
KAZ,Kazakhstan,Montane Grasslands & Shrublands,10.0,7.69290573321246E7
KAZ,Kazakhstan,Deserts & Xeric Shrublands,13.0,9.485424664052801E9
KAZ,Kazakhstan,Temperate Conifer Forests,5.0,1.0568135756834719E8
TJK,Tajikistan,"Temperate Grasslands, Savannas & Shrublands",8.0,7.682982469597596E9
TJK,Tajikistan,Montane Grasslands & Shrublands,10.0,1.310435180042622E8
TJK,Tajikistan,Deserts & Xeric Shrublands,13.0,8.882075031818094E8
TKM,Turkmenistan,"Temperate Grasslands, Savannas & Shrublands",8.0,6.393069302110269E7
TKM,Turkmenistan,Montane Grasslands & Shrublands,10.0,1.4980490703150988E9
TKM,Turkmenistan,Deserts & Xeric Shrublands,13.0,1.7057601801494696E10
UZB,Uzbekistan,"Temperate Grasslands, Savannas & Shrublands",8.0,2.927907307225998E10
UZB,Uzbekistan,Montane Grasslands & Shrublands,10.0,0.0
UZB,Uzbekistan,Deserts & Xeric Shrublands,13.0,1.984516596562715E10
HKG,Hong Kong,Tropical & Subtropical Moist Broadleaf Forests,1.0,538748.817114976
MAC,Macao,Tropical & Subtropical Moist Broadleaf Forests,1.0,9121.169799804688
TWN,Taiwan,Tropical & Subtropical Moist Broadleaf Forests,1.0,3.142201776777364E9
PRK,North Korea,Temperate Broadleaf & Mixed Forests,4.0,1.8786362856980774E10
KOR,South Korea,Temperate Broadleaf & Mixed Forests,4.0,1.1052869178028471E10
CHN,China,Temperate Broadleaf & Mixed Forests,4.0,7.495236486229376E11
CHN,China,Temperate Conifer Forests,5.0,1.3712512286962294E10
CHN,China,Montane Grasslands & Shrublands,10.0,4.75440330256622E10
CHN,China,Deserts & Xeric Shrublands,13.0,7.007213749391508E10
CHN,China,Tropical & Subtropical Moist Broadleaf Forests,1.0,9.14245988045847E10
CHN,China,"Temperate Grasslands, Savannas & Shrublands",8.0,1.1828955544078711E11
