ISO3,COUNTRY,BIOME_NAME,BIOME_NUM,sum
ATF,French Southern Territories,"Temperate Grasslands, Savannas & Shrublands",8.0,0.0
KAZ,Kazakhstan,"Temperate Grasslands, Savannas & Shrublands",8.0,2.060489137435135E11
KAZ,Kazakhstan,Montane Grasslands & Shrublands,10.0,7.700824453561582E7
KAZ,Kazakhstan,Deserts & Xeric Shrublands,13.0,1.0786998440741991E10
KAZ,Kazakhstan,Temperate Conifer Forests,5.0,1.0566333225694582E8
TJK,Tajikistan,"Temperate Grasslands, Savannas & Shrublands",8.0,1.0196982275426003E10
TJK,Tajikistan,Montane Grasslands & Shrublands,10.0,1.3114358573902184E8
TJK,Tajikistan,Deserts & Xeric Shrublands,13.0,6.375081757505915E8
TKM,Turkmenistan,"Temperate Grasslands, Savannas & Shrublands",8.0,2.6640135328879234E8
TKM,Turkmenistan,Montane Grasslands & Shrublands,10.0,3.1104796588782225E9
TKM,Turkmenistan,Deserts & Xeric Shrublands,13.0,2.1038575184616524E10
UZB,Uzbekistan,"Temperate Grasslands, Savannas & Shrublands",8.0,3.8142260173390175E10
UZB,Uzbekistan,Montane Grasslands & Shrublands,10.0,0.0
UZB,Uzbekistan,Deserts & Xeric Shrublands,13.0,1.3505049843649847E10
HKG,Hong Kong,Tropical & Subtropical Moist Broadleaf Forests,1.0,445367.73218347883
MAC,Macao,Tropical & Subtropical Moist Broadleaf Forests,1.0,9121.169799804688
TWN,Taiwan,Tropical & Subtropical Moist Broadleaf Forests,1.0,3.0610790632220893E9
PRK,North Korea,Temperate Broadleaf & Mixed Forests,4.0,1.8811503493789032E10
KOR,South Korea,Temperate Broadleaf & Mixed Forests,4.0,1.105606188453843E10
CHN,China,Temperate Broadleaf & Mixed Forests,4.0,7.581278471003627E11
CHN,China,Temperate Conifer Forests,5.0,1.368786129493309E10
CHN,China,Montane Grasslands & Shrublands,10.0,5.745536401122826E10
CHN,China,Deserts & Xeric Shrublands,13.0,7.069193941369373E10
CHN,China,Tropical & Subtropical Moist Broadleaf Forests,1.0,8.369267497010544E10
CHN,China,"Temperate Grasslands, Savannas & Shrublands",8.0,1.2617925911681631E11
JPN,Japan,Tropical & Subtropical Moist Broadleaf Forests,1.0,5.154216955119533E7
JPN,Japan,Temperate Broadleaf & Mixed Forests,4.0,2.4997497476214302E10
JPN,Japan,Temperate Conifer Forests,5.0,3.8042952311723957E9
MNG,Mongolia,Deserts & Xeric Shrublands,13.0,3.599892470592041E7
MNG,Mongolia,Temperate Conifer Forests,5.0,2.9870892733093742E7
MNG,Mongolia,"Temperate Grasslands, Savannas & Shrublands",8.0,5.430044973601907E9
MNG,Mongolia,Montane Grasslands & Shrublands,10.0,107346.62347914751
CYP,Cyprus,"Mediterranean Forests, Woodlands & Scrub",12.0,2.560411563623165E9
LBN,Lebanon,"Mediterranean Forests, Woodlands & Scrub",12.0,1.035378498229018E9
KWT,Kuwait,Deserts & Xeric Shrublands,13.0,9.885882358457653E7
BHR,Bahrain,Deserts & Xeric Shrublands,13.0,2333193.356278483
QAT,Qatar,Deserts & Xeric Shrublands,13.0,6.65123448604564E7
ARE,United Arab Emirates,"Temperate Grasslands, Savannas & Shrublands",8.0,2566871.466234873
ARE,United Arab Emirates,Deserts & Xeric Shrublands,13.0,1.0275861800325665E8
ARM,Armenia,Temperate Broadleaf & Mixed Forests,4.0,1.5598499016839583E9
ARM,Armenia,"Temperate Grasslands, Savannas & Shrublands",8.0,2.0965845964181104E9
ARM,Armenia,Deserts & Xeric Shrublands,13.0,12782.773873123468
AZE,Azerbaijan,Temperate Broadleaf & Mixed Forests,4.0,3.6075813661254582E9
AZE,Azerbaijan,"Temperate Grasslands, Savannas & Shrublands",8.0,5.809163056429367E8
AZE,Azerbaijan,Deserts & Xeric Shrublands,13.0,8.796911464568735E9
GEO,Georgia,Temperate Broadleaf & Mixed Forests,4.0,1.7058389742926683E9
GEO,Georgia,"Temperate Grasslands, Savannas & Shrublands",8.0,3.0489048978574914E8
GEO,Georgia,Deserts & Xeric Shrublands,13.0,2.6650389558437884E8
ISR,Israel,Deserts & Xeric Shrublands,13.0,1.1175233179572349E9
ISR,Israel,"Temperate Grasslands, Savannas & Shrublands",8.0,1.8988698015205175E7
ISR,Israel,"Mediterranean Forests, Woodlands & Scrub",12.0,3.0164551800573087E9
IRQ,Iraq,Temperate Broadleaf & Mixed Forests,4.0,5.883681930193023E9
IRQ,Iraq,"Temperate Grasslands, Savannas & Shrublands",8.0,1.824399607440536E10
IRQ,Iraq,"Mediterranean Forests, Woodlands & Scrub",12.0,9.383680034452832E8
IRQ,Iraq,Deserts & Xeric Shrublands,13.0,3.2390894310862473E10
JOR,Jordan,"Temperate Grasslands, Savannas & Shrublands",8.0,1.0294523975777482E9
JOR,Jordan,"Mediterranean Forests, Woodlands & Scrub",12.0,1.170795604856872E9
JOR,Jordan,Deserts & Xeric Shrublands,13.0,3.7605750369773954E8
KGZ,Kyrgyzstan,"Temperate Grasslands, Savannas & Shrublands",8.0,1.0625036652880362E10
KGZ,Kyrgyzstan,Montane Grasslands & Shrublands,10.0,3.2316030206361985E8
KGZ,Kyrgyzstan,Temperate Conifer Forests,5.0,2.893398863870341E8
KGZ,Kyrgyzstan,Deserts & Xeric Shrublands,13.0,2.658096103040638E9
OMN,Oman,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,0.0
OMN,Oman,Deserts & Xeric Shrublands,13.0,2.6657171571602377E8
OMN,Oman,"Temperate Grasslands, Savannas & Shrublands",8.0,3.5699011692081705E7
PSE,Palestina,"Mediterranean Forests, Woodlands & Scrub",12.0,6.48369454975896E8
PSE,Palestina,Deserts & Xeric Shrublands,13.0,1.053647773242451E8
SAU,Saudi Arabia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,1.8577466822068878E7
SAU,Saudi Arabia,Deserts & Xeric Shrublands,13.0,1.2962454151298855E10
SAU,Saudi Arabia,"Mediterranean Forests, Woodlands & Scrub",12.0,58457.09915819355
SYR,Syria,"Temperate Grasslands, Savannas & Shrublands",8.0,2.023257462425979E10
