BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,mean
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,19.883280332480297
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,19.53360211823679
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,4.996306470437448
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,24.259834036916672
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,19.79467043138642
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,19.852537986149827
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,5.015420286310096
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,19.99918731764165
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,19.953798816166255
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,4.9996020402311645
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,19.74063500675646
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,19.96082406997733
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,4.9971363493868735
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,28.3345584702604
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,33.593775031153946
Temperate Conifer Forests,5.0,CHN,China,24.859027256988195
Montane Grasslands & Shrublands,10.0,CHN,China,19.93758535653954
Deserts & Xeric Shrublands,13.0,CHN,China,4.996644492216696
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,28.412011657964708
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,19.94281089412702
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,
Temperate Conifer Forests,5.0,JPN,Japan,
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,4.9971979541525355
Temperate Conifer Forests,5.0,MNG,Mongolia,25.11322316377589
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,19.811407743536563
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,19.89662282577658
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,5.0
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,
Deserts & Xeric Shrublands,13.0,QAT,Qatar,5.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,5.0
Temperate Broadleaf & Mixed Forests,4.0,ARM,Armenia,34.77443169690379
"Temperate Grasslands, Savannas & Shrublands",8.0,ARM,Armenia,19.9171571177043
Deserts & Xeric Shrublands,13.0,ARM,Armenia,
Temperate Broadleaf & Mixed Forests,4.0,AZE,Azerbaijan,34.131165577479024
"Temperate Grasslands, Savannas & Shrublands",8.0,AZE,Azerbaijan,19.969848308276692
Deserts & Xeric Shrublands,13.0,AZE,Azerbaijan,4.854687743034457
Temperate Broadleaf & Mixed Forests,4.0,GEO,Georgia,34.711550388711395
"Temperate Grasslands, Savannas & Shrublands",8.0,GEO,Georgia,19.670274538906384
Deserts & Xeric Shrublands,13.0,GEO,Georgia,4.792788554735349
Deserts & Xeric Shrublands,13.0,ISR,Israel,5.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ISR,Israel,
"Mediterranean Forests, Woodlands & Scrub",12.0,ISR,Israel,
Temperate Broadleaf & Mixed Forests,4.0,IRQ,Iraq,34.92577030766724
"Temperate Grasslands, Savannas & Shrublands",8.0,IRQ,Iraq,19.99967271769039
"Mediterranean Forests, Woodlands & Scrub",12.0,IRQ,Iraq,
Deserts & Xeric Shrublands,13.0,IRQ,Iraq,5.0022274665310436
"Temperate Grasslands, Savannas & Shrublands",8.0,JOR,Jordan,
"Mediterranean Forests, Woodlands & Scrub",12.0,JOR,Jordan,22.998524215881172
Deserts & Xeric Shrublands,13.0,JOR,Jordan,5.000479877788996
"Temperate Grasslands, Savannas & Shrublands",8.0,KGZ,Kyrgyzstan,19.61584271100146
Montane Grasslands & Shrublands,10.0,KGZ,Kyrgyzstan,19.884295129256042
Temperate Conifer Forests,5.0,KGZ,Kyrgyzstan,24.877809788521045
Deserts & Xeric Shrublands,13.0,KGZ,Kyrgyzstan,4.882399879229658
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,OMN,Oman,26.916322004550224
Deserts & Xeric Shrublands,13.0,OMN,Oman,5.005264375422134
"Temperate Grasslands, Savannas & Shrublands",8.0,OMN,Oman,19.88149524491691
"Mediterranean Forests, Woodlands & Scrub",12.0,PSE,Palestina,
Deserts & Xeric Shrublands,13.0,PSE,Palestina,
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SAU,Saudi Arabia,
Deserts & Xeric Shrublands,13.0,SAU,Saudi Arabia,5.0
"Mediterranean Forests, Woodlands & Scrub",12.0,SAU,Saudi Arabia,
"Temperate Grasslands, Savannas & Shrublands",8.0,SYR,Syria,19.999751666268075
"Mediterranean Forests, Woodlands & Scrub",12.0,SYR,Syria,22.892141541460372
Deserts & Xeric Shrublands,13.0,SYR,Syria,5.008368791337711
Temperate Broadleaf & Mixed Forests,4.0,TUR,Turkey,34.78338695916862
Temperate Conifer Forests,5.0,TUR,Turkey,24.556694725745018
"Temperate Grasslands, Savannas & Shrublands",8.0,TUR,Turkey,19.932441797503305
"Mediterranean Forests, Woodlands & Scrub",12.0,TUR,Turkey,22.797428773470877
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,YEM,Yemen,26.826853453352122
Deserts & Xeric Shrublands,13.0,YEM,Yemen,4.998014144745011
Tropical & Subtropical Moist Broadleaf Forests,1.0,IOT,British Indian Ocean Territory,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MDV,Maldives,
Montane Grasslands & Shrublands,10.0,AFG,Afghanistan,19.96677508216129
Deserts & Xeric Shrublands,13.0,AFG,Afghanistan,5.0000543977912955
Temperate Conifer Forests,5.0,AFG,Afghanistan,25.10866628734911
"Temperate Grasslands, Savannas & Shrublands",8.0,AFG,Afghanistan,19.948560533401746
Tropical & Subtropical Moist Broadleaf Forests,1.0,BGD,Bangladesh,
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BGD,Bangladesh,
Tropical & Subtropical Moist Broadleaf Forests,1.0,BTN,Bhutan,
Tropical & Subtropical Coniferous Forests,3.0,BTN,Bhutan,
Temperate Broadleaf & Mixed Forests,4.0,BTN,Bhutan,35.0
Temperate Conifer Forests,5.0,BTN,Bhutan,24.49294582583893
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BTN,Bhutan,
Montane Grasslands & Shrublands,10.0,BTN,Bhutan,19.818100440440322
Tropical & Subtropical Moist Broadleaf Forests,1.0,IND,India,25.36080552349614
Tropical & Subtropical Dry Broadleaf Forests,2.0,IND,India,17.240606830730517
Deserts & Xeric Shrublands,13.0,IND,India,4.8367212988497
Tropical & Subtropical Coniferous Forests,3.0,IND,India,26.623283203222833
Temperate Broadleaf & Mixed Forests,4.0,IND,India,34.52863440854414
Temperate Conifer Forests,5.0,IND,India,24.769065929804835
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,IND,India,
Montane Grasslands & Shrublands,10.0,IND,India,19.79601149665908
Temperate Broadleaf & Mixed Forests,4.0,IRN,Iran,34.964174527710874
Temperate Conifer Forests,5.0,IRN,Iran,25.129568741421025
"Temperate Grasslands, Savannas & Shrublands",8.0,IRN,Iran,19.996802977074527
Deserts & Xeric Shrublands,13.0,IRN,Iran,5.007447476519156
Montane Grasslands & Shrublands,10.0,IRN,Iran,19.971941799130022
Tropical & Subtropical Moist Broadleaf Forests,1.0,LKA,Sri Lanka,
Tropical & Subtropical Dry Broadleaf Forests,2.0,LKA,Sri Lanka,
Deserts & Xeric Shrublands,13.0,LKA,Sri Lanka,4.328943681703558
Tropical & Subtropical Moist Broadleaf Forests,1.0,NPL,Nepal,30.232315879310274
Tropical & Subtropical Coniferous Forests,3.0,NPL,Nepal,26.878944088100575
Temperate Broadleaf & Mixed Forests,4.0,NPL,Nepal,34.43600901723426
Temperate Conifer Forests,5.0,NPL,Nepal,24.643038923949906
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,NPL,Nepal,
Montane Grasslands & Shrublands,10.0,NPL,Nepal,19.81833981534789
Tropical & Subtropical Moist Broadleaf Forests,1.0,PAK,Pakistan,
Temperate Conifer Forests,5.0,PAK,Pakistan,24.16009433972383
Montane Grasslands & Shrublands,10.0,PAK,Pakistan,19.446210682793378
Deserts & Xeric Shrublands,13.0,PAK,Pakistan,4.991954678363328
Tropical & Subtropical Coniferous Forests,3.0,PAK,Pakistan,
Temperate Broadleaf & Mixed Forests,4.0,PAK,Pakistan,
Tropical & Subtropical Moist Broadleaf Forests,1.0,CXR,Christmas Island,
Tropical & Subtropical Moist Broadleaf Forests,1.0,CCK,Cocos Islands,
Tropical & Subtropical Dry Broadleaf Forests,2.0,TLS,East Timor,20.8719980630589
Tropical & Subtropical Moist Broadleaf Forests,1.0,BRN,Brunei,
Tropical & Subtropical Moist Broadleaf Forests,1.0,SGP,Singapore,
Tropical & Subtropical Moist Broadleaf Forests,1.0,S--,Spratly islands,
Tropical & Subtropical Moist Broadleaf Forests,1.0,P--,Paracel Islands,
Tropical & Subtropical Moist Broadleaf Forests,1.0,IDN,Indonesia,29.251753128140788
Tropical & Subtropical Dry Broadleaf Forests,2.0,IDN,Indonesia,21.430153886102605
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,IDN,Indonesia,
Montane Grasslands & Shrublands,10.0,IDN,Indonesia,19.66086898285773
Tropical & Subtropical Coniferous Forests,3.0,IDN,Indonesia,28.3
Tropical & Subtropical Moist Broadleaf Forests,1.0,KHM,Cambodia,24.406318480642806
Tropical & Subtropical Dry Broadleaf Forests,2.0,KHM,Cambodia,18.542618490224093
Tropical & Subtropical Moist Broadleaf Forests,1.0,LAO,Laos,28.845601069078537
Tropical & Subtropical Dry Broadleaf Forests,2.0,LAO,Laos,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MMR,Myanmar,
Tropical & Subtropical Coniferous Forests,3.0,MMR,Myanmar,
Tropical & Subtropical Dry Broadleaf Forests,2.0,MMR,Myanmar,
Temperate Broadleaf & Mixed Forests,4.0,MMR,Myanmar,
Temperate Conifer Forests,5.0,MMR,Myanmar,
Montane Grasslands & Shrublands,10.0,MMR,Myanmar,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MYS,Malaysia,30.58357395292879
Montane Grasslands & Shrublands,10.0,MYS,Malaysia,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MYS,Malaysia,
Montane Grasslands & Shrublands,10.0,MYS,Malaysia,
Tropical & Subtropical Moist Broadleaf Forests,1.0,PHL,Philippines,
Tropical & Subtropical Coniferous Forests,3.0,PHL,Philippines,
Tropical & Subtropical Moist Broadleaf Forests,1.0,THA,Thailand,
Tropical & Subtropical Dry Broadleaf Forests,2.0,THA,Thailand,
Tropical & Subtropical Moist Broadleaf Forests,1.0,VNM,Vietnam,31.20275682897105
Tropical & Subtropical Dry Broadleaf Forests,2.0,VNM,Vietnam,
