GID_0,mean
ABW,
AFG,5.430047137536195
AGO,20.531585685413265
AIA,2.2857142857142856
ALA,16.910520530025344
ALB,5.51933787364267
AND,27.35349733952255
ARE,2.8409165036105675
ARG,21.259759090555953
ARM,26.784339775614058
ASM,
ATA,
ATF,
ATG,
AUS,15.481331942384596
AUT,27.60618535171778
AZE,11.289957719141622
BDI,11.528628604714465
BEL,27.27783752356336
BEN,21.498909198145146
BES,
BFA,23.597904860940165
BGD,7.71741584235322
BGR,29.302004630334253
BHR,
BHS,5.798444355803724
BIH,25.136110906095702
BLM,
BLR,28.85652576798463
BLZ,5.682649767357161
BMU,
BOL,24.676868960437513
BRA,13.538291468188321
BRB,
BRN,4.743484130572977
BTN,19.446524320474055
BVT,
BWA,22.648103953091347
CAF,16.727550577611645
CAN,25.05848202650849
CCK,
CHE,25.112034138251374
CHL,10.739684287218527
CHN,24.526577808536427
CIV,18.37887822070743
CMR,21.010407011770315
COD,13.993777117682358
COG,17.46737041141172
COK,
COL,18.340663432271704
COM,
CPV,
CRI,18.090488602086896
CUB,22.916658394650838
CUW,
CXR,
CYM,26.197916666666668
CYP,7.899637179114461
CZE,28.217776501424865
DEU,26.577801136874015
DJI,
DMA,
DNK,24.412054481261226
DOM,7.956132413289589
DZA,8.085654142677766
ECU,17.894853780787415
EGY,3.2293419673253547
ERI,24.6927562938683
ESH,
ESP,9.121749735538415
EST,23.15131709660351
ETH,18.255618102526416
FIN,19.689796574992872
FJI,
FLK,
FRA,28.0038277762939
FRO,
FSM,
GAB,14.525897490178869
GBR,23.512446871752754
GEO,23.269607305462383
GGY,20.005730866684956
GHA,21.026179712524595
GIB,6.527777777777778
GIN,18.60095596972698
GLP,
GMB,23.494719450182426
GNB,17.98515645250125
GNQ,11.0
GRC,9.062946508348949
GRD,
GRL,
GTM,17.52504485684229
GUF,4.6
GUM,
GUY,8.607599893369688
HKG,7.429707473225729
HMD,
HND,22.134514294306886
HRV,27.392839098218218
HTI,14.867416076378195
HUN,29.66649302738578
IDN,9.23221902860701
IMN,16.935107810698042
IND,21.890535110349308
IOT,
IRL,19.638204668275737
IRN,22.56637646086473
IRQ,12.054936166562527
ISL,
ISR,7.803505196231016
ITA,15.174741522673079
JAM,19.43288401715966
JEY,22.202346096727467
JOR,11.686564018672746
JPN,20.754082210215568
KAZ,25.182401971739168
KEN,15.254544625984272
KGZ,20.570677322958414
KHM,26.546001717772917
KIR,
KNA,
KOR,26.198664326874926
KWT,2.9964944649446497
LAO,27.1985081939532
LBN,7.013365370625076
LBR,13.049576269239529
LBY,8.470779058178957
LCA,
LIE,17.116143296422166
LKA,28.07801747231304
LSO,24.63253503583236
LTU,27.072530163378907
LUX,25.718186494629872
LVA,24.3769583707901
MAC,
MAF,1.5
MAR,8.459388412435905
MCO,
MDA,27.16695154692252
MDG,19.992342988565603
MDV,
MEX,18.870092014460006
MHL,
MKD,28.424228568335977
MLI,23.449206867972737
MLT,8.346020652310791
MMR,18.914025818555128
MNE,6.672518230272968
MNG,24.93636178329878
MNP,
MOZ,15.65137113898397
MRT,24.061169418932526
MSR,
MTQ,
MUS,
MWI,20.66918903225116
MYS,6.005544110301005
MYT,10.4
NAM,22.819532479915544
NCL,
NER,24.120832742085753
NFK,
NGA,23.01804911391904
NIC,23.34577063783091
NIU,
NLD,21.57959699081927
NOR,15.860629115060462
NPL,15.643574151598942
NRU,
NZL,15.97595228178079
OMN,1.9514254170479586
PAK,3.3841201813706427
PAN,22.256377852657657
PCN,
PER,17.14057195714576
PHL,5.808138377333314
PLW,
PNG,7.9702204611345735
POL,29.34766921965374
PRI,22.732610206351087
PRK,29.31808687926671
PRT,7.8284019819686845
PRY,8.874145826004987
PSE,8.087947314278797
PYF,
QAT,
REU,
ROU,28.254651049163545
RUS,24.64407097654101
RWA,13.026903707076015
SAU,3.0696560966681603
SDN,21.762387586363438
SEN,23.8687997965971
SGP,12.109017863009583
SGS,
SHN,
SJM,
SLB,
SLE,11.06968656152576
SLV,19.48518192897613
SMR,4.117263381075799
SOM,20.593075092190336
SPM,
SRB,30.02090608222693
SSD,18.461804276572888
STP,
SUR,7.67960413625692
SVK,28.746126391214986
SVN,24.103236538399777
SWE,22.01610279434162
SWZ,14.404331233097576
SXM,
SYC,
SYR,12.54673267712924
TCA,
TCD,21.677322700199593
TGO,21.106584730269425
THA,30.925521838130393
TJK,23.807568086101444
TKL,
TKM,4.447375182253521
TLS,29.803294316369893
TON,
TTO,19.593781721530554
TUN,9.73058828871052
TUR,21.0790407237718
TUV,
TWN,10.073925344218239
TZA,20.44969934742225
UGA,11.790560157534356
UKR,24.41793471880102
UMI,
URY,16.330098805296966
USA,24.38046560130711
UZB,17.95244804530035
VAT,
VCT,
VEN,16.01347913798942
VGB,
VIR,1.875
VNM,16.407635669975722
VUT,8.0
WLF,
WSM,
XAD,7.8746385285172185
XCA,25.842277793863197
XCL,
XKO,30.1831795701075
XNC,7.9730133856488505
XPI,
XSP,
YEM,6.653231084024345
ZAF,19.84353272263271
ZMB,19.234340678054984
ZWE,22.63432479373505
