GID_0,mean
ABW,
AFG,8.79463682685256
AGO,16.451358157862497
AIA,
ALA,
ALB,21.89456684067028
AND,28.149574227697883
ARE,5.0
ARG,16.613571307893356
ARM,24.276450915318556
ASM,
ATA,
ATF,
ATG,
AUS,14.290887929572898
AUT,21.43080170152157
AZE,16.434216524842125
BDI,21.097917047602724
BEL,32.70375248736857
BEN,23.643048453143678
BES,
BFA,23.435199347230203
BGD,
BGR,30.914029324678513
BHR,
BHS,
BIH,23.545609805235813
BLM,
BLR,33.331602029787156
BLZ,
BMU,
BOL,17.573864856937792
BRA,22.54672947107699
BRB,
BRN,
BTN,16.23132940594036
BVT,
BWA,12.083532930646042
CAF,20.12065444369363
CAN,19.053098604932334
CCK,
CHE,22.21530358021862
CHL,19.063273345944978
CHN,18.481202255175564
CIV,16.969615327698314
CMR,22.334648086848052
COD,17.423108103518995
COG,21.075637247509448
COK,
COL,14.936094145752689
COM,
CPV,
CRI,16.86401139598576
CUB,13.578032438011313
CUW,
CXR,
CYM,
CYP,
CZE,
DEU,31.131393957004917
DJI,4.588527034693379
DMA,
DNK,
DOM,19.365513467629903
DZA,11.42980069145294
ECU,11.890747681841129
EGY,4.99447665331571
ERI,21.313566507116203
ESH,4.999975802966257
ESP,23.993858937523083
EST,
ETH,19.90635262084806
FIN,
FJI,
FLK,
FRA,24.82577429234328
FRO,
FSM,
GAB,23.635508728711066
GBR,26.545688347708715
GEO,27.92599093391726
GGY,
GHA,19.929960476013246
GIB,
GIN,17.107852835187433
GLP,
GMB,25.845904208212367
GNB,15.813336122707126
GNQ,
GRC,19.04252506639078
GRD,
GRL,
GTM,16.320183387654055
GUF,
GUM,
GUY,21.167596373085818
HKG,
HMD,
HND,12.289658829994538
HRV,24.836617151446386
HTI,28.116552734073597
HUN,34.56199541784857
IDN,14.699803109799841
IMN,
IND,20.717576663721676
IOT,
IRL,30.767410313965627
IRN,19.282654435627247
IRQ,10.000387918249993
ISL,
ISR,5.0
ITA,21.854165477744253
JAM,
JEY,
JOR,5.813523319527053
JPN,
KAZ,8.150962809038829
KEN,25.04856048274657
KGZ,18.482428912119484
KHM,9.530305281116918
KIR,
KNA,
KOR,
KWT,5.0
LAO,20.80778023196232
LBN,
LBR,
LBY,6.098622351188348
LCA,
LIE,
LKA,0.5414123801220575
LSO,20.67865891479401
LTU,
LUX,
LVA,
MAC,
MAF,
MAR,20.445430975870277
MCO,
MDA,
MDG,18.434165658108235
MDV,
MEX,7.948838003122687
MHL,
MKD,30.03469874666835
MLI,25.413944697940362
MLT,
MMR,
MNE,27.79865522711112
MNG,14.926203277155176
MNP,
MOZ,18.574466999869056
MRT,26.586120268378963
MSR,
MTQ,
MUS,
MWI,16.15928147390783
MYS,17.35489434120238
MYT,
NAM,10.28161402185045
NCL,
NER,25.819426842819865
NFK,
NGA,23.337583005085833
NIC,14.378109788727233
NIU,
NLD,30.621265335991954
NOR,21.909226500763673
NPL,20.91441800223685
NRU,
NZL,14.651231307438806
OMN,5.528158376755859
PAK,6.546033824218704
PAN,15.223013432897986
PCN,
PER,16.954187707839747
PHL,
PLW,
PNG,
POL,29.26152863862826
PRI,
PRK,
PRT,19.921707127592835
PRY,17.324038758369966
PSE,
PYF,
QAT,5.0
REU,
ROU,25.42209011008411
RUS,13.154860205990266
RWA,21.07620909036212
SAU,4.999994499022408
SDN,24.914937467088276
SEN,24.57183942498999
SGP,
SGS,
SHN,
SJM,
SLB,
SLE,16.235377162415958
SLV,13.777071713179524
SMR,
SOM,23.00902170458291
SPM,
SRB,29.75582758987658
SSD,18.585512576075377
STP,
SUR,
SVK,23.03430237344103
SVN,29.45238636764551
SWE,27.519217989722367
SWZ,20.509195872311132
SXM,
SYC,
SYR,13.421971843022968
TCA,
TCD,23.0014759310774
TGO,19.80935315220547
THA,
TJK,18.008128512224523
TKL,
TKM,6.544837961660861
TLS,12.032755889212075
TON,
TTO,
TUN,12.008733659594304
TUR,27.83551259358963
TUV,
TWN,21.11794341385293
TZA,20.55587045416353
UGA,16.886497731492273
UKR,23.482223061543365
UMI,
URY,21.28668858738624
USA,11.946102497477224
UZB,9.012502203472849
VAT,
VCT,
VEN,14.367311254532146
VGB,
VIR,
VNM,22.465350411803346
VUT,
WLF,
WSM,
XAD,
XCA,17.18314319578486
XCL,
XKO,26.96066109672528
XNC,
XPI,
XSP,
YEM,7.550369731906693
ZAF,10.651449169907286
ZMB,14.88217079893276
ZWE,19.834019291314505
