BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,mean
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,26.05752845451547
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,23.81973460430202
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,2.201054898128075
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,15.454048780170575
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,25.904456726449325
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,23.73662676917022
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,1.302395825391821
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,27.403050796165623
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,27.11718511425897
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,2.4644827562050935
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,25.333408612994997
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,1.4068523022345403
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,6.084402945500998
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,8.636363636363637
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,9.811990075338858
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,29.325311746470305
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,26.20148248026754
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,28.04500393705599
Temperate Conifer Forests,5.0,CHN,China,14.032796146833467
Montane Grasslands & Shrublands,10.0,CHN,China,25.77689864793674
Deserts & Xeric Shrublands,13.0,CHN,China,2.0443703721447744
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,8.53173518134348
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,24.477436210384628
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,9.246598506522833
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,22.937388352552276
Temperate Conifer Forests,5.0,JPN,Japan,6.85948863136099
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,2.6342520804545444
Temperate Conifer Forests,5.0,MNG,Mongolia,16.30368210885964
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,25.115393409330043
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,25.578191311593113
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,9.220848592201179
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,7.746326795707157
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,3.9141586075763573
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,4.0
Deserts & Xeric Shrublands,13.0,QAT,Qatar,4.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,27.655918607316746
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,3.9578106004019142
Temperate Broadleaf & Mixed Forests,4.0,ARM,Armenia,30.847724203719036
"Temperate Grasslands, Savannas & Shrublands",8.0,ARM,Armenia,23.752055435952705
Deserts & Xeric Shrublands,13.0,ARM,Armenia,0.6117552561170496
Temperate Broadleaf & Mixed Forests,4.0,AZE,Azerbaijan,30.668531611180864
"Temperate Grasslands, Savannas & Shrublands",8.0,AZE,Azerbaijan,26.17496930001773
Deserts & Xeric Shrublands,13.0,AZE,Azerbaijan,1.1102132663437887
Temperate Broadleaf & Mixed Forests,4.0,GEO,Georgia,27.485857836930197
"Temperate Grasslands, Savannas & Shrublands",8.0,GEO,Georgia,18.91336295638598
Deserts & Xeric Shrublands,13.0,GEO,Georgia,0.2832892034490473
Deserts & Xeric Shrublands,13.0,ISR,Israel,3.894597182271071
"Temperate Grasslands, Savannas & Shrublands",8.0,ISR,Israel,25.729629122045488
"Mediterranean Forests, Woodlands & Scrub",12.0,ISR,Israel,8.255472617508463
Temperate Broadleaf & Mixed Forests,4.0,IRQ,Iraq,35.32256609130283
"Temperate Grasslands, Savannas & Shrublands",8.0,IRQ,Iraq,27.66395499746473
"Mediterranean Forests, Woodlands & Scrub",12.0,IRQ,Iraq,9.733555394859254
Deserts & Xeric Shrublands,13.0,IRQ,Iraq,3.918152778294277
"Temperate Grasslands, Savannas & Shrublands",8.0,JOR,Jordan,27.586900369507127
"Mediterranean Forests, Woodlands & Scrub",12.0,JOR,Jordan,9.660795687990564
Deserts & Xeric Shrublands,13.0,JOR,Jordan,3.8945287332326166
"Temperate Grasslands, Savannas & Shrublands",8.0,KGZ,Kyrgyzstan,24.878305908366794
Montane Grasslands & Shrublands,10.0,KGZ,Kyrgyzstan,24.019863781187198
Temperate Conifer Forests,5.0,KGZ,Kyrgyzstan,15.15425364218557
Deserts & Xeric Shrublands,13.0,KGZ,Kyrgyzstan,1.8962514059841231
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,OMN,Oman,
Deserts & Xeric Shrublands,13.0,OMN,Oman,3.9492969310326336
"Temperate Grasslands, Savannas & Shrublands",8.0,OMN,Oman,27.66131662889602
"Mediterranean Forests, Woodlands & Scrub",12.0,PSE,Palestina,9.316622317854005
Deserts & Xeric Shrublands,13.0,PSE,Palestina,3.872148584595841
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SAU,Saudi Arabia,24.917307838141138
Deserts & Xeric Shrublands,13.0,SAU,Saudi Arabia,3.986043562549063
"Mediterranean Forests, Woodlands & Scrub",12.0,SAU,Saudi Arabia,9.619353955652889
"Temperate Grasslands, Savannas & Shrublands",8.0,SYR,Syria,27.555770112438104
"Mediterranean Forests, Woodlands & Scrub",12.0,SYR,Syria,9.332396935290564
Deserts & Xeric Shrublands,13.0,SYR,Syria,3.8703364520730683
Temperate Broadleaf & Mixed Forests,4.0,TUR,Turkey,33.93467603409196
Temperate Conifer Forests,5.0,TUR,Turkey,17.122514599594425
"Temperate Grasslands, Savannas & Shrublands",8.0,TUR,Turkey,26.65536371538651
"Mediterranean Forests, Woodlands & Scrub",12.0,TUR,Turkey,7.54907234437477
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,YEM,Yemen,22.33950874888438
Deserts & Xeric Shrublands,13.0,YEM,Yemen,3.367242821253497
Tropical & Subtropical Moist Broadleaf Forests,1.0,IOT,British Indian Ocean Territory,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MDV,Maldives,
