BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,mean
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,20.0
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,20.0
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,20.0
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,5.001356509287639
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,25.19263795873308
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,20.0
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,20.0
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,5.032367743642481
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,20.0
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,20.0
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,5.000806715833132
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,19.999999995277946
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,20.0
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,5.000614039621707
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,31.25
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,31.25
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,31.25
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,35.0
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,35.0
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,35.0
Temperate Conifer Forests,5.0,CHN,China,25.200669804415593
Montane Grasslands & Shrublands,10.0,CHN,China,20.000862268349096
Deserts & Xeric Shrublands,13.0,CHN,China,5.002200858156443
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,31.250049436788096
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,20.001371281746426
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,31.25
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,35.0
Temperate Conifer Forests,5.0,JPN,Japan,25.211195079210494
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,5.000000001209869
Temperate Conifer Forests,5.0,MNG,Mongolia,25.190737522123097
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,19.99901399481984
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,20.002876845517477
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,23.0
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,23.0
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,5.0
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,5.0
Deserts & Xeric Shrublands,13.0,QAT,Qatar,5.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,20.0
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,5.001501481476266
Temperate Broadleaf & Mixed Forests,4.0,ARM,Armenia,35.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ARM,Armenia,20.012059769294503
Deserts & Xeric Shrublands,13.0,ARM,Armenia,6.114954704337005
Temperate Broadleaf & Mixed Forests,4.0,AZE,Azerbaijan,34.999999924060965
"Temperate Grasslands, Savannas & Shrublands",8.0,AZE,Azerbaijan,20.005349649873843
Deserts & Xeric Shrublands,13.0,AZE,Azerbaijan,5.008283753622219
Temperate Broadleaf & Mixed Forests,4.0,GEO,Georgia,35.0
"Temperate Grasslands, Savannas & Shrublands",8.0,GEO,Georgia,20.01261250972909
Deserts & Xeric Shrublands,13.0,GEO,Georgia,5.016545842343145
Deserts & Xeric Shrublands,13.0,ISR,Israel,5.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ISR,Israel,19.974868160263867
"Mediterranean Forests, Woodlands & Scrub",12.0,ISR,Israel,22.997121789414617
Temperate Broadleaf & Mixed Forests,4.0,IRQ,Iraq,35.0
"Temperate Grasslands, Savannas & Shrublands",8.0,IRQ,Iraq,20.002932246542606
"Mediterranean Forests, Woodlands & Scrub",12.0,IRQ,Iraq,23.00093682252051
Deserts & Xeric Shrublands,13.0,IRQ,Iraq,5.000588323571472
"Temperate Grasslands, Savannas & Shrublands",8.0,JOR,Jordan,20.000015970675637
"Mediterranean Forests, Woodlands & Scrub",12.0,JOR,Jordan,22.994340566592737
Deserts & Xeric Shrublands,13.0,JOR,Jordan,5.005290142702215
"Temperate Grasslands, Savannas & Shrublands",8.0,KGZ,Kyrgyzstan,19.999999989817482
Montane Grasslands & Shrublands,10.0,KGZ,Kyrgyzstan,20.0
Temperate Conifer Forests,5.0,KGZ,Kyrgyzstan,25.18816424750484
