GID_0,mean
ABW,5.0
AFG,8.117153857884245
AGO,25.708246427437988
AIA,5.0
ALA,35.0
ALB,24.075528573660126
AND,35.0
ARE,5.735716332735461
ARG,22.26623567423345
ARM,27.771051462863408
ASM,31.25
ATA,
ATF,17.24106523670855
ATG,10.135367705493513
AUS,16.64783238440692
AUT,29.361102383310893
AZE,16.327868235625143
BDI,29.312565462069376
BEL,35.0
BEN,26.9706977337692
BES,7.032479289797241
BFA,26.91666667
BGD,31.2452319192552
BGR,34.908845622804364
BHR,5.0
BHS,28.3
BIH,33.895955499956074
BLM,
BLR,35.0
BLZ,30.62767013296204
BMU,28.3
BOL,26.057643257357626
BRA,29.107059117677125
BRB,5.0
BRN,31.25
BTN,29.22000436026707
BVT,
BWA,13.288614035026313
CAF,27.368642353929424
CAN,27.218344850137218
CCK,31.25
CHE,29.435672331426275
CHL,26.199512723205675
CHN,22.78282361425214
CIV,28.920790926638343
CMR,29.205715359257336
COD,29.0662258243343
COG,29.843135139852844
COK,31.25
COL,29.30884290996933
COM,31.25
CPV,23.33333333
CRI,30.27498012148022
CUB,24.837531919221856
CUW,5.0
CXR,31.25
CYM,23.33333333
CYP,23.0
CZE,34.81840304087121
DEU,34.91153503241555
DJI,5.0
DMA,26.07973433770339
DNK,35.0
DOM,29.10299541973839
DZA,7.847537654193084
ECU,28.930622380736885
EGY,5.075132066332412
ERI,17.020272686765868
ESH,5.144424096035853
ESP,24.849155952567344
EST,35.0
ETH,22.74316163352053
FIN,35.0
FJI,28.216338609152924
FLK,20.0
FRA,33.29857293627221
FRO,20.0
FSM,30.045717876419413
GAB,30.472296798762518
GBR,34.04062211981087
GEO,30.851691256632186
GGY,35.0
GHA,28.358506351321466
GIB,23.0
GIN,27.76729621862975
GLP,17.810833498918658
GMB,26.91666667
GNB,26.91666667
GNQ,31.25
GRC,24.208433192117216
GRD,27.669416017165187
GRL,
GTM,29.33492750066787
GUF,31.25
GUM,23.33333333
GUY,30.971709773856894
HKG,31.25
HMD,
HND,28.413645505215513
HRV,32.19467298348833
HTI,29.125716706287264
HUN,35.0
IDN,30.874573276030567
IMN,35.0
IND,22.136692367577183
IOT,31.25
IRL,35.0
IRN,15.393499850299612
IRQ,8.740688105805718
ISL,
ISR,12.103122427001955
ITA,25.855255253900715
JAM,29.56935689428207
JEY,35.0
JOR,9.283021981886634
JPN,33.3216098518596
KAZ,11.720426720281376
KEN,27.44964620352396
KGZ,19.971757046970975
KHM,26.065027965630062
KIR,31.25
KNA,26.695470149876723
KOR,35.0
KWT,5.0
LAO,29.837921780397963
LBN,23.0
LBR,31.243349680705823
LBY,5.745477435204993
LCA,27.136609267501175
LIE,28.055750338075356
LKA,24.574485100229808
LSO,24.765913065302257
LTU,35.0
LUX,35.0
LVA,35.0
MAC,31.25
MAF,5.0
MAR,19.15222649542851
MCO,
MDA,31.664791664741216
MDG,23.58399677019484
MDV,31.25
MEX,17.868843502506117
MHL,31.25
MKD,32.365089389091565
MLI,18.993977387882214
MLT,23.0
MMR,30.751718204704826
MNE,31.35584842182276
MNG,13.72998603320441
MNP,23.33333333
MOZ,27.76993569436598
MRT,14.873791308534638
MSR,22.128710009399704
MTQ,24.57839271844554
MUS,31.25
MWI,26.623899283587225
MYS,31.229127273207208
MYT,31.25
NAM,13.190068720860163
NCL,29.460482267437456
NER,17.004497384874465
NFK,31.25
NGA,27.427570420520816
NIC,28.87202205720327
NIU,31.25
NLD,35.0
NOR,28.348118484666912
NPL,27.466893141010576
NRU,
NZL,29.46078709704346
OMN,7.575492047000282
PAK,8.14018315193793
PAN,30.684510861541096
PCN,31.25
PER,25.683262486532552
PHL,31.177099969349808
PLW,31.25
PNG,30.93251608580179
POL,34.427021203001125
PRI,30.143018613503077
PRK,35.0
PRT,25.375650499768973
PRY,27.8662091389541
PSE,19.635961897843554
PYF,31.25
QAT,5.0
REU,31.25
ROU,31.2472703929627
RUS,27.02072979793326
RWA,29.287581430173542
SAU,5.152653269295842
SDN,20.31026532604124
SEN,26.91666667
SGP,31.25
SGS,
SHN,24.57622204529058
SJM,
SLB,31.25
SLE,30.012881869834594
SLV,26.387668115999833
SMR,23.0
SOM,24.2621743747022
SPM,
SRB,35.0
SSD,26.962052577783613
STP,31.25
SUR,31.233371735022654
SVK,31.461997967765882
SVN,32.28395085308576
SWE,35.0
SWZ,26.052110108063985
SXM,5.0
SYC,26.27953913168565
SYR,16.484169489702285
TCA,28.3
TCD,19.43725499554817
TGO,27.393020443894994
THA,27.664800886511618
TJK,19.56321320310531
TKL,
TKM,6.182267540158712
TLS,23.33333333
TON,31.25
TTO,30.84568584649417
TUN,15.361805914866144
TUR,27.61435206355609
TUV,31.25
TWN,31.25
TZA,27.196505102461074
UGA,27.547131370596066
UKR,28.56360837468561
UMI,29.612039584432157
URY,26.90754799994368
USA,21.963403638258264
UZB,8.751294405839786
VAT,23.0
VCT,26.254076833758393
VEN,26.520450047752142
VGB,9.167847014115466
VIR,13.906973795230414
VNM,28.962443638633168
VUT,31.25
WLF,31.25
WSM,31.25
XAD,23.0
XCA,14.3513512135636
XCL,26.91666667
XKO,34.74727577611095
XNC,23.0
XPI,31.25
XSP,
YEM,6.462354355085033
ZAF,15.748318499852301
ZMB,26.79173653099491
ZWE,26.74886698309899
