BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,mean
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,0.20002304020563677
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,0.19782929425088241
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,0.01362156536008105
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,0.11847099748497375
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,0.1778878358157718
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,0.22451738788634337
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,0.006889120852217049
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,0.08315639446434157
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,0.11282063964052029
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,0.010079568345079335
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,0.12603679793029146
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,0.006171491600860287
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,0.18685210275407801
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,0.22681040221994572
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,0.2858252935511829
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,0.4114176542997699
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,0.40284822873969023
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,0.340741647437934
Temperate Conifer Forests,5.0,CHN,China,0.13803719299382572
Montane Grasslands & Shrublands,10.0,CHN,China,0.24045184675945355
Deserts & Xeric Shrublands,13.0,CHN,China,0.01615501835465066
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,0.20737770483088433
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,0.21095506047453697
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,0.2625021556653366
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,0.34826823833366766
Temperate Conifer Forests,5.0,JPN,Japan,0.09446695157079409
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,0.027032850995069756
Temperate Conifer Forests,5.0,MNG,Mongolia,0.1439901484857095
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,0.2059020040199176
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,0.2476695249023633
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,0.054783737498125346
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,0.07090899551144124
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,0.01650442116049354
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,0.023710223566486104
Deserts & Xeric Shrublands,13.0,QAT,Qatar,0.024495444470240338
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,0.13884035276622514
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,0.02951471493602862
Temperate Broadleaf & Mixed Forests,4.0,ARM,Armenia,0.2490427813229225
"Temperate Grasslands, Savannas & Shrublands",8.0,ARM,Armenia,0.16427543649861406
Deserts & Xeric Shrublands,13.0,ARM,Armenia,0.004668860675870418
Temperate Broadleaf & Mixed Forests,4.0,AZE,Azerbaijan,0.2506512984209736
"Temperate Grasslands, Savannas & Shrublands",8.0,AZE,Azerbaijan,0.14582640859590879
Deserts & Xeric Shrublands,13.0,AZE,Azerbaijan,0.007992993628290935
Temperate Broadleaf & Mixed Forests,4.0,GEO,Georgia,0.2567783556632136
"Temperate Grasslands, Savannas & Shrublands",8.0,GEO,Georgia,0.14975057168053313
Deserts & Xeric Shrublands,13.0,GEO,Georgia,0.0026399992713580234
Deserts & Xeric Shrublands,13.0,ISR,Israel,0.020961787455383903
"Temperate Grasslands, Savannas & Shrublands",8.0,ISR,Israel,0.13343090543411357
"Mediterranean Forests, Woodlands & Scrub",12.0,ISR,Israel,0.07143039695430528
Temperate Broadleaf & Mixed Forests,4.0,IRQ,Iraq,0.32694301931948716
"Temperate Grasslands, Savannas & Shrublands",8.0,IRQ,Iraq,0.15425115131317663
"Mediterranean Forests, Woodlands & Scrub",12.0,IRQ,Iraq,0.07485166514989894
Deserts & Xeric Shrublands,13.0,IRQ,Iraq,0.018135212246272726
"Temperate Grasslands, Savannas & Shrublands",8.0,JOR,Jordan,0.09277952870737621
"Mediterranean Forests, Woodlands & Scrub",12.0,JOR,Jordan,0.03961151700545804
Deserts & Xeric Shrublands,13.0,JOR,Jordan,0.020393743712968784
"Temperate Grasslands, Savannas & Shrublands",8.0,KGZ,Kyrgyzstan,0.1659232888321934
Montane Grasslands & Shrublands,10.0,KGZ,Kyrgyzstan,0.2258123100390278
Temperate Conifer Forests,5.0,KGZ,Kyrgyzstan,0.11021496429974877
Deserts & Xeric Shrublands,13.0,KGZ,Kyrgyzstan,0.013543604320100164
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,OMN,Oman,
Deserts & Xeric Shrublands,13.0,OMN,Oman,0.034489937499143995
"Temperate Grasslands, Savannas & Shrublands",8.0,OMN,Oman,0.1368262610801486
"Mediterranean Forests, Woodlands & Scrub",12.0,PSE,Palestina,0.06129256808688037
Deserts & Xeric Shrublands,13.0,PSE,Palestina,0.02100819561719146
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SAU,Saudi Arabia,0.14049425045969985
Deserts & Xeric Shrublands,13.0,SAU,Saudi Arabia,0.017529420771855046
"Mediterranean Forests, Woodlands & Scrub",12.0,SAU,Saudi Arabia,0.02893607599781598
"Temperate Grasslands, Savannas & Shrublands",8.0,SYR,Syria,0.0954916847735694
"Mediterranean Forests, Woodlands & Scrub",12.0,SYR,Syria,0.04481588530916061
Deserts & Xeric Shrublands,13.0,SYR,Syria,0.01625284797199468
Temperate Broadleaf & Mixed Forests,4.0,TUR,Turkey,0.2898261139604932
Temperate Conifer Forests,5.0,TUR,Turkey,0.1237614528138725
"Temperate Grasslands, Savannas & Shrublands",8.0,TUR,Turkey,0.183991698248762
"Mediterranean Forests, Woodlands & Scrub",12.0,TUR,Turkey,0.060922478973993464
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,YEM,Yemen,0.21188897671431767
Deserts & Xeric Shrublands,13.0,YEM,Yemen,0.03821928057143519
Tropical & Subtropical Moist Broadleaf Forests,1.0,IOT,British Indian Ocean Territory,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MDV,Maldives,
Montane Grasslands & Shrublands,10.0,AFG,Afghanistan,0.217927891500667
Deserts & Xeric Shrublands,13.0,AFG,Afghanistan,0.018493598386898333
Temperate Conifer Forests,5.0,AFG,Afghanistan,0.12738088366636816
"Temperate Grasslands, Savannas & Shrublands",8.0,AFG,Afghanistan,0.20307440365728982
Tropical & Subtropical Moist Broadleaf Forests,1.0,BGD,Bangladesh,0.23463345883203815
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BGD,Bangladesh,0.2255802453505412
Tropical & Subtropical Moist Broadleaf Forests,1.0,BTN,Bhutan,0.1992737560031653
Tropical & Subtropical Coniferous Forests,3.0,BTN,Bhutan,0.1184173195357822
Temperate Broadleaf & Mixed Forests,4.0,BTN,Bhutan,0.4468360194037319
Temperate Conifer Forests,5.0,BTN,Bhutan,0.19617047924848402
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BTN,Bhutan,0.3602974889544143
Montane Grasslands & Shrublands,10.0,BTN,Bhutan,0.2616606535559395
Tropical & Subtropical Moist Broadleaf Forests,1.0,IND,India,0.29614955949497257
Tropical & Subtropical Dry Broadleaf Forests,2.0,IND,India,0.5387874578203778
Deserts & Xeric Shrublands,13.0,IND,India,0.010629287162691323
Tropical & Subtropical Coniferous Forests,3.0,IND,India,0.12600535304316277
Temperate Broadleaf & Mixed Forests,4.0,IND,India,0.31216491663563906
Temperate Conifer Forests,5.0,IND,India,0.11670216836928002
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,IND,India,0.24745259292240201
