BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,mean
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,0.1357643389861065
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,0.1544238076072588
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,0.030005832370578113
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,0.16349453279755308
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,0.136583689387213
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,0.16251184071182986
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,0.02698019976780079
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,0.06515391095891623
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,0.09015540688783615
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,0.019722060214543344
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,0.11623169828710972
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,0.1517547398123306
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,0.02150261052031218
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,0.8780146076946097
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,0.3603246314330639
Temperate Conifer Forests,5.0,CHN,China,0.26158243692554184
Montane Grasslands & Shrublands,10.0,CHN,China,0.19208210745348295
Deserts & Xeric Shrublands,13.0,CHN,China,0.04040062943325327
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,0.6758122092073464
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,0.15920275938041742
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,
Temperate Conifer Forests,5.0,JPN,Japan,
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,0.04558155241702942
Temperate Conifer Forests,5.0,MNG,Mongolia,0.22025198586152972
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,0.1619502226064986
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,0.1882943732190262
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,0.02176328546343377
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,
Deserts & Xeric Shrublands,13.0,QAT,Qatar,0.03076545375101047
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,0.03662709165307256
Temperate Broadleaf & Mixed Forests,4.0,ARM,Armenia,0.2737976342319343
"Temperate Grasslands, Savannas & Shrublands",8.0,ARM,Armenia,0.12320912012278486
Deserts & Xeric Shrublands,13.0,ARM,Armenia,
Temperate Broadleaf & Mixed Forests,4.0,AZE,Azerbaijan,0.2734961270294408
"Temperate Grasslands, Savannas & Shrublands",8.0,AZE,Azerbaijan,0.11817746701308986
Deserts & Xeric Shrublands,13.0,AZE,Azerbaijan,0.036599780503040046
Temperate Broadleaf & Mixed Forests,4.0,GEO,Georgia,0.4045386333466816
"Temperate Grasslands, Savannas & Shrublands",8.0,GEO,Georgia,0.15492071538997104
Deserts & Xeric Shrublands,13.0,GEO,Georgia,0.04257509673712864
Deserts & Xeric Shrublands,13.0,ISR,Israel,0.02144942114226106
"Temperate Grasslands, Savannas & Shrublands",8.0,ISR,Israel,
"Mediterranean Forests, Woodlands & Scrub",12.0,ISR,Israel,
Temperate Broadleaf & Mixed Forests,4.0,IRQ,Iraq,0.21978054919318923
"Temperate Grasslands, Savannas & Shrublands",8.0,IRQ,Iraq,0.06769784398051093
"Mediterranean Forests, Woodlands & Scrub",12.0,IRQ,Iraq,
Deserts & Xeric Shrublands,13.0,IRQ,Iraq,0.016867212080768565
"Temperate Grasslands, Savannas & Shrublands",8.0,JOR,Jordan,
"Mediterranean Forests, Woodlands & Scrub",12.0,JOR,Jordan,0.13231784614953784
Deserts & Xeric Shrublands,13.0,JOR,Jordan,0.01580581454321566
"Temperate Grasslands, Savannas & Shrublands",8.0,KGZ,Kyrgyzstan,0.13606909617798524
Montane Grasslands & Shrublands,10.0,KGZ,Kyrgyzstan,0.17668217948468753
Temperate Conifer Forests,5.0,KGZ,Kyrgyzstan,0.17691281809265139
Deserts & Xeric Shrublands,13.0,KGZ,Kyrgyzstan,0.035428035319615345
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,OMN,Oman,0.29969667107146375
Deserts & Xeric Shrublands,13.0,OMN,Oman,0.038357922463372364
"Temperate Grasslands, Savannas & Shrublands",8.0,OMN,Oman,0.08364909459906467
"Mediterranean Forests, Woodlands & Scrub",12.0,PSE,Palestina,
Deserts & Xeric Shrublands,13.0,PSE,Palestina,
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SAU,Saudi Arabia,
Deserts & Xeric Shrublands,13.0,SAU,Saudi Arabia,0.018082119281242193
"Mediterranean Forests, Woodlands & Scrub",12.0,SAU,Saudi Arabia,
"Temperate Grasslands, Savannas & Shrublands",8.0,SYR,Syria,0.0549096368350405
"Mediterranean Forests, Woodlands & Scrub",12.0,SYR,Syria,0.11230789460598571
Deserts & Xeric Shrublands,13.0,SYR,Syria,0.01695396987584212
Temperate Broadleaf & Mixed Forests,4.0,TUR,Turkey,0.2909205506561406
Temperate Conifer Forests,5.0,TUR,Turkey,0.1762755418448152
"Temperate Grasslands, Savannas & Shrublands",8.0,TUR,Turkey,0.14253805030798028
"Mediterranean Forests, Woodlands & Scrub",12.0,TUR,Turkey,0.1681767238890372
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,YEM,Yemen,0.23354250320036166
Deserts & Xeric Shrublands,13.0,YEM,Yemen,0.03801036507346335
Tropical & Subtropical Moist Broadleaf Forests,1.0,IOT,British Indian Ocean Territory,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MDV,Maldives,
Montane Grasslands & Shrublands,10.0,AFG,Afghanistan,0.17612941432951365
Deserts & Xeric Shrublands,13.0,AFG,Afghanistan,0.031681470647251554
Temperate Conifer Forests,5.0,AFG,Afghanistan,0.20569262943619882
"Temperate Grasslands, Savannas & Shrublands",8.0,AFG,Afghanistan,0.17150712612057278
Tropical & Subtropical Moist Broadleaf Forests,1.0,BGD,Bangladesh,
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BGD,Bangladesh,
Tropical & Subtropical Moist Broadleaf Forests,1.0,BTN,Bhutan,
Tropical & Subtropical Coniferous Forests,3.0,BTN,Bhutan,
Temperate Broadleaf & Mixed Forests,4.0,BTN,Bhutan,0.5338651478290558
Temperate Conifer Forests,5.0,BTN,Bhutan,0.25561828027476485
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BTN,Bhutan,
Montane Grasslands & Shrublands,10.0,BTN,Bhutan,0.18641357863192676
Tropical & Subtropical Moist Broadleaf Forests,1.0,IND,India,0.7808538190683678
Tropical & Subtropical Dry Broadleaf Forests,2.0,IND,India,0.3124937059405113
Deserts & Xeric Shrublands,13.0,IND,India,0.06350702069737178
Tropical & Subtropical Coniferous Forests,3.0,IND,India,0.4071169038412984
Temperate Broadleaf & Mixed Forests,4.0,IND,India,0.45049915916978445
Temperate Conifer Forests,5.0,IND,India,0.3088717236439332
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,IND,India,
Montane Grasslands & Shrublands,10.0,IND,India,0.18973202333077407
Temperate Broadleaf & Mixed Forests,4.0,IRN,Iran,0.1986399229204873
Temperate Conifer Forests,5.0,IRN,Iran,0.14217251291088312
"Temperate Grasslands, Savannas & Shrublands",8.0,IRN,Iran,0.11980506579221477
Deserts & Xeric Shrublands,13.0,IRN,Iran,0.0241536848799203
Montane Grasslands & Shrublands,10.0,IRN,Iran,0.10137505933195753
Tropical & Subtropical Moist Broadleaf Forests,1.0,LKA,Sri Lanka,
Tropical & Subtropical Dry Broadleaf Forests,2.0,LKA,Sri Lanka,
Deserts & Xeric Shrublands,13.0,LKA,Sri Lanka,0.1302089335501616
Tropical & Subtropical Moist Broadleaf Forests,1.0,NPL,Nepal,0.6654926366536158
Tropical & Subtropical Coniferous Forests,3.0,NPL,Nepal,0.4871584546103582
Temperate Broadleaf & Mixed Forests,4.0,NPL,Nepal,0.6526984740966082
Temperate Conifer Forests,5.0,NPL,Nepal,0.4167531521812379
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,NPL,Nepal,
Montane Grasslands & Shrublands,10.0,NPL,Nepal,0.2935167954372905
Tropical & Subtropical Moist Broadleaf Forests,1.0,PAK,Pakistan,
Temperate Conifer Forests,5.0,PAK,Pakistan,0.2339335233114408
Montane Grasslands & Shrublands,10.0,PAK,Pakistan,0.1738660955505148
Deserts & Xeric Shrublands,13.0,PAK,Pakistan,0.032050423951748716
Tropical & Subtropical Coniferous Forests,3.0,PAK,Pakistan,
Temperate Broadleaf & Mixed Forests,4.0,PAK,Pakistan,
Tropical & Subtropical Moist Broadleaf Forests,1.0,CXR,Christmas Island,
Tropical & Subtropical Moist Broadleaf Forests,1.0,CCK,Cocos Islands,
Tropical & Subtropical Dry Broadleaf Forests,2.0,TLS,East Timor,0.658625172339675
Tropical & Subtropical Moist Broadleaf Forests,1.0,BRN,Brunei,
Tropical & Subtropical Moist Broadleaf Forests,1.0,SGP,Singapore,
Tropical & Subtropical Moist Broadleaf Forests,1.0,S--,Spratly islands,
Tropical & Subtropical Moist Broadleaf Forests,1.0,P--,Paracel Islands,
Tropical & Subtropical Moist Broadleaf Forests,1.0,IDN,Indonesia,1.173947517852735
Tropical & Subtropical Dry Broadleaf Forests,2.0,IDN,Indonesia,0.5995603810247797
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,IDN,Indonesia,
Montane Grasslands & Shrublands,10.0,IDN,Indonesia,0.36737771217667803
Tropical & Subtropical Coniferous Forests,3.0,IDN,Indonesia,0.9949303427934647
Tropical & Subtropical Moist Broadleaf Forests,1.0,KHM,Cambodia,1.0468134167268683
Tropical & Subtropical Dry Broadleaf Forests,2.0,KHM,Cambodia,0.6226400339650106
Tropical & Subtropical Moist Broadleaf Forests,1.0,LAO,Laos,0.9980870930709752
Tropical & Subtropical Dry Broadleaf Forests,2.0,LAO,Laos,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MMR,Myanmar,
Tropical & Subtropical Coniferous Forests,3.0,MMR,Myanmar,
Tropical & Subtropical Dry Broadleaf Forests,2.0,MMR,Myanmar,
Temperate Broadleaf & Mixed Forests,4.0,MMR,Myanmar,
Temperate Conifer Forests,5.0,MMR,Myanmar,
Montane Grasslands & Shrublands,10.0,MMR,Myanmar,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MYS,Malaysia,1.3987652496614436
Montane Grasslands & Shrublands,10.0,MYS,Malaysia,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MYS,Malaysia,
Montane Grasslands & Shrublands,10.0,MYS,Malaysia,
Tropical & Subtropical Moist Broadleaf Forests,1.0,PHL,Philippines,
Tropical & Subtropical Coniferous Forests,3.0,PHL,Philippines,
Tropical & Subtropical Moist Broadleaf Forests,1.0,THA,Thailand,
Tropical & Subtropical Dry Broadleaf Forests,2.0,THA,Thailand,
Tropical & Subtropical Moist Broadleaf Forests,1.0,VNM,Vietnam,0.9905283051653063
Tropical & Subtropical Dry Broadleaf Forests,2.0,VNM,Vietnam,
Tropical & Subtropical Moist Broadleaf Forests,1.0,GNQ,Equatorial Guinea,1.1353818643611409
Tropical & Subtropical Moist Broadleaf Forests,1.0,STP,Sao Tome and Principe,
Tropical & Subtropical Moist Broadleaf Forests,1.0,AGO,Angola,
Tropical & Subtropical Dry Broadleaf Forests,2.0,AGO,Angola,0.21132399002371188
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,AGO,Angola,0.25740770731998286
Montane Grasslands & Shrublands,10.0,AGO,Angola,0.10843971989422521
Deserts & Xeric Shrublands,13.0,AGO,Angola,0.05885195942278492
Tropical & Subtropical Moist Broadleaf Forests,1.0,COD,Democratic Republic of the Congo,0.4517693337757141
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,COD,Democratic Republic of the Congo,0.2932649322141929
Montane Grasslands & Shrublands,10.0,COD,Democratic Republic of the Congo,
Tropical & Subtropical Moist Broadleaf Forests,1.0,CAF,Central African Republic,0.6015648424196456
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,CAF,Central African Republic,0.24949066676617968
Tropical & Subtropical Moist Broadleaf Forests,1.0,COG,Republic of Congo,0.7115191667816478
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,COG,Republic of Congo,0.5047384490228047
Tropical & Subtropical Moist Broadleaf Forests,1.0,CMR,Cameroon,0.9712680894153155
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,CMR,Cameroon,0.28242814790250625
Tropical & Subtropical Moist Broadleaf Forests,1.0,GAB,Gabon,0.7521865011170673
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,GAB,Gabon,0.7195231463899161
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,TCD,Chad,0.23993063509345633
Deserts & Xeric Shrublands,13.0,TCD,Chad,0.030452589565460042
Tropical & Subtropical Moist Broadleaf Forests,1.0,COM,Comoros,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MYT,Mayotte,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MUS,Mauritius,
Tropical & Subtropical Moist Broadleaf Forests,1.0,REU,Reunion,
Deserts & Xeric Shrublands,13.0,DJI,Djibouti,0.05523486961419386
Tropical & Subtropical Moist Broadleaf Forests,1.0,BDI,Burundi,0.6520297317195408
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BDI,Burundi,0.3306304647142693
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,ERI,Eritrea,0.25631875346824573
Montane Grasslands & Shrublands,10.0,ERI,Eritrea,0.23547587654355695
Deserts & Xeric Shrublands,13.0,ERI,Eritrea,0.06754202194237197
Tropical & Subtropical Moist Broadleaf Forests,1.0,ETH,Ethiopia,0.42059941507964776
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,ETH,Ethiopia,0.34393824472201695
Montane Grasslands & Shrublands,10.0,ETH,Ethiopia,0.22479260516404095
Deserts & Xeric Shrublands,13.0,ETH,Ethiopia,0.04927700253549847
Tropical & Subtropical Moist Broadleaf Forests,1.0,KEN,Kenya,0.6242671208278053
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,KEN,Kenya,0.4144215244705201
Tropical & Subtropical Moist Broadleaf Forests,1.0,KEN,Kenya,0.43213812957923176
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,KEN,Kenya,0.43213812957923176
Montane Grasslands & Shrublands,10.0,KEN,Kenya,0.33488136164334187
Tropical & Subtropical Moist Broadleaf Forests,1.0,MDG,Madagascar,0.709078372300567
Tropical & Subtropical Dry Broadleaf Forests,2.0,MDG,Madagascar,0.40297555159369236
Montane Grasslands & Shrublands,10.0,MDG,Madagascar,0.3621344581603114
Deserts & Xeric Shrublands,13.0,MDG,Madagascar,0.03345936415578529
Tropical & Subtropical Moist Broadleaf Forests,1.0,MWI,Malawi,
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,MWI,Malawi,0.2404741168837567
Montane Grasslands & Shrublands,10.0,MWI,Malawi,0.12323681042886164
Tropical & Subtropical Moist Broadleaf Forests,1.0,MOZ,Mozambique,0.474191315632982
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,MOZ,Mozambique,0.22338400879554932
Montane Grasslands & Shrublands,10.0,MOZ,Mozambique,0.09430975539173736
Tropical & Subtropical Moist Broadleaf Forests,1.0,RWA,Rwanda,0.6602094914269135
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,RWA,Rwanda,0.40570881966839045
Montane Grasslands & Shrublands,10.0,RWA,Rwanda,
Tropical & Subtropical Moist Broadleaf Forests,1.0,SYC,Seychelles,
Deserts & Xeric Shrublands,13.0,SYC,Seychelles,
Tropical & Subtropical Moist Broadleaf Forests,1.0,SOM,Somalia,0.4532675069273601
