BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,mean
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,0.1193380186221186
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,0.4760933523220594
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,0.012161143802984394
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,0.9312597847405146
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,0.2132737380758111
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,0.15444984000422476
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,0.06608556328943709
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,8.28375049514551E-4
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,0.047921326291529155
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,0.003596211764354242
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,0.26939106951494035
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,0.039187977563107323
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,0.010326310643950164
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,2.9154415297395984
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,1.406224968846021
Temperate Conifer Forests,5.0,CHN,China,0.34126844609106244
Montane Grasslands & Shrublands,10.0,CHN,China,0.06417575320979876
Deserts & Xeric Shrublands,13.0,CHN,China,0.01913559895150274
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,2.8377028595335108
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,0.0589002156584646
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,
Temperate Conifer Forests,5.0,JPN,Japan,
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,0.006522790271766054
Temperate Conifer Forests,5.0,MNG,Mongolia,0.07680352910113457
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,0.19099074112017103
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,0.10760022081629855
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,0.0
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,
Deserts & Xeric Shrublands,13.0,QAT,Qatar,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,0.0
Temperate Broadleaf & Mixed Forests,4.0,ARM,Armenia,0.22556830309619016
"Temperate Grasslands, Savannas & Shrublands",8.0,ARM,Armenia,0.09541085529136942
Deserts & Xeric Shrublands,13.0,ARM,Armenia,
Temperate Broadleaf & Mixed Forests,4.0,AZE,Azerbaijan,0.8688344225209644
"Temperate Grasslands, Savannas & Shrublands",8.0,AZE,Azerbaijan,0.032641320598969785
Deserts & Xeric Shrublands,13.0,AZE,Azerbaijan,0.4342169756331567
Temperate Broadleaf & Mixed Forests,4.0,GEO,Georgia,0.28844961128859575
"Temperate Grasslands, Savannas & Shrublands",8.0,GEO,Georgia,0.3481776718038192
Deserts & Xeric Shrublands,13.0,GEO,Georgia,0.5771131042458462
Deserts & Xeric Shrublands,13.0,ISR,Israel,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ISR,Israel,
"Mediterranean Forests, Woodlands & Scrub",12.0,ISR,Israel,
Temperate Broadleaf & Mixed Forests,4.0,IRQ,Iraq,0.07422969233274217
"Temperate Grasslands, Savannas & Shrublands",8.0,IRQ,Iraq,3.2728230960331887E-4
"Mediterranean Forests, Woodlands & Scrub",12.0,IRQ,Iraq,
Deserts & Xeric Shrublands,13.0,IRQ,Iraq,4.869835857674385E-5
"Temperate Grasslands, Savannas & Shrublands",8.0,JOR,Jordan,
"Mediterranean Forests, Woodlands & Scrub",12.0,JOR,Jordan,0.0014757841188266648
Deserts & Xeric Shrublands,13.0,JOR,Jordan,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,KGZ,Kyrgyzstan,0.3967966619038712
Montane Grasslands & Shrublands,10.0,KGZ,Kyrgyzstan,0.11718834188377023
Temperate Conifer Forests,5.0,KGZ,Kyrgyzstan,0.3105599061579765
Deserts & Xeric Shrublands,13.0,KGZ,Kyrgyzstan,0.39399321591087644
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,OMN,Oman,3.4466545284354827E-4
Deserts & Xeric Shrublands,13.0,OMN,Oman,7.322019473269713E-6
"Temperate Grasslands, Savannas & Shrublands",8.0,OMN,Oman,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,PSE,Palestina,
Deserts & Xeric Shrublands,13.0,PSE,Palestina,
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SAU,Saudi Arabia,
Deserts & Xeric Shrublands,13.0,SAU,Saudi Arabia,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,SAU,Saudi Arabia,
"Temperate Grasslands, Savannas & Shrublands",8.0,SYR,Syria,2.5047116312282075E-4
"Mediterranean Forests, Woodlands & Scrub",12.0,SYR,Syria,0.10565349128879878
Deserts & Xeric Shrublands,13.0,SYR,Syria,2.7248886797674367E-5
Temperate Broadleaf & Mixed Forests,4.0,TUR,Turkey,0.21661304083137492
Temperate Conifer Forests,5.0,TUR,Turkey,0.6530933044633104
"Temperate Grasslands, Savannas & Shrublands",8.0,TUR,Turkey,0.07622204828705673
"Mediterranean Forests, Woodlands & Scrub",12.0,TUR,Turkey,0.21563640769425882
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,YEM,Yemen,0.08981321665601007
Deserts & Xeric Shrublands,13.0,YEM,Yemen,0.013055782131612827
Tropical & Subtropical Moist Broadleaf Forests,1.0,IOT,British Indian Ocean Territory,
Tropical & Subtropical Moist Broadleaf Forests,1.0,MDV,Maldives,
Montane Grasslands & Shrublands,10.0,AFG,Afghanistan,0.033381739089045445
Deserts & Xeric Shrublands,13.0,AFG,Afghanistan,0.021864829362013127
Temperate Conifer Forests,5.0,AFG,Afghanistan,0.06684421121186976
"Temperate Grasslands, Savannas & Shrublands",8.0,AFG,Afghanistan,0.044748124141534146
Tropical & Subtropical Moist Broadleaf Forests,1.0,BGD,Bangladesh,
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BGD,Bangladesh,
Tropical & Subtropical Moist Broadleaf Forests,1.0,BTN,Bhutan,
Tropical & Subtropical Coniferous Forests,3.0,BTN,Bhutan,
