GID_0,mean
ABW,
AFG,0.3440522622359893
AGO,4.138475356723169
AIA,1.7142857142857142
ALA,18.627667007073015
ALB,4.327319094235192
AND,8.184964200477326
ARE,0.020333406118469104
ARG,5.937634976524668
ARM,4.245472474364065
ASM,
ATA,
ATF,
ATG,
AUS,3.4450010658530186
AUT,7.468559862736538
AZE,2.6857293243093707
BDI,10.237671845841067
BEL,8.259971025109735
BEN,3.6328036634698067
BES,
BFA,1.4491059815339555
BGD,12.445306807847206
BGR,6.144341198137532
BHR,0.0
BHS,13.518460636843123
BIH,9.331811301473131
BLM,
BLR,6.681795724451822
BLZ,15.427169826997522
BMU,
BOL,10.754533722253816
BRA,10.41501541125122
BRB,
BRN,16.25651586942702
BTN,12.590196916069532
BVT,
BWA,1.236683892240558
CAF,8.309730922376772
CAN,3.9806832391249407
CCK,
CHE,9.964110002317748
CHL,13.005493791617775
CHN,6.51377962291494
CIV,5.9531361895960595
CMR,3.7655610356907703
COD,10.49510661473074
COG,7.6977642508308834
COK,
COL,14.838481190154026
COM,
CPV,
CRI,17.79640045452137
CUB,16.817032602197095
CUW,
CXR,
CYM,15.881720430107526
CYP,0.6933492008824957
CZE,7.305495687455843
DEU,8.959748020680737
DJI,
DMA,
DNK,11.123427555048496
DOM,13.031947973269537
DZA,0.6648488039892361
ECU,10.36335509721806
EGY,0.6830012238405839
ERI,1.7732296474970792
ESH,0.0
ESP,1.1159133718710579
EST,12.386803438961266
ETH,7.910038870026256
FIN,15.846972028935474
FJI,
FLK,
FRA,6.90680579917298
FRO,
FSM,
GAB,10.33946637396993
GBR,11.74880507814127
GEO,7.476499410868225
GGY,15.532730673316706
GHA,3.9475370133810492
GIB,2.6363636363636362
GIN,6.1115120017518345
GLP,
GMB,1.6542432336894068
GNB,7.235133766713871
GNQ,10.0
GRC,4.027378071404283
GRD,
GRL,
GTM,20.477323480885996
GUF,16.4
GUM,
GUY,12.268120289477825
HKG,13.562127432980096
HMD,
HND,16.51225051813616
HRV,7.420234425566037
HTI,8.017620317841981
HUN,5.871853769827581
IDN,13.649593985480264
IMN,18.601220616531688
IND,5.308181909559039
IOT,
IRL,15.894642055724276
IRN,0.7660033564227124
IRQ,0.07047217193643461
ISL,
ISR,1.1257544676486528
ITA,5.554526224402692
JAM,13.332177464328907
JEY,13.335858758998972
JOR,0.10625910863517807
JPN,12.552785794790024
KAZ,1.6094230687550592
KEN,8.286507600547909
KGZ,2.682280821085144
KHM,7.154718621101193
KIR,
KNA,
KOR,9.337152771680458
KWT,0.08581706874516795
LAO,6.215136891410931
LBN,1.9410834845713925
LBR,7.95042373076047
LBY,0.028445090938654046
LCA,
LIE,17.69237646601429
LKA,10.900507598690197
LSO,2.2205155170554085
LTU,8.465767740152428
LUX,9.820051516982932
LVA,11.161264324602453
MAC,
MAF,2.5
MAR,0.7477677389200917
MCO,
MDA,6.207767389355309
MDG,5.598796470908643
MDV,
MEX,5.091892948080078
MHL,
MKD,3.8172554436058137
MLI,1.3892427013344957
MLT,0.7731007940085295
MMR,5.516991975523499
MNE,4.832652895170366
MNG,2.546759984619434
MNP,
MOZ,8.884728320567238
MRT,0.257968382284737
MSR,
MTQ,
MUS,
MWI,4.5323408665667255
MYS,14.950308446673603
MYT,10.6
NAM,0.5269544544918829
NCL,
NER,0.027673364847415324
NFK,
NGA,1.6788013532631467
NIC,17.18189818796874
NIU,
NLD,13.95427104578066
NOR,16.49820726449797
NPL,8.959191681649097
NRU,
NZL,12.93300720760629
OMN,0.01529284183797014
PAK,2.2527500238970366
PAN,13.290986674012087
PCN,
PER,4.051364527402882
PHL,15.121299969369108
PLW,
PNG,13.013118096395312
POL,5.971165718385713
PRI,11.9318804956481
PRK,6.212184370806569
PRT,3.9697989612931948
PRY,12.67668472855707
PSE,0.3979627884989002
PYF,
QAT,0.0
REU,
ROU,5.46319946571388
RUS,5.975342331502668
RWA,9.261596344724197
SAU,0.014420533977797108
SDN,2.2477668724167317
SEN,1.0151172216334774
SGP,7.933748679333881
SGS,
SHN,
SJM,
SLB,
SLE,10.755326255281373
SLV,20.25375420909788
SMR,5.632736618924227
SOM,1.942951089406339
SPM,
SRB,5.5170092283587575
SSD,6.5990800923808965
STP,
SUR,13.236901958966039
SVK,5.693885685373735
SVN,10.325899533315804
SWE,13.52133771828294
SWZ,9.78127432324698
SXM,
SYC,
SYR,0.2684755985384173
TCA,
TCD,3.171326427331672
TGO,4.062714051813458
THA,5.381400176119681
TJK,1.8022042661961395
TKL,
TKM,1.2146050273010243
TLS,12.161499329604991
TON,
TTO,14.381183823619333
TUN,0.43845683580900247
TUR,1.76897893983607
TUV,
TWN,10.921309034848212
TZA,4.093299758174467
UGA,13.082554919637735
UKR,6.820355190904796
UMI,
URY,8.891940069142693
USA,3.7664858301685364
UZB,2.1790631384159984
VAT,
VCT,
VEN,11.78489398540309
VGB,
VIR,1.7142857142857142
VNM,12.058033837314742
VUT,11.685393258426966
WLF,
WSM,
XAD,0.9617380730220099
XCA,3.9579946965558364
XCL,
XKO,5.146109942368439
XNC,0.3327392268989554
XPI,
XSP,
YEM,0.6317656018281823
ZAF,2.684678612919465
ZMB,5.89406197664987
ZWE,1.9815158138104028
