GID_0,mean
ABW,
AFG,0.2269792861009833
AGO,5.92138904258545
AIA,
ALA,
ALB,1.1443900204383688
AND,6.31704963949392
ARE,0.0
ARG,3.7564619652424383
ARM,0.8780126147564056
ASM,
ATA,
ATF,
ATG,
AUS,1.9090038455185756
AUT,3.286319974981993
AZE,1.1759163944299973
BDI,7.687055996876611
BEL,2.3557440379429706
BEN,3.279656307946607
BES,
BFA,3.5292324360494183
BGD,
BGR,2.9729039655776504
BHR,
BHS,
BIH,2.2633096193701845
BLM,
BLR,0.9005328596802842
BLZ,
BMU,
BOL,7.440333695311452
BRA,5.2720445629862
BRB,
BRN,
BTN,3.4338199339263635
BVT,
BWA,1.3416819918938927
CAF,5.939697274307579
CAN,1.0656217617616013
CCK,
CHE,2.754538234303613
CHL,4.567438428533092
CHN,1.364175918019607
CIV,9.822900001209202
CMR,4.694955538888996
COD,9.58376065126647
COG,6.058203729795217
COK,
COL,11.233952011759479
COM,
CPV,
CRI,10.001471495746024
CUB,10.460678699567438
CUW,
CXR,
CYM,
CYP,
CZE,
DEU,2.28874335119523
DJI,0.4159620113642848
DMA,
DNK,
DOM,5.357359187211877
DZA,0.04553550193930308
ECU,12.260159782755935
EGY,0.00729082187163657
ERI,0.4793943879822065
ESH,2.3827892649834388E-5
ESP,6.419121551131212
EST,
ETH,1.9354325007223478
FIN,
FJI,
FLK,
FRA,4.001735196153671
FRO,
FSM,
GAB,3.668212843580481
GBR,8.11544052132678
GEO,3.2819214201362867
GGY,
GHA,7.105553961488947
GIB,
GIN,9.843962564470957
GLP,
GMB,1.0770875230665387
GNB,10.884937878021198
GNQ,
GRC,3.4516187660472553
GRD,
GRL,
GTM,11.539700456503184
GUF,
GUM,
GUY,5.789749270289379
HKG,
HMD,
HND,10.329160105370756
HRV,2.176269470203397
HTI,2.0831411595682536
HUN,0.19092185306504444
IDN,9.101673561982139
IMN,
IND,3.7497790559937214
IOT,
IRL,3.1571083393913373
IRN,0.08920909818656687
IRQ,0.0021034753571209743
ISL,
ISR,0.0
ITA,2.655902602398583
JAM,
JEY,
JOR,0.002131063942230649
JPN,
KAZ,0.651979610985437
KEN,1.8851505368334522
KGZ,1.710188878144906
KHM,14.458792949762344
KIR,
KNA,
KOR,
KWT,0.0
LAO,10.725109276347741
LBN,
LBR,
LBY,0.034871723322333036
LCA,
LIE,
LKA,4.832
LSO,4.427706888420055
LTU,
LUX,
LVA,
MAC,
MAF,
MAR,0.07922715952508617
MCO,
MDA,
MDG,3.178316689813916
MDV,
MEX,1.724737810979887
MHL,
MKD,1.7506051331733343
MLI,0.7287329558696906
MLT,
MMR,
MNE,4.532713200653784
MNG,0.7655003022917769
MNP,
MOZ,8.128269735302739
MRT,0.21899703686068311
MSR,
MTQ,
MUS,
MWI,9.534538967530139
MYS,13.170606578815008
MYT,
NAM,0.4711570065785892
NCL,
NER,0.06780782212303053
NFK,
NGA,3.540299991250533
NIC,12.002629321383647
NIU,
NLD,3.6193311746091785
NOR,3.220503408495018
NPL,7.141034884593395
NRU,
NZL,6.90586503735939
OMN,0.01374410151445565
PAK,0.31329517638628
PAN,15.761378293716602
PCN,
PER,2.3579528821163573
PHL,
PLW,
PNG,
POL,0.8066540585007591
PRI,
PRK,
PRT,3.8579343508258415
PRY,10.77597230123037
PSE,
PYF,
QAT,0.0
REU,
ROU,3.7166423876989008
RUS,2.1300351248745493
RWA,6.326703178785454
SAU,4.701743969160922E-6
SDN,1.0794926408976178
SEN,2.3152435496213375
SGP,
SGS,
SHN,
SJM,
SLB,
SLE,12.72342517540419
SLV,7.22616547400617
SMR,
SOM,1.0778380212136989
SPM,
SRB,4.000633329142472
SSD,7.981675607752462
STP,
SUR,
SVK,1.8511562014441094
SVN,3.0018877818563188
SWE,8.707420050305426
SWZ,4.932178018877796
SXM,
SYC,
SYR,0.009457954594325229
TCA,
TCD,2.02093540248669
TGO,7.250208243416036
THA,
TJK,0.3723081588401819
TKL,
TKM,8.238926766356101E-4
TLS,11.064780378119744
TON,
TTO,
TUN,0.022832412902785378
TUR,0.92298286704825
TUV,
TWN,8.12791390481865
TZA,5.248198376816534
UGA,9.792495311582325
UKR,1.3504658515235854
UMI,
URY,5.949184247399772
USA,0.9382119773956722
UZB,0.07957741431523158
VAT,
VCT,
VEN,8.626812859009599
VGB,
VIR,
VNM,8.663522884882108
VUT,
WLF,
WSM,
XAD,
XCA,3.120912475489306
XCL,
XKO,4.598036518988499
XNC,
XPI,
XSP,
YEM,0.20658687808461912
ZAF,1.829265977365038
ZMB,11.25177992275924
ZWE,6.691697146315128
