BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,mean
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,1.6091382154033615
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,3.8469320657006945
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,1.839265676500741
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,4.286598165366518
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,1.7622099434057623
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,3.9300399008327034
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,2.9367287603039145
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,0.2636158737343965
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,0.5494815556139451
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,1.548012266696041
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,2.3332580569360393
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,2.7056704434249292
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,15.220388314411741
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,12.363636363636363
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,11.225952636644667
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,6.213149793453081
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,9.33697905966893
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,7.493457602851571
Temperate Conifer Forests,5.0,CHN,China,5.7289934774593165
Montane Grasslands & Shrublands,10.0,CHN,China,1.8892459155711803
Deserts & Xeric Shrublands,13.0,CHN,China,2.0230549796484736
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,12.614610347397958
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,3.1911973908151663
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,12.243702413741104
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,12.601073187392371
Temperate Conifer Forests,5.0,JPN,Japan,13.00865896231761
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,1.4246558523692903
Temperate Conifer Forests,5.0,MNG,Mongolia,3.409052638526622
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,2.5511347773052124
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,2.0053103370021557
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,0.5475475877386061
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,2.011167414484789
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,0.08584139242364278
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,0.0
Deserts & Xeric Shrublands,13.0,QAT,Qatar,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,0.010748062683395794
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,0.07381708610681695
