ISO3,COUNTRY,BIOME_NAME,BIOME_NUM,sum
ATF,French Southern Territories,"Temperate Grasslands, Savannas & Shrublands",8.0,0.0
KAZ,Kazakhstan,"Temperate Grasslands, Savannas & Shrublands",8.0,4.1440111800153728E9
KAZ,Kazakhstan,Montane Grasslands & Shrublands,10.0,6.525586059740744E8
KAZ,Kazakhstan,Deserts & Xeric Shrublands,13.0,1.3179972163689559E9
KAZ,Kazakhstan,Temperate Conifer Forests,5.0,9.004739618155923E7
TJK,Tajikistan,"Temperate Grasslands, Savannas & Shrublands",8.0,2.1775345254225087E8
TJK,Tajikistan,Montane Grasslands & Shrublands,10.0,1889479.7913849475
TJK,Tajikistan,Deserts & Xeric Shrublands,13.0,8906007.190373199
TKM,Turkmenistan,"Temperate Grasslands, Savannas & Shrublands",8.0,217177.6944328757
TKM,Turkmenistan,Montane Grasslands & Shrublands,10.0,6.647157555401731E7
TKM,Turkmenistan,Deserts & Xeric Shrublands,13.0,5.6648999359631605E7
UZB,Uzbekistan,"Temperate Grasslands, Savannas & Shrublands",8.0,9.841307537892779E8
UZB,Uzbekistan,Montane Grasslands & Shrublands,10.0,1751570.1627278645
UZB,Uzbekistan,Deserts & Xeric Shrublands,13.0,9.815277031033051E7
HKG,Hong Kong,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
MAC,Macao,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
TWN,Taiwan,Tropical & Subtropical Moist Broadleaf Forests,1.0,9471562.935791016
PRK,North Korea,Temperate Broadleaf & Mixed Forests,4.0,0.0
KOR,South Korea,Temperate Broadleaf & Mixed Forests,4.0,0.0
CHN,China,Temperate Broadleaf & Mixed Forests,4.0,2.2165921658349724E10
CHN,China,Temperate Conifer Forests,5.0,3.2440313391128645E9
CHN,China,Montane Grasslands & Shrublands,10.0,4.635533649902887E9
CHN,China,Deserts & Xeric Shrublands,13.0,3.1810907615765446E8
CHN,China,Tropical & Subtropical Moist Broadleaf Forests,1.0,2.1576329351854263E10
CHN,China,"Temperate Grasslands, Savannas & Shrublands",8.0,1.9222537372153811E9
JPN,Japan,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
JPN,Japan,Temperate Broadleaf & Mixed Forests,4.0,0.0
JPN,Japan,Temperate Conifer Forests,5.0,0.0
MNG,Mongolia,Deserts & Xeric Shrublands,13.0,1.653791790765233E8
MNG,Mongolia,Temperate Conifer Forests,5.0,4.556301830187903E8
MNG,Mongolia,"Temperate Grasslands, Savannas & Shrublands",8.0,6.433931695254764E9
MNG,Mongolia,Montane Grasslands & Shrublands,10.0,5.385691738736529E8
CYP,Cyprus,"Mediterranean Forests, Woodlands & Scrub",12.0,0.0
LBN,Lebanon,"Mediterranean Forests, Woodlands & Scrub",12.0,0.0
KWT,Kuwait,Deserts & Xeric Shrublands,13.0,0.0
BHR,Bahrain,Deserts & Xeric Shrublands,13.0,0.0
QAT,Qatar,Deserts & Xeric Shrublands,13.0,0.0
ARE,United Arab Emirates,"Temperate Grasslands, Savannas & Shrublands",8.0,0.0
ARE,United Arab Emirates,Deserts & Xeric Shrublands,13.0,0.0
ARM,Armenia,Temperate Broadleaf & Mixed Forests,4.0,1.3164040382740214E7
ARM,Armenia,"Temperate Grasslands, Savannas & Shrublands",8.0,1.2833636508366127E7
ARM,Armenia,Deserts & Xeric Shrublands,13.0,0.0
AZE,Azerbaijan,Temperate Broadleaf & Mixed Forests,4.0,1.6823048957616588E8
AZE,Azerbaijan,"Temperate Grasslands, Savannas & Shrublands",8.0,5291785.399181171
AZE,Azerbaijan,Deserts & Xeric Shrublands,13.0,1.23520997581064E8
