"","BIOME_NUM","BIOME_NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha","Graze_FluxDensity_mean_MgC/ha","Crop_Area_sum_ha","Graze_Area_sum_ha","Crop_ForestCover_mean_percent","Graze_ForestCover_mean_percent","Crop_Delta_mean_percent","Graze_Delta_mean_percent"
"1",1,"Tropical & Subtropical Moist Broadleaf Forests",1490589981.70961,1676889966.73696,0.418582984037452,1.09221332108926,118701272.193157,51177120.0234222,9.9701791847023,6.92406868849818,11.605701235673,24.3258534532195
"2",2,"Tropical & Subtropical Dry Broadleaf Forests",2159535346.03564,382834787.973108,0.957311090090078,0.663631275266252,75194482.002447,19229292.0401977,6.03390740098942,5.99504390855073,35.9620108370112,17.357404535238
"3",3,"Tropical & Subtropical Coniferous Forests",8965993.71480401,49802203.6392782,0.252003443204499,0.29049562332117,1185961.80020289,5714624.66684822,9.22758369174245,5.35336847454736,11.237353874681,22.9422439697161
"4",4,"Temperate Broadleaf & Mixed Forests",4675362553.14654,736402910.661456,0.553889242057001,0.530823237763837,281365671.337917,46242820.4765896,7.710344833527,2.55163861784055,27.8280882422742,32.4483013668117
"5",5,"Temperate Conifer Forests",51837030.2547012,377443682.809023,0.212013054832564,0.339807745633916,8149974.58460584,37025218.6870056,6.60324113004183,2.71755585304051,13.4719686829886,22.4800624635968
"6",7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",3001753263.37521,6106422935.46496,0.538840433193768,0.41987498883815,185692156.61759,484781033.862979,5.77488443764303,3.9180819139093,19.4644284756149,22.9982318574925
"7",8,"Temperate Grasslands, Savannas & Shrublands",2995732631.98655,2166420565.14797,0.345152880952779,0.222345255979043,289314561.489096,324783267.896987,3.87064642438449,1.63962976129526,23.7965693275224,18.3663433490619
"8",10,"Montane Grasslands & Shrublands",327676327.44737,1315508255.26516,0.475518190872321,0.309041579625479,22969771.6257893,141891182.502518,4.5829307809643,1.67722394372895,23.0820060356216,18.3350036047583
"9",12,"Mediterranean Forests, Woodlands & Scrub",166639258.01861,259445492.846967,0.0818854627224922,0.168780874438443,67834286.4444477,51239117.723928,3.30918428483318,1.95106209354846,7.17507582717108,21.0518707262995
"10",13,"Deserts & Xeric Shrublands",52722205.4100847,829933667.635056,0.0287172302651235,0.0442866109322885,61196947.9917832,624668607.632507,4.37059394486622,0.606150826066535,2.11475352115143,4.46267686239996
