"","ISO3","Crop_FluxDensity_mean_MgC/ha","Graze_FluxDensity_mean_MgC/ha","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_Area_sum_ha","Graze_Area_sum_ha","Crop_ForestCover_mean_percent","Graze_ForestCover_mean_percent","Crop_Delta_mean_percent","Graze_Delta_mean_percent","country_name"
"1","ABW",NA,NA,0,0,0,0,NA,NA,NA,NA,"Aruba"
"2","AFG",0.186397418240812,0.191803321975562,4356284.36887822,82126560.5369766,3018546.10506572,24495595.2808601,1.26742800500005,0.0417097259511156,18.4751569694037,17.5060140751759,"Afghanistan"
"3","AGO",0.609497381330197,0.207722669103584,52797070.6580537,195415108.340667,2939406.4703879,21151196.4689076,5.85222490984546,11.0071730935293,19.6440582636015,7.93711410380234,"Angola"
"4","AIA",0.0253916460378965,NA,1.23403399744177,0,0.595113531494141,0,4.77777777777778,NA,0.888888888888889,NA,"Anguilla"
"5","ALA",0.269156285134084,NA,95934.0685107251,0,5921.61783893205,0,18.6257721417458,NA,16.9126893982426,NA,"Åland Islands"
"6","ALB",0.262429277507853,0.407569378424703,853676.000085755,53954.4418852404,226863.979678604,3353.46397720947,5.2627699521167,1.13681419539058,17.4599677758213,21.8708545788293,"Albania"
"7","AND",0.45439025963061,0.640742756075568,993.751497812143,449499.084441474,53.7084888122559,17213.6943188869,8.13827160493827,0.453100098034218,27.4001899350616,34.5468999019658,"Andorra"
"8","ARE",0.11128269975119,0.0484210151653619,14951.1350620895,88572.7828418185,10532.5489469492,55097.350699355,0.0422825743951064,0,15.8068646038593,5,"United Arab Emirates"
"9","ARG",0.233698962034645,0.342723098546302,348781547.68606,509777705.112106,42930303.5297005,69476214.094516,7.64354616435387,0.80911911787905,19.8144433978746,25.8233710593899,"Argentina"
"10","ARM",0.176223603588857,0.249279178185337,3663701.42152212,1838424.79498633,365644.728087594,210269.524671235,4.9753817495556,0.16048957919378,18.4038449652629,27.345794407304,"Armenia"
"11","ASM",NA,NA,0,0,0,0,NA,NA,NA,NA,"American Samoa"
"12","ATF",NA,NA,0,0,0,0,NA,NA,NA,NA,"French Southern Territories"
"13","ATG",NA,NA,0,0,0,0,NA,NA,NA,NA,"Antigua & Barbuda"
"14","AUS",0.167863982870548,0.268218492899381,180148954.643009,1020749037.84874,44263057.9242505,254791158.790314,6.03746138397959,1.81672174760668,15.6345723519302,21.2906705593916,"Australia"
"15","AUT",0.223498505113352,0.457127708395545,19588228.2989509,6521249.79930377,1230998.28176617,379605.179154311,11.0786696653571,1.07006172926717,16.7970201974193,29.0300114719801,"Austria"
"16","AZE",0.170215913868169,0.179973924318139,5515451.32302463,5358626.1837957,1298540.91363371,830581.411726349,3.29220609778004,0.44523090625103,19.3179047258475,19.6519005429301,"Azerbaijan"
"17","BDI",0.576310842579145,0.611394650537155,6338067.58601841,3041432.57971491,397584.340645311,163491.75439292,10.1969695986879,15.309947813929,12.9141225096488,13.7911703469904,"Burundi"
"18","BEL",0.570805511000877,0.633343401451323,24397859.3690469,258422.332434831,902505.490649349,8622.4218636292,8.25998431470493,1.77469876194631,27.2784772252089,33.2253012380537,"Belgium"
