"","ISO3","NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha","Graze_FluxDensity_mean_MgC/ha","CropArea_sum_ha","GrazeArea_sum_ha","Crop_ForestCover_mean_percent","Graze_ForestCover_mean_percent","Crop_Delta_mean_percent","Graze_Delta_mean_percent","Crop_ExpertRecs_mean_percent","Graze_ExpertRecs_mean_percent"
"1","ABW","Aruba",0,0,NA,NA,0,0,NA,NA,NA,NA,4,5
"2","AFG","Afghanistan",4356284.36887822,82126560.5369766,0.0481057681109847,0.111756909212092,3018546.10506572,24495595.2808601,2.43197225898207,0.225921701827449,5.43004713753619,8.79463682685256,8.59284158905284,8.11715385788425
"3","AGO","Angola",52797070.6580538,195415108.340667,0.59872711480975,0.307965412465639,2939406.4703879,21151196.4689076,4.80648101753916,6.7702006984298,20.5315856854133,16.4513581578625,24.3161285194381,25.708246427438
"4","AIA","Anguilla",1.23403399744177,0,0.0691203684750988,NA,0.595113531494141,0,4.77777777777778,NA,2.28571428571429,NA,4,5
"5","ALA","Åland",95934.0685107251,0,0.540021725594429,NA,5921.61783893205,0,18.6996675168049,NA,16.9105205300253,NA,35.53846154,35
"6","ALB","Albania",853676.000085755,53954.4418852404,0.125431400391716,0.536305565945353,226863.979678604,3353.46397720947,4.84684696411401,1.10664570402948,5.51933787364267,21.8945668406703,12.0613522714155,24.0755285736601
"7","AND","Andorra",993.751497812143,449499.084441474,0.616756320269293,0.870429237161258,53.7084888122559,17213.6943188869,8.18496420047733,6.85042577230206,27.3534973395226,28.1495742276979,35.53846154,35
"8","ARE","United Arab Emirates",14951.1350620895,88572.7828418185,0.0473172421269094,0.0535856272080583,10532.5489469492,55097.350699355,3.80665503370644,0,2.84091650361057,5,5.16079688071161,5.73571633273546
"9","ARG","Argentina",348781547.68606,509777705.112107,0.27081223829438,0.244581406627694,42930303.5297005,69476214.094516,5.9639573098921,4.07024630772756,21.259759090556,16.6135713078934,27.2138541475463,22.2662356742334
"10","ARM","Armenia",3663701.42152212,1838424.79498633,0.333994643806674,0.291439411371473,365644.728087594,210269.524671235,4.26342336565647,0.904808804610445,26.7843397756141,24.2764509153186,31.7440393021989,27.7710514628634
"11","ASM","American Samoa",0,0,NA,NA,0,0,NA,NA,NA,NA,21,31.25
"12","ATF","French Southern Territories",0,0,NA,NA,0,0,NA,NA,NA,NA,23.3136807095297,17.2410652367086
"13","ATG","Antigua and Barbuda",0,0,NA,NA,0,0,NA,NA,NA,NA,11.9261114625562,10.1353677054935
"14","AUS","Australia",180148954.643009,1020749037.84874,0.135665393137626,0.13354061455599,44263057.9242505,254791158.790314,3.80296985730887,2.01619075221502,15.4813319423846,14.2908879295729,14.7391030859061,16.6478323844069
"15","AUT","Austria",19588228.2989509,6521249.79930377,0.530415803961609,0.572634424520752,1230998.28176617,379605.179154311,7.59017025989499,3.85216712890228,27.6061853517178,21.4308017015216,26.4250469453386,29.3611023833109
"16","AZE","Azerbaijan",5515451.32302463,5358626.1837957,0.141580735349871,0.215055225497919,1298540.91363371,830581.411726349,3.84961811486534,1.27723767723701,11.2899577191416,16.4342165248421,16.3804108339086,16.3278682356251
"17","BDI","Burundi",6338067.58601841,3041432.57971491,0.531381389898407,0.620099076965362,397584.340645311,163491.75439292,10.5173700545527,8.02505808922267,11.5286286047145,21.0979170476027,22.8877567299077,29.3125654620694
"18","BEL","Belgium",24397859.3690469,258422.332434831,0.901115824107721,0.999032277017588,902505.490649349,8622.4218636292,8.26099276229763,2.29624751263142,27.2778375235634,32.7037524873686,35.53846154,35
"19","BEN","Benin",38263407.3679236,191413.147771114,0.773658045183703,0.465216160351785,1648592.57937565,13714.9970332338,3.71721032014475,3.27361821682537,21.4989091981451,23.6430484531437,25.1695765686861,26.9706977337692
"20","BES","Bonaire, Sint Eustatius and Saba",0,0,NA,NA,0,0,NA,NA,NA,NA,8.21277525598277,7.03247928979724
"21","BFA","Burkina Faso",66409833.5660976,19341272.4751101,0.52274493548439,0.446024505832457,4234686.87806354,1445456.63763562,1.62431735912998,3.48146732264554,23.5979048609402,23.4351993472302,25.22222222,26.91666667
"22","BGD","Bangladesh",54110768.9820493,0,0.323972743799222,NA,5567419.89542014,0,13.5350203525287,NA,7.71741584235322,NA,21.0046458222654,31.2452319192552
"23","BGR","Bulgaria",49276425.8961233,1115152.3715407,0.444151947197038,0.560745153277379,3698165.77465571,66289.9099542212,6.14689328534543,4.08597067532148,29.3020046303343,30.9140293246785,35.4500393409662,34.9088456228044
"24","BHR","Bahrain",245.376591158214,0,0.0350559017462655,NA,233.319335627848,0,NA,NA,NA,NA,4,5
"25","BHS","Bahamas",501.527106335366,0,0.19458481455356,NA,85.9140537227137,0,18.2148852825965,NA,5.79844435580372,NA,19.6,28.3
"26","BIH","Bosnia and Herzegovina",3422241.62508777,242598.870754612,0.500559111779832,0.547303364688243,227894.604556583,14775.4052814202,9.37608711846964,3.31452876679448,25.1361109060957,23.5456098052358,33.1658274461634,33.8959554999561
"27","BLR","Belarus",103331379.629732,9651.38190341133,0.608398389949101,0.698321457674934,5661387.96205434,460.694321473173,6.68193577192759,1.66839797021285,28.8565257679846,33.3316020297872,35.53846154,35
"28","BLZ","Belize",201458.250469565,0,0.321324477907909,NA,20898.7346976309,0,17.4882405053448,NA,5.68264976735716,NA,21.6063726911993,30.627670132962
"29","BMU","Bermuda",0,0,NA,NA,0,0,NA,NA,NA,NA,19.6,28.3
"30","BOL","Bolivia",67147131.5061032,395606887.63754,0.963160169137008,1.09778377923688,2323847.87970994,12012289.2176012,11.0253649318661,8.17675715971151,24.6768689604375,17.5738648569378,28.1727616650498,26.0576432573576
"31","BRA","Brazil",953087213.51377,1479468704.37432,0.61349794741841,1.18537840706936,51784319.6011954,41603274.6885175,10.5541994791002,5.45410676599222,13.5382914681883,22.546729471077,24.7481367448596,29.1070591176771
"32","BRB","Barbados",0,0,NA,NA,0,0,NA,NA,NA,NA,4,5
"33","BRN","Brunei",1505.2722622125,0,0.257744218476939,NA,194.672619119251,0,17.4918209866391,NA,4.74348413057298,NA,21,31.25
"34","BTN","Bhutan",171563.414336905,1484124.31656903,0.533120448166369,0.286051072975769,10726.9951801065,172943.978282128,12.9946367795535,3.83222379455477,19.4465243204741,16.2313294059404,28.1986754246165,29.2200043602671
"35","BWA","Botswana",1874671.12071965,63214865.1090173,0.220102912458278,0.106817748008663,283908.271178225,19726704.6870309,1.92425723712947,1.41818232860678,22.6481039530913,12.083532930646,12.025983676886,13.2886140350263
"36","CAF","Central African Republic",2623260.01694877,5449822.48678344,0.429207830438251,0.336837891147516,203728.810063122,539312.097402638,8.69763739403391,6.79630654445957,16.7275505776116,20.1206544436936,24.7818356566359,27.3686423539294
"37","CAN","Canada",379949666.17156,49118720.193929,0.40686186055994,0.293486057451623,31128474.0598572,5578768.16141717,4.08501670814227,1.18695935632707,25.0584820265085,19.0530986049323,26.9433082379079,27.2183448501372
"38","CCK","Cocos Islands",0,0,NA,NA,0,0,NA,NA,NA,NA,21,31.25
"39","CHE","Switzerland",4943205.68453875,4427367.48864616,0.609446881203029,0.551391136849038,270365.683868463,267648.328791709,10.0061833719281,3.15886169136659,25.1120341382514,22.2153035802186,26.54556462442,29.4356723314263
"40","CHL","Chile",3072431.08191403,78871234.1890703,0.268298095541119,0.50089738921963,381718.585033484,5248662.0937106,15.2845184642363,4.96614085000237,10.7396842872185,19.063273345945,25.2643398814461,26.1995127232057
"41","CHN","China",1526134956.36726,1998704039.12716,0.458366943659912,0.342603220641649,110983494.590714,194462468.409166,7.05636046833692,1.73850351263179,24.5265778085364,18.4812022551756,23.516084715288,22.7828236142521
"42","CIV","Côte d'Ivoire",28926829.0435292,85667068.7739538,0.814932823220056,0.479261020009271,1183198.9181321,5958275.01071662,6.08211166547474,10.0328518983289,18.3788782207074,16.9696153276983,23.2694857646865,28.9207909266383
"43","CMR","Cameroon",36966571.7143289,3476960.44189883,0.600782175859161,0.38366222330871,2051024.6586163,302085.205046031,4.0743752901222,4.1757213397474,21.0104070117703,22.3346480868481,22.9918670866305,29.2057153592573
"44","COD","Democratic Republic of the Congo",49808335.386947,12576375.5785737,0.704750123715916,0.415328453848093,2355839.02770739,1009351.79230248,11.5978473511019,10.0991822062664,13.9937771176824,17.423108103519,23.1274726704749,29.0662258243343
"45","COG","Republic of Congo",3625444.90673079,6986987.7703248,0.967154384821342,0.70199764889104,124952.298675683,331766.912199886,7.81130256446014,6.50614652912602,17.4673704114117,21.0756372475094,22.3707914027103,29.8431351398528
"46","COK","Cook Islands",0,0,NA,NA,0,0,NA,NA,NA,NA,21,31.25
"47","COL","Colombia",20868076.8284084,502819923.802707,0.957482889691197,1.3620349865238,726490.852668176,12305604.6963475,15.1744756088778,11.694863548366,18.3406634322717,14.9360941457527,22.7057301213668,29.3088429099693
"48","COM","Comoros",0,0,NA,NA,0,0,NA,NA,NA,NA,21,31.25
"49","CPV","Cape Verde",0,0,NA,NA,0,0,NA,NA,NA,NA,42,23.33333333
