"","ISO3","NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha_CORRECT","Graze_FluxDensity_mean_MgC/ha_CORRECT","Crop_FluxDensity_mean_MgC/ha_WRONG","Graze_FluxDensity_mean_MgC/ha_WRONG","CropArea_sum_ha","GrazeArea_sum_ha","Crop_ForestCover_mean_percent_allDelta","Crop_ForestCover_mean_percent_positiveDelta","Graze_ForestCover_mean_percent_allDelta","Graze_ForestCover_mean_percent_positiveDelta","Crop_Delta_mean_percent","Graze_Delta_mean_percent","Crop_ExpertRecs_mean_percent","Graze_ExpertRecs_mean_percent"
"1","ABW","Aruba",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"2","AFG","Afghanistan",4356284.36887822,82126560.5369766,0.0481057681109847,0.111756909212092,0.0290691862163723,0.069433365363059,3018546.10506572,24495595.2808601,2.43197225898207,0.344052262235989,0.225921701827449,0.226979286100983,5.43004713753619,8.79463682685256,8.59284158905284,8.11715385788425
"3","AGO","Angola",52797070.6580538,195415108.340667,NA,NA,0.436804864325715,0.222664963453556,NA,NA,4.80648101753916,4.13847535672317,6.7702006984298,5.92138904258545,20.5315856854133,16.4513581578625,24.3161285194381,25.708246427438
"4","AIA","Anguilla",1.23403399744177,0,0.0691203684750988,NA,0.0192069939772288,NA,0.595113531494141,NA,4.77777777777778,1.71428571428571,NA,NA,2.28571428571429,NA,4,5
"5","ALA","Åland",95934.0685107251,0,0.540021725594429,NA,0.219540199946235,NA,5921.61783893205,NA,18.6996675168049,18.627667007073,NA,NA,16.9105205300253,NA,35.53846154,35
"6","ALB","Albania",853676.000085755,53954.4418852404,0.125431400391716,NA,0.0674488112493365,0.308297563104919,226863.979678604,NA,4.84684696411401,4.32731909423519,1.10664570402948,1.14439002043837,5.51933787364267,21.8945668406703,12.0613522714155,24.0755285736601
"7","AND","Andorra",993.751497812143,449499.084441474,0.616756320269293,0.870429237161258,0.37062827049805,0.522628675428686,53.7084888122559,17213.6943188869,8.18496420047733,8.18496420047733,6.85042577230206,6.31704963949392,27.3534973395226,28.1495742276979,35.53846154,35
"8","ARE","United Arab Emirates",14951.1350620895,88572.7828418185,0.0473172421269094,NA,0.0321790734088705,0.0366270916530726,10532.5489469492,NA,3.80665503370644,0.0203334061184691,0,0,2.84091650361057,5,5.16079688071161,5.73571633273546
"9","ARG","Argentina",348781547.68606,509777705.112107,0.27081223829438,0.244581406627694,0.170002313344793,0.137050258978984,42930303.5297005,69476214.094516,5.9639573098921,5.93763497652467,4.07024630772756,3.75646196524244,21.259759090556,16.6135713078934,27.2138541475463,22.2662356742334
"10","ARM","Armenia",3663701.42152212,1838424.79498633,0.333994643806674,NA,0.200436847868332,0.175402639877714,365644.728087594,NA,4.26342336565647,4.24547247436406,0.904808804610445,0.878012614756406,26.7843397756141,24.2764509153186,31.7440393021989,27.7710514628634
"11","ASM","American Samoa",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,31.25
"12","ATF","French Southern Territories",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3136807095297,17.2410652367086
"13","ATG","Antigua and Barbuda",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9261114625562,10.1353677054935
"14","AUS","Australia",180148954.643009,1020749037.84874,0.135665393137626,0.13354061455599,0.0873305814056681,0.0919771157455965,44263057.9242505,254791158.790314,3.80296985730887,3.44500106585302,2.01619075221502,1.90900384551858,15.4813319423846,14.2908879295729,14.7391030859061,16.6478323844069
"15","AUT","Austria",19588228.2989509,6521249.79930377,0.530415803961609,0.572634424520752,0.288173265140007,0.301902494868278,1230998.28176617,379605.179154311,7.59017025989499,7.46855986273654,3.85216712890228,3.28631997498199,27.6061853517178,21.4308017015216,26.4250469453386,29.3611023833109
"16","AZE","Azerbaijan",5515451.32302463,5358626.1837957,0.141580735349871,0.215055225497919,0.0815739834062018,0.129701547746735,1298540.91363371,830581.411726349,3.84961811486534,2.68572932430937,1.27723767723701,1.17591639443,11.2899577191416,16.4342165248421,16.3804108339086,16.3278682356251
"17","BDI","Burundi",6338067.58601841,3041432.57971491,0.531381389898407,0.620099076965362,0.419254622825139,0.494453643603759,397584.340645311,163491.75439292,10.5173700545527,10.2376718458411,8.02505808922267,7.68705599687661,11.5286286047145,21.0979170476027,22.8877567299077,29.3125654620694
"18","BEL","Belgium",24397859.3690469,258422.332434831,0.901115824107721,0.999032277017588,0.465583614193212,0.516593312766169,902505.490649349,8622.4218636292,8.26099276229763,8.25997102510973,2.29624751263142,2.35574403794297,27.2778375235634,32.7037524873686,35.53846154,35
"19","BEN","Benin",38263407.3679236,191413.147771114,0.773658045183703,NA,0.572486217509746,0.342910373905901,1648592.57937565,NA,3.71721032014475,3.63280366346981,3.27361821682537,3.27965630794661,21.4989091981451,23.6430484531437,25.1695765686861,26.9706977337692
"20","BES","Bonaire, Sint Eustatius and Saba",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21277525598277,7.03247928979724
"21","BFA","Burkina Faso",66409833.5660976,19341272.4751101,0.52274493548439,0.446024505832457,0.384610267688677,0.328096146331783,4234686.87806354,1445456.63763562,1.62431735912998,1.44910598153396,3.48146732264554,3.52923243604942,23.5979048609402,23.4351993472302,25.22222222,26.91666667
"22","BGD","Bangladesh",54110768.9820493,0,0.323972743799222,NA,0.234624419815947,NA,5567419.89542014,NA,13.5350203525287,12.4453068078472,NA,NA,7.71741584235322,NA,21.0046458222654,31.2452319192552
"23","BGR","Bulgaria",49276425.8961233,1115152.3715407,0.444151947197038,NA,0.264271012777342,0.338815942248598,3698165.77465571,NA,6.14689328534543,6.14434119813753,4.08597067532148,2.97290396557765,29.3020046303343,30.9140293246785,35.4500393409662,34.9088456228044
"24","BHR","Bahrain",245.376591158214,0,0.0350559017462655,NA,0.0237102235664861,NA,233.319335627848,NA,NA,0,NA,NA,NA,NA,4,5
"25","BHS","Bahamas",501.527106335366,0,0.19458481455356,NA,0.0797582065336029,NA,85.9140537227137,NA,18.2148852825965,13.5184606368431,NA,NA,5.79844435580372,NA,19.6,28.3
