BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,sum
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,3.959981408336643E7
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,16548.86592180209
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,9673.184413634117
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,8463.646633218239
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,1604499.0563461448
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,41942.94758770294
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,478.75826111726997
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,3015.855884744215
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,117180.25668108118
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,8733.609851069355
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,2863310.8797287224
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,0.0
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,7260.725216856768
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,211.01763075598342
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,4.171374665619311
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,2122039.525419199
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,2.0098768678808168E7
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,1.1893722240549596E7
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,5.757120242731732E8
Temperate Conifer Forests,5.0,CHN,China,2122230.6492828676
Montane Grasslands & Shrublands,10.0,CHN,China,1.783234703671354E7
Deserts & Xeric Shrublands,13.0,CHN,China,110665.5971663078
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,3.833612644068637E7
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,3.0702208501114033E7
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,43173.756975388926
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,2.0358918500623588E7
Temperate Conifer Forests,5.0,JPN,Japan,278022.17266823805
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,115.16312263264508
Temperate Conifer Forests,5.0,MNG,Mongolia,3197.143500722985
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,1220876.178146268
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,36.38171491698391
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,15949.788885955826
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,23589.913064991415
