"","BIOME_NUM","BIOME_NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha/yr","Graze_FluxDensity_mean_MgC/ha/yr","Crop_Area_sum_ha_positiveDelta","Graze_Area_sum_ha_positiveDelta","Crop_ForestCover_mean_percent_allDelta","Graze_ForestCover_mean_percent_allDelta","Crop_ForestCover_mean_percent_positiveDelta","Graze_ForestCover_mean_percent_positiveDelta","Crop_Delta_mean_percent","Graze_Delta_mean_percent"
"1",1,"Tropical & Subtropical Moist Broadleaf Forests",1119198544.74977,959710727.29706,0.30323111009087,0.775528801908814,123030312.249775,41249735.0167145,9.9701791847023,6.92406868849818,9.30555928745256,5.70239194558641,11.605701235673,24.3207327545169
"2",2,"Tropical & Subtropical Dry Broadleaf Forests",1975644328.7546,185651768.872268,0.889327718234364,0.364933659464428,74050105.049275,16957581.5637951,6.03390740098942,5.99504390855073,5.94338880307597,5.02019667340357,35.9620108370112,17.3566316211169
"3",3,"Tropical & Subtropical Coniferous Forests",4306069.53159768,10655889.7999165,0.114844702597069,0.0685868528135085,1249823.87352117,5178781.53163963,9.22758369174245,5.35336847454736,8.33174427355386,4.68623313092776,11.237353874681,22.8436517878152
"4",4,"Temperate Broadleaf & Mixed Forests",2031481818.68018,153426447.750408,0.250946088795739,0.20183099758047,269843060.506081,25339095.5121973,7.710344833527,2.55163861784055,7.43365655079449,2.00161238235579,27.8280882422742,32.4477607357857
"5",5,"Temperate Conifer Forests",10740081.2230008,62123025.1400094,0.0457988577988661,0.0784115880081303,7816847.94423458,26408947.4179795,6.60324113004183,2.71755585304051,5.88063829575232,2.2830553786449,13.4719686829886,22.4570048007044
"6",7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2358159744.60649,3535734885.55822,0.50320274757273,0.349063091286266,156210046.943067,337640479.502751,5.77488443764303,3.9180819139093,4.85304124262936,3.44651093770139,19.4644284756149,22.9961706577622
"7",8,"Temperate Grasslands, Savannas & Shrublands",693206587.749239,243842022.517803,0.0905167376971073,0.0306711304152911,255277497.247301,265007103.005497,3.87064642438449,1.63962976129526,3.44369820421835,1.60286462861543,23.7965693275224,18.3667933552663
"8",10,"Montane Grasslands & Shrublands",240026556.762818,282125706.415282,0.391994235358022,0.091808986641694,20410721.6477809,102432131.731775,4.5829307809643,1.67722394372895,4.03404097432311,1.54666021611927,23.0820060356216,18.3353258586435
"9",12,"Mediterranean Forests, Woodlands & Scrub",10478862.3939486,33756592.9212407,0.00703777437621517,0.0365666227757957,49631516.2236653,30771771.5945637,3.30918428483318,1.95106209354846,1.76749285085637,1.80292349304458,7.17507582717108,21.0179851785593
"10",13,"Deserts & Xeric Shrublands",1640030.27786791,7664722.06816372,0.000667769902785086,0.00112876952522785,81866037.539168,226344466.160074,4.37059394486622,0.606150826066535,1.25456661377572,0.498401436617091,2.11475352115143,4.46823653454281
