"","ISO3","NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha/yr","Graze_FluxDensity_mean_MgC/ha/yr","CropArea_sum_ha_positiveDelta","GrazeArea_sum_ha_positiveDelta","Crop_ForestCover_mean_percent_allDelta","Crop_ForestCover_mean_percent_positiveDelta","Graze_ForestCover_mean_percent_allDelta","Graze_ForestCover_mean_percent_positiveDelta","Crop_Delta_mean_percent","Graze_Delta_mean_percent","Crop_ExpertRecs_mean_percent","Graze_ExpertRecs_mean_percent"
"1","ABW","Aruba",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,5
"2","AFG","Afghanistan",365738.601462523,6915914.20990832,0.0167472956729633,0.0557428870209313,727955.543001426,4135603.41029784,2.43197225898207,0.344052262235989,0.225921701827449,0.226979286100983,5.43004713753619,8.79463682685256,8.59284158905284,8.11715385788425
"3","AGO","Angola",43253821.5935984,211205875.687099,0.555548233925681,NA,2595263.49842167,NA,4.80648101753916,4.13847535672317,6.7702006984298,5.92138904258545,20.5315856854133,16.4513581578625,24.3161285194381,25.708246427438
"4","AIA","Anguilla",0.159927195452011,0,0.00348356823754412,NA,1.5303005859375,NA,4.77777777777778,1.71428571428571,NA,NA,2.28571428571429,NA,4,5
"5","ALA","Åland",14945.7600859567,0,0.0841310628980193,NA,5921.61783893201,NA,18.6996675168049,18.627667007073,NA,NA,16.9105205300253,NA,35.53846154,35
"6","ALB","Albania",108927.380039177,15169.1886869749,0.0150903585362276,NA,240611.424788603,NA,4.84684696411401,4.32731909423519,1.10664570402948,1.14439002043837,5.51933787364267,21.8945668406703,12.0613522714155,24.0755285736601
"7","AND","Andorra",549.321031741075,200566.034913658,0.340927504440554,0.415224845671743,53.7084888122559,16100.9982105146,8.18496420047733,8.18496420047733,6.85042577230206,6.31704963949392,27.3534973395226,28.1495742276979,35.53846154,35
"8","ARE","United Arab Emirates",13.6581264677855,0,0.00200223686746077,NA,227.381130403862,NA,3.80665503370644,0.0203334061184691,0,0,2.84091650361057,5,5.16079688071161,5.73571633273546
"9","ARG","Argentina",117109410.096741,60088252.8980024,0.0908942337071888,0.0311197539342447,42947135.8524251,64362390.7662931,5.9639573098921,5.93763497652467,4.07024630772756,3.75646196524244,21.259759090556,16.6135713078934,27.2138541475463,22.2662356742334
"10","ARM","Armenia",1200145.39395713,406788.977870398,0.109855512676631,NA,364158.752624416,NA,4.26342336565647,4.24547247436406,0.904808804610445,0.878012614756406,26.7843397756141,24.2764509153186,31.7440393021989,27.7710514628634
"11","ASM","American Samoa",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,31.25
"12","ATF","French Southern Territories",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,23.3136807095297,17.2410652367086
"13","ATG","Antigua and Barbuda",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,11.9261114625562,10.1353677054935
"14","AUS","Australia",52087404.0645105,324978875.364965,0.0392885683045828,0.0627998435832254,44192162.6843253,172494524.838684,3.80296985730887,3.44500106585302,2.01619075221502,1.90900384551858,15.4813319423846,14.2908879295729,14.7391030859061,16.6478323844069
"15","AUT","Austria",7001942.46113244,542860.408423455,0.188083777052625,0.100192275364689,1240926.1750015,180606.208228962,7.59017025989499,7.46855986273654,3.85216712890228,3.28631997498199,27.6061853517178,21.4308017015216,26.4250469453386,29.3611023833109
"16","AZE","Azerbaijan",1824529.7291014,1093327.91683676,0.0298588349464723,0.0602915282070739,2036839.60696191,604467.409905238,3.84961811486534,2.68572932430937,1.27723767723701,1.17591639443,11.2899577191416,16.4342165248421,16.3804108339086,16.3278682356251
"17","BDI","Burundi",6040268.27765887,3823922.90212018,0.495200313434365,0.795121492098578,406587.537325234,160307.698891299,10.5173700545527,10.2376718458411,8.02505808922267,7.68705599687661,11.5286286047145,21.0979170476027,22.8877567299077,29.3125654620694
"18","BEL","Belgium",12601235.5568341,55779.5067324717,0.465453391042308,0.238066573080143,902434.472090078,7810.07122094568,8.26099276229763,8.25997102510973,2.29624751263142,2.35574403794297,27.2778375235634,32.7037524873686,35.53846154,35
"19","BEN","Benin",36472248.4115753,132590.264027653,0.754305099464093,NA,1611737.23282915,NA,3.71721032014475,3.63280366346981,3.27361821682537,3.27965630794661,21.4989091981451,23.6430484531437,25.1695765686861,26.9706977337692
"20","BES","Bonaire, Sint Eustatius and Saba",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,8.21277525598277,7.03247928979724
"21","BFA","Burkina Faso",54878809.2241069,17782688.4937294,0.483997172709521,0.523198303186099,3779554.39401181,1132947.64053062,1.62431735912998,1.44910598153396,3.48146732264554,3.52923243604942,23.5979048609402,23.4351993472302,25.22222222,26.91666667
"22","BGD","Bangladesh",24560341.6641964,0,0.150838144617264,NA,5427526.68796428,NA,13.5350203525287,12.4453068078472,NA,NA,7.71741584235322,NA,21.0046458222654,31.2452319192552
"23","BGR","Bulgaria",18923744.1554733,161074.597493668,0.170614523962709,NA,3697173.35428595,NA,6.14689328534543,6.14434119813753,4.08597067532148,2.97290396557765,29.3020046303343,30.9140293246785,35.4500393409662,34.9088456228044
"24","BHR","Bahrain",0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,4,5
"25","BHS","Bahamas",207.442742363183,0,0.0480742868896196,NA,143.834854891334,NA,18.2148852825965,13.5184606368431,NA,NA,5.79844435580372,NA,19.6,28.3
