BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,sum
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,1.9653390939952265E7
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,7692.905733212532
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,949634.1880107763
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,10568.135756834945
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,768480.1851636507
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,13104.674783783288
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,88825.04784243366
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,7251.147185075952
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,152175.99671020612
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,1708268.956100763
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,2938136.830633641
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,0.0
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,1987235.8670613582
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,53.87488171149756
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,0.9121169799804687
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,314220.5060622695
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,1878681.5020395431
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,1105288.7087591859
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,7.497300272801349E7
Temperate Conifer Forests,5.0,CHN,China,1371515.863942143
Montane Grasslands & Shrublands,10.0,CHN,China,4769166.565952843
Deserts & Xeric Shrublands,13.0,CHN,China,7029598.821292661
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,9142664.743620185
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,1.1874861303554745E7
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,6376.023133934886
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,2499312.8019993375
Temperate Conifer Forests,5.0,JPN,Japan,408605.45818870334
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,3006.9345695483257
Temperate Conifer Forests,5.0,MNG,Mongolia,2937.477279663089
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,539939.5800656471
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,10.548032306410844
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,68883.2253338288
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,74021.67669689121
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,842.1453515197738
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,0.0
Deserts & Xeric Shrublands,13.0,QAT,Qatar,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,1.1299942626953126
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,226.2511361411664
Temperate Broadleaf & Mixed Forests,4.0,ARM,Armenia,155746.5308355715
"Temperate Grasslands, Savannas & Shrublands",8.0,ARM,Armenia,208375.76319107288
Deserts & Xeric Shrublands,13.0,ARM,Armenia,36.45859777176209
Temperate Broadleaf & Mixed Forests,4.0,AZE,Azerbaijan,360224.7549190116
"Temperate Grasslands, Savannas & Shrublands",8.0,AZE,Azerbaijan,38839.50135819487
Deserts & Xeric Shrublands,13.0,AZE,Azerbaijan,1637775.3506847036
Temperate Broadleaf & Mixed Forests,4.0,GEO,Georgia,170496.79125151757
"Temperate Grasslands, Savannas & Shrublands",8.0,GEO,Georgia,30488.30833897461
Deserts & Xeric Shrublands,13.0,GEO,Georgia,141855.54060897892
Deserts & Xeric Shrublands,13.0,ISR,Israel,10775.256212741066
"Temperate Grasslands, Savannas & Shrublands",8.0,ISR,Israel,1661.098382516204
"Mediterranean Forests, Woodlands & Scrub",12.0,ISR,Israel,241884.0264033274
Temperate Broadleaf & Mixed Forests,4.0,IRQ,Iraq,90610.59753181503
"Temperate Grasslands, Savannas & Shrublands",8.0,IRQ,Iraq,6057.131727914977
"Mediterranean Forests, Woodlands & Scrub",12.0,IRQ,Iraq,3554.3706062378246
Deserts & Xeric Shrublands,13.0,IRQ,Iraq,235144.27138420456
"Temperate Grasslands, Savannas & Shrublands",8.0,JOR,Jordan,5244.237498172835
"Mediterranean Forests, Woodlands & Scrub",12.0,JOR,Jordan,10483.685811835683
Deserts & Xeric Shrublands,13.0,JOR,Jordan,4668.82569870599
