BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,sum
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,3.557620117665365E7
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,1561750.535804102
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,5.4517320738679215E7
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,115905.55748616255
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,714858.3453351518
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,13481.634996980392
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,20539.443261729026
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,5965.870269435927
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,287241.1691036508
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,401431.8301510752
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,2158954.022999459
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,38896.09199041098
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,537863.3498975498
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,2856.009824761723
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,0.0
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,0.0
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,1.3422099754800951E7
Temperate Conifer Forests,5.0,CHN,China,8984352.21124539
Montane Grasslands & Shrublands,10.0,CHN,China,6.959787640003635E7
Deserts & Xeric Shrublands,13.0,CHN,China,4411549.898942674
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,4673721.315467283
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,2.858775270083691E7
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,0.0
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,0.0
Temperate Conifer Forests,5.0,JPN,Japan,0.0
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,4444114.565299841
Temperate Conifer Forests,5.0,MNG,Mongolia,4678638.898490917
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,3.3982850379332386E7
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,5482242.41913834
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,0.0
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,0.0
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,0.0
Deserts & Xeric Shrublands,13.0,QAT,Qatar,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,0.0
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,0.0
Temperate Broadleaf & Mixed Forests,4.0,ARM,Armenia,71386.96777997368
"Temperate Grasslands, Savannas & Shrublands",8.0,ARM,Armenia,102110.74824866021
Deserts & Xeric Shrublands,13.0,ARM,Armenia,0.0
Temperate Broadleaf & Mixed Forests,4.0,AZE,Azerbaijan,239247.40969430516
"Temperate Grasslands, Savannas & Shrublands",8.0,AZE,Azerbaijan,91541.11862057002
Deserts & Xeric Shrublands,13.0,AZE,Azerbaijan,273678.8815903626
Temperate Broadleaf & Mixed Forests,4.0,GEO,Georgia,580629.3428730996
"Temperate Grasslands, Savannas & Shrublands",8.0,GEO,Georgia,23482.84455194019
Deserts & Xeric Shrublands,13.0,GEO,Georgia,57997.61712826227
Deserts & Xeric Shrublands,13.0,ISR,Israel,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ISR,Israel,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,ISR,Israel,0.0
Temperate Broadleaf & Mixed Forests,4.0,IRQ,Iraq,18503.40976181994
"Temperate Grasslands, Savannas & Shrublands",8.0,IRQ,Iraq,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,IRQ,Iraq,0.0
Deserts & Xeric Shrublands,13.0,IRQ,Iraq,9.852132605698534
"Temperate Grasslands, Savannas & Shrublands",8.0,JOR,Jordan,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,JOR,Jordan,1653.8105044308268
Deserts & Xeric Shrublands,13.0,JOR,Jordan,11.602191691870587
"Temperate Grasslands, Savannas & Shrublands",8.0,KGZ,Kyrgyzstan,3285233.1302285963
Montane Grasslands & Shrublands,10.0,KGZ,Kyrgyzstan,2255390.894872001
Temperate Conifer Forests,5.0,KGZ,Kyrgyzstan,300208.1355674887
Deserts & Xeric Shrublands,13.0,KGZ,Kyrgyzstan,130.9782703120692
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,OMN,Oman,95.28924167741371
Deserts & Xeric Shrublands,13.0,OMN,Oman,438.5417427157545
"Temperate Grasslands, Savannas & Shrublands",8.0,OMN,Oman,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,PSE,Palestina,0.0
Deserts & Xeric Shrublands,13.0,PSE,Palestina,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SAU,Saudi Arabia,0.0
Deserts & Xeric Shrublands,13.0,SAU,Saudi Arabia,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,SAU,Saudi Arabia,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,SYR,Syria,375.94810780460205
"Mediterranean Forests, Woodlands & Scrub",12.0,SYR,Syria,30568.4701275329
Deserts & Xeric Shrublands,13.0,SYR,Syria,70.2842147685453
Temperate Broadleaf & Mixed Forests,4.0,TUR,Turkey,1074432.249330419
Temperate Conifer Forests,5.0,TUR,Turkey,535324.8109045527
"Temperate Grasslands, Savannas & Shrublands",8.0,TUR,Turkey,478817.3662859939
"Mediterranean Forests, Woodlands & Scrub",12.0,TUR,Turkey,218466.21189116372
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,YEM,Yemen,497893.62604146346
Deserts & Xeric Shrublands,13.0,YEM,Yemen,898494.3910793646
Tropical & Subtropical Moist Broadleaf Forests,1.0,IOT,British Indian Ocean Territory,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MDV,Maldives,0.0
Montane Grasslands & Shrublands,10.0,AFG,Afghanistan,1710918.5087226925
Deserts & Xeric Shrublands,13.0,AFG,Afghanistan,1939724.5730659277
Temperate Conifer Forests,5.0,AFG,Afghanistan,272288.05107273237
"Temperate Grasslands, Savannas & Shrublands",8.0,AFG,Afghanistan,212672.2774364886
Tropical & Subtropical Moist Broadleaf Forests,1.0,BGD,Bangladesh,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BGD,Bangladesh,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,BTN,Bhutan,0.0
Tropical & Subtropical Coniferous Forests,3.0,BTN,Bhutan,0.0
Temperate Broadleaf & Mixed Forests,4.0,BTN,Bhutan,0.0
Temperate Conifer Forests,5.0,BTN,Bhutan,4017.9650526085684
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BTN,Bhutan,0.0
Montane Grasslands & Shrublands,10.0,BTN,Bhutan,78999.28171012431
Tropical & Subtropical Moist Broadleaf Forests,1.0,IND,India,7321.218290899904
Tropical & Subtropical Dry Broadleaf Forests,2.0,IND,India,4939.23339791774
Deserts & Xeric Shrublands,13.0,IND,India,9716.179368046842
Tropical & Subtropical Coniferous Forests,3.0,IND,India,72065.37929402727
Temperate Broadleaf & Mixed Forests,4.0,IND,India,166906.28851319052
Temperate Conifer Forests,5.0,IND,India,52980.64250599941
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,IND,India,0.0
Montane Grasslands & Shrublands,10.0,IND,India,310593.7488494987
Temperate Broadleaf & Mixed Forests,4.0,IRN,Iran,1582259.329938312
Temperate Conifer Forests,5.0,IRN,Iran,1123368.6261499636
"Temperate Grasslands, Savannas & Shrublands",8.0,IRN,Iran,715333.0281813447
Deserts & Xeric Shrublands,13.0,IRN,Iran,276785.01308818336
Montane Grasslands & Shrublands,10.0,IRN,Iran,328185.6054986746
Tropical & Subtropical Moist Broadleaf Forests,1.0,LKA,Sri Lanka,0.0
Tropical & Subtropical Dry Broadleaf Forests,2.0,LKA,Sri Lanka,0.0
Deserts & Xeric Shrublands,13.0,LKA,Sri Lanka,746.1422329956185
Tropical & Subtropical Moist Broadleaf Forests,1.0,NPL,Nepal,3649.56862267302
Tropical & Subtropical Coniferous Forests,3.0,NPL,Nepal,2743.2603729365646
Temperate Broadleaf & Mixed Forests,4.0,NPL,Nepal,20725.662205696728
Temperate Conifer Forests,5.0,NPL,Nepal,2966.8384135007373
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,NPL,Nepal,0.0
Montane Grasslands & Shrublands,10.0,NPL,Nepal,10344.590503150144
Tropical & Subtropical Moist Broadleaf Forests,1.0,PAK,Pakistan,0.0
Temperate Conifer Forests,5.0,PAK,Pakistan,7615.685780671078
Montane Grasslands & Shrublands,10.0,PAK,Pakistan,71944.96109605813
Deserts & Xeric Shrublands,13.0,PAK,Pakistan,89043.7225302853
Tropical & Subtropical Coniferous Forests,3.0,PAK,Pakistan,0.0
Temperate Broadleaf & Mixed Forests,4.0,PAK,Pakistan,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,CXR,Christmas Island,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,CCK,Cocos Islands,0.0
Tropical & Subtropical Dry Broadleaf Forests,2.0,TLS,East Timor,7742.884135776943
Tropical & Subtropical Moist Broadleaf Forests,1.0,BRN,Brunei,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,SGP,Singapore,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,S--,Spratly islands,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,P--,Paracel Islands,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,IDN,Indonesia,16051.866893625656
Tropical & Subtropical Dry Broadleaf Forests,2.0,IDN,Indonesia,112147.72543263517
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,IDN,Indonesia,0.0
Montane Grasslands & Shrublands,10.0,IDN,Indonesia,3856.542600612256
Tropical & Subtropical Coniferous Forests,3.0,IDN,Indonesia,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,KHM,Cambodia,196.40007573852523
Tropical & Subtropical Dry Broadleaf Forests,2.0,KHM,Cambodia,11532.476826355061
Tropical & Subtropical Moist Broadleaf Forests,1.0,LAO,Laos,1114.426372527987
Tropical & Subtropical Dry Broadleaf Forests,2.0,LAO,Laos,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MMR,Myanmar,0.0
Tropical & Subtropical Coniferous Forests,3.0,MMR,Myanmar,0.0
Tropical & Subtropical Dry Broadleaf Forests,2.0,MMR,Myanmar,0.0
Temperate Broadleaf & Mixed Forests,4.0,MMR,Myanmar,0.0
Temperate Conifer Forests,5.0,MMR,Myanmar,0.0
Montane Grasslands & Shrublands,10.0,MMR,Myanmar,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MYS,Malaysia,69.98257706909178
Montane Grasslands & Shrublands,10.0,MYS,Malaysia,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MYS,Malaysia,0.0
Montane Grasslands & Shrublands,10.0,MYS,Malaysia,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,PHL,Philippines,0.0
Tropical & Subtropical Coniferous Forests,3.0,PHL,Philippines,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,THA,Thailand,0.0
Tropical & Subtropical Dry Broadleaf Forests,2.0,THA,Thailand,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,VNM,Vietnam,1539.4168957525221
Tropical & Subtropical Dry Broadleaf Forests,2.0,VNM,Vietnam,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,GNQ,Equatorial Guinea,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,STP,Sao Tome and Principe,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,AGO,Angola,0.0
Tropical & Subtropical Dry Broadleaf Forests,2.0,AGO,Angola,6910.493353343162
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,AGO,Angola,1.692872308584366E7
Montane Grasslands & Shrublands,10.0,AGO,Angola,478195.57860915246
Deserts & Xeric Shrublands,13.0,AGO,Angola,1684223.57711831
Tropical & Subtropical Moist Broadleaf Forests,1.0,COD,Democratic Republic of the Congo,127087.70267563168
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,COD,Democratic Republic of the Congo,835025.8126896498
Montane Grasslands & Shrublands,10.0,COD,Democratic Republic of the Congo,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,CAF,Central African Republic,40.87330027736284
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,CAF,Central African Republic,535206.8327917886
Tropical & Subtropical Moist Broadleaf Forests,1.0,COG,Republic of Congo,50131.03922804224
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,COG,Republic of Congo,259927.15024978804
Tropical & Subtropical Moist Broadleaf Forests,1.0,CMR,Cameroon,101.28127231959942
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,CMR,Cameroon,231061.68409259125
Tropical & Subtropical Moist Broadleaf Forests,1.0,GAB,Gabon,17594.503735911498
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,GAB,Gabon,168966.99826326742
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,TCD,Chad,2.244116622164732E7
Deserts & Xeric Shrublands,13.0,TCD,Chad,4865.289215484362
Tropical & Subtropical Moist Broadleaf Forests,1.0,COM,Comoros,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MYT,Mayotte,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MUS,Mauritius,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,REU,Reunion,0.0
Deserts & Xeric Shrublands,13.0,DJI,Djibouti,1872.3571172128254
Tropical & Subtropical Moist Broadleaf Forests,1.0,BDI,Burundi,80841.17442277276
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BDI,Burundi,79466.52446852624
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,ERI,Eritrea,1096446.119573028
Montane Grasslands & Shrublands,10.0,ERI,Eritrea,713891.6308958284
Deserts & Xeric Shrublands,13.0,ERI,Eritrea,13629.007853965091
Tropical & Subtropical Moist Broadleaf Forests,1.0,ETH,Ethiopia,29470.848975310684
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,ETH,Ethiopia,6708790.221476997
Montane Grasslands & Shrublands,10.0,ETH,Ethiopia,41707.39532453503
Deserts & Xeric Shrublands,13.0,ETH,Ethiopia,186510.40686177454
Tropical & Subtropical Moist Broadleaf Forests,1.0,KEN,Kenya,201154.4104101633
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,KEN,Kenya,1.3796233961120933E7
Tropical & Subtropical Moist Broadleaf Forests,1.0,KEN,Kenya,672.4514349887634
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,KEN,Kenya,672.4514349887634
Montane Grasslands & Shrublands,10.0,KEN,Kenya,30189.53832725377
Tropical & Subtropical Moist Broadleaf Forests,1.0,MDG,Madagascar,8021315.07703726
Tropical & Subtropical Dry Broadleaf Forests,2.0,MDG,Madagascar,4420596.684802855
Montane Grasslands & Shrublands,10.0,MDG,Madagascar,27812.649614132602
Deserts & Xeric Shrublands,13.0,MDG,Madagascar,4699700.000011969
Tropical & Subtropical Moist Broadleaf Forests,1.0,MWI,Malawi,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,MWI,Malawi,409065.20360678714
Montane Grasslands & Shrublands,10.0,MWI,Malawi,14088.55184727667
Tropical & Subtropical Moist Broadleaf Forests,1.0,MOZ,Mozambique,3098368.6133169704
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,MOZ,Mozambique,1.2952427383493057E7
Montane Grasslands & Shrublands,10.0,MOZ,Mozambique,16638.530507280582
Tropical & Subtropical Moist Broadleaf Forests,1.0,RWA,Rwanda,31308.68817598844
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,RWA,Rwanda,148120.66894188232
Montane Grasslands & Shrublands,10.0,RWA,Rwanda,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,SYC,Seychelles,0.0
Deserts & Xeric Shrublands,13.0,SYC,Seychelles,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,SOM,Somalia,3327150.019424523
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SOM,Somalia,1.1751933204892447E7
Deserts & Xeric Shrublands,13.0,SOM,Somalia,160740.99955057199
Deserts & Xeric Shrublands,13.0,ATF,French Southern Territories,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,TZA,Tanzania,907191.3490273741
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,TZA,Tanzania,1.0383689590309352E7
Montane Grasslands & Shrublands,10.0,TZA,Tanzania,325168.0907213311
Tropical & Subtropical Moist Broadleaf Forests,1.0,UGA,Uganda,37662.10652145459
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,UGA,Uganda,1299200.7614837317
Montane Grasslands & Shrublands,10.0,UGA,Uganda,1615.193058132444
Tropical & Subtropical Dry Broadleaf Forests,2.0,ZMB,Zambia,139547.05778835586
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,ZMB,Zambia,1.1612387731897827E7
Montane Grasslands & Shrublands,10.0,ZMB,Zambia,1703.4664350354271
Tropical & Subtropical Moist Broadleaf Forests,1.0,ZWE,Zimbabwe,5184.127058916657
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,ZWE,Zimbabwe,1.1839751788630689E7
Montane Grasslands & Shrublands,10.0,ZWE,Zimbabwe,154714.49070689786
Deserts & Xeric Shrublands,13.0,ZWE,Zimbabwe,67473.40062687735
Tropical & Subtropical Dry Broadleaf Forests,2.0,CPV,Cape Verde,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BFA,Burkina Faso,1132947.6405306207
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,GMB,Gambia,299678.8048080337
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,GNB,Guinea-Bissau,503022.26516153687
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SEN,Senegal,1785354.0661900097
Tropical & Subtropical Moist Broadleaf Forests,1.0,BEN,Benin,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BEN,Benin,10192.260014540636
Tropical & Subtropical Moist Broadleaf Forests,1.0,CIV,Côte d'Ivoire,91126.27333647593
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,CIV,Côte d'Ivoire,5074663.836073661
Tropical & Subtropical Moist Broadleaf Forests,1.0,GHA,Ghana,28512.956218855405
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,GHA,Ghana,5138100.146000522
Tropical & Subtropical Moist Broadleaf Forests,1.0,GIN,Guinea,271590.96946146735
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,GIN,Guinea,1626725.2251477784
Tropical & Subtropical Moist Broadleaf Forests,1.0,LBR,Liberia,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,LBR,Liberia,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,MLI,Mali,6922121.358695323
Deserts & Xeric Shrublands,13.0,MLI,Mali,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,MRT,Mauritania,950213.3118918116
Deserts & Xeric Shrublands,13.0,MRT,Mauritania,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,NER,Niger,579171.6433639444
Deserts & Xeric Shrublands,13.0,NER,Niger,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,NGA,Nigeria,18738.352548214385
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,NGA,Nigeria,4992465.06801795
Montane Grasslands & Shrublands,10.0,NGA,Nigeria,46342.78426176086
"Temperate Grasslands, Savannas & Shrublands",8.0,SHN,Saint Helena,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SHN,Saint Helena,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,SLE,Sierra Leone,11241.8578072125
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SLE,Sierra Leone,16774.493109760053
