"","BIOME_NAME","BIOME_NUM","ISO3","COUNTRY","sum"
"1","Temperate Grasslands, Savannas & Shrublands",8,"ATF","French Southern Territories",0
"2","Temperate Grasslands, Savannas & Shrublands",8,"KAZ","Kazakhstan",153378615.115769
"3","Montane Grasslands & Shrublands",10,"KAZ","Kazakhstan",70873.9742067743
"4","Deserts & Xeric Shrublands",13,"KAZ","Kazakhstan",619945.90253481
"5","Temperate Conifer Forests",5,"KAZ","Kazakhstan",65831.898162158
"6","Temperate Grasslands, Savannas & Shrublands",8,"TJK","Tajikistan",6927458.49975603
"7","Montane Grasslands & Shrublands",10,"TJK","Tajikistan",149520.633007708
"8","Deserts & Xeric Shrublands",13,"TJK","Tajikistan",36926.4280235603
"9","Temperate Grasslands, Savannas & Shrublands",8,"TKM","Turkmenistan",42023.155878944
"10","Montane Grasslands & Shrublands",10,"TKM","Turkmenistan",951666.97099888
"11","Deserts & Xeric Shrublands",13,"TKM","Turkmenistan",670442.817147018
"12","Temperate Grasslands, Savannas & Shrublands",8,"UZB","Uzbekistan",15327051.7962991
"13","Montane Grasslands & Shrublands",10,"UZB","Uzbekistan",0
"14","Deserts & Xeric Shrublands",13,"UZB","Uzbekistan",426310.643812207
"15","Tropical & Subtropical Moist Broadleaf Forests",1,"HKG","Hong Kong",0
"16","Tropical & Subtropical Moist Broadleaf Forests",1,"MAC","Macao",0
"17","Tropical & Subtropical Moist Broadleaf Forests",1,"TWN","Taiwan",4223218.96736051
"18","Temperate Broadleaf & Mixed Forests",4,"PRK","North Korea",32370437.3826949
"19","Temperate Broadleaf & Mixed Forests",4,"KOR","South Korea",16932039.693172
"20","Temperate Broadleaf & Mixed Forests",4,"CHN","China",1046420424.75122
"21","Temperate Conifer Forests",5,"CHN","China",6437685.11040195
"22","Montane Grasslands & Shrublands",10,"CHN","China",59315911.8451691
"23","Deserts & Xeric Shrublands",13,"CHN","China",4285949.76922493
"24","Tropical & Subtropical Moist Broadleaf Forests",1,"CHN","China",68558920.1610938
"25","Temperate Grasslands, Savannas & Shrublands",8,"CHN","China",111463942.627443
"26","Tropical & Subtropical Moist Broadleaf Forests",1,"JPN","Japan",131848.429633725
"27","Temperate Broadleaf & Mixed Forests",4,"JPN","Japan",32631201.3030633
"28","Temperate Conifer Forests",5,"JPN","Japan",844236.49003136
"29","Deserts & Xeric Shrublands",13,"MNG","Mongolia",3531.93432713343
"30","Temperate Conifer Forests",5,"MNG","Mongolia",20635.4757507396
"31","Temperate Grasslands, Savannas & Shrublands",8,"MNG","Mongolia",5455650.19105104
"32","Montane Grasslands & Shrublands",10,"MNG","Mongolia",0
"33","Mediterranean Forests, Woodlands & Scrub",12,"CYP","Cyprus",355174.065098823
"34","Mediterranean Forests, Woodlands & Scrub",12,"LBN","Lebanon",245663.01904893
"35","Deserts & Xeric Shrublands",13,"KWT","Kuwait",283.8801893012
"36","Deserts & Xeric Shrublands",13,"BHR","Bahrain",0
"37","Deserts & Xeric Shrublands",13,"QAT","Qatar",0
"38","Temperate Grasslands, Savannas & Shrublands",8,"ARE","United Arab Emirates",0
"39","Deserts & Xeric Shrublands",13,"ARE","United Arab Emirates",745.807478867802
"40","Temperate Broadleaf & Mixed Forests",4,"ARM","Armenia",1889188.04928622
"41","Temperate Grasslands, Savannas & Shrublands",8,"ARM","Armenia",1764800.73363319
"42","Deserts & Xeric Shrublands",13,"ARM","Armenia",315.3801420515
"43","Temperate Broadleaf & Mixed Forests",4,"AZE","Azerbaijan",4039900.56714978
"44","Temperate Grasslands, Savannas & Shrublands",8,"AZE","Azerbaijan",336984.453176217
"45","Deserts & Xeric Shrublands",13,"AZE","Azerbaijan",509584.681375136
"46","Temperate Broadleaf & Mixed Forests",4,"GEO","Georgia",1916737.69260762
"47","Temperate Grasslands, Savannas & Shrublands",8,"GEO","Georgia",239173.837331475
"48","Deserts & Xeric Shrublands",13,"GEO","Georgia",34610.9938076578
"49","Deserts & Xeric Shrublands",13,"ISR","Israel",19590.0463349271
"50","Temperate Grasslands, Savannas & Shrublands",8,"ISR","Israel",10959.6149363553
"51","Mediterranean Forests, Woodlands & Scrub",12,"ISR","Israel",917419.207944003
"52","Temperate Broadleaf & Mixed Forests",4,"IRQ","Iraq",2657117.02339755
"53","Temperate Grasslands, Savannas & Shrublands",8,"IRQ","Iraq",82748.7018249182
"54","Mediterranean Forests, Woodlands & Scrub",12,"IRQ","Iraq",30463.7121231093
"55","Deserts & Xeric Shrublands",13,"IRQ","Iraq",246673.445825858
"56","Temperate Grasslands, Savannas & Shrublands",8,"JOR","Jordan",52665.5253010064
"57","Mediterranean Forests, Woodlands & Scrub",12,"JOR","Jordan",41049.6723706941
"58","Deserts & Xeric Shrublands",13,"JOR","Jordan",8982.79407779818
"59","Temperate Grasslands, Savannas & Shrublands",8,"KGZ","Kyrgyzstan",7529610.22001172
"60","Montane Grasslands & Shrublands",10,"KGZ","Kyrgyzstan",359691.516321165
"61","Temperate Conifer Forests",5,"KGZ","Kyrgyzstan",147161.400655818
"62","Deserts & Xeric Shrublands",13,"KGZ","Kyrgyzstan",129421.240923986
