"","BIOME_NAME","BIOME_NUM","ISO3","COUNTRY","sum"
"1","Temperate Grasslands, Savannas & Shrublands",8,"ATF","French Southern Territories",0
"2","Temperate Grasslands, Savannas & Shrublands",8,"KAZ","Kazakhstan",173708056.729723
"3","Montane Grasslands & Shrublands",10,"KAZ","Kazakhstan",6910047.45697532
"4","Deserts & Xeric Shrublands",13,"KAZ","Kazakhstan",52033461.6596244
"5","Temperate Conifer Forests",5,"KAZ","Kazakhstan",657452.913024919
"6","Temperate Grasslands, Savannas & Shrublands",8,"TJK","Tajikistan",4394678.75569585
"7","Montane Grasslands & Shrublands",10,"TJK","Tajikistan",78085.7597424652
"8","Deserts & Xeric Shrublands",13,"TJK","Tajikistan",50770.1789987607
"9","Temperate Grasslands, Savannas & Shrublands",8,"TKM","Turkmenistan",40294.7818103463
"10","Montane Grasslands & Shrublands",10,"TKM","Turkmenistan",1745590.91113769
"11","Deserts & Xeric Shrublands",13,"TKM","Turkmenistan",789938.838903707
"12","Temperate Grasslands, Savannas & Shrublands",8,"UZB","Uzbekistan",13523088.6187114
"13","Montane Grasslands & Shrublands",10,"UZB","Uzbekistan",235742.630832605
"14","Deserts & Xeric Shrublands",13,"UZB","Uzbekistan",615661.465917076
"15","Tropical & Subtropical Moist Broadleaf Forests",1,"HKG","Hong Kong",0
"16","Tropical & Subtropical Moist Broadleaf Forests",1,"MAC","Macao",0
"17","Tropical & Subtropical Moist Broadleaf Forests",1,"TWN","Taiwan",133200.430624016
"18","Temperate Broadleaf & Mixed Forests",4,"PRK","North Korea",0
"19","Temperate Broadleaf & Mixed Forests",4,"KOR","South Korea",0
"20","Temperate Broadleaf & Mixed Forests",4,"CHN","China",203251077.046985
"21","Temperate Conifer Forests",5,"CHN","China",56549752.2601967
"22","Montane Grasslands & Shrublands",10,"CHN","China",390216395.740889
"23","Deserts & Xeric Shrublands",13,"CHN","China",7871159.27711536
"24","Tropical & Subtropical Moist Broadleaf Forests",1,"CHN","China",112957128.613378
"25","Temperate Grasslands, Savannas & Shrublands",8,"CHN","China",166512693.567159
"26","Tropical & Subtropical Moist Broadleaf Forests",1,"JPN","Japan",0
"27","Temperate Broadleaf & Mixed Forests",4,"JPN","Japan",0
"28","Temperate Conifer Forests",5,"JPN","Japan",0
"29","Deserts & Xeric Shrublands",13,"MNG","Mongolia",7013826.5223071
"30","Temperate Conifer Forests",5,"MNG","Mongolia",35957782.9415129
"31","Temperate Grasslands, Savannas & Shrublands",8,"MNG","Mongolia",161577140.908167
"32","Montane Grasslands & Shrublands",10,"MNG","Mongolia",29949442.928464
"33","Mediterranean Forests, Woodlands & Scrub",12,"CYP","Cyprus",0
"34","Mediterranean Forests, Woodlands & Scrub",12,"LBN","Lebanon",0
"35","Deserts & Xeric Shrublands",13,"KWT","Kuwait",0
"36","Deserts & Xeric Shrublands",13,"BHR","Bahrain",0
"37","Deserts & Xeric Shrublands",13,"QAT","Qatar",0
"38","Temperate Grasslands, Savannas & Shrublands",8,"ARE","United Arab Emirates",0
"39","Deserts & Xeric Shrublands",13,"ARE","United Arab Emirates",0
"40","Temperate Broadleaf & Mixed Forests",4,"ARM","Armenia",871055.696164503
"41","Temperate Grasslands, Savannas & Shrublands",8,"ARM","Armenia",814687.077934387
"42","Deserts & Xeric Shrublands",13,"ARM","Armenia",0
"43","Temperate Broadleaf & Mixed Forests",4,"AZE","Azerbaijan",2771144.14385861
"44","Temperate Grasslands, Savannas & Shrublands",8,"AZE","Azerbaijan",623631.871694919
"45","Deserts & Xeric Shrublands",13,"AZE","Azerbaijan",344163.403118491
"46","Temperate Broadleaf & Mixed Forests",4,"GEO","Georgia",6546512.1009478
"47","Temperate Grasslands, Savannas & Shrublands",8,"GEO","Georgia",255078.250966706
"48","Deserts & Xeric Shrublands",13,"GEO","Georgia",63504.1637783286
"49","Deserts & Xeric Shrublands",13,"ISR","Israel",0
"50","Temperate Grasslands, Savannas & Shrublands",8,"ISR","Israel",0
"51","Mediterranean Forests, Woodlands & Scrub",12,"ISR","Israel",0
"52","Temperate Broadleaf & Mixed Forests",4,"IRQ","Iraq",339030.266407641
"53","Temperate Grasslands, Savannas & Shrublands",8,"IRQ","Iraq",0
"54","Mediterranean Forests, Woodlands & Scrub",12,"IRQ","Iraq",0
"55","Deserts & Xeric Shrublands",13,"IRQ","Iraq",0
"56","Temperate Grasslands, Savannas & Shrublands",8,"JOR","Jordan",0
"57","Mediterranean Forests, Woodlands & Scrub",12,"JOR","Jordan",37998.4115697889
