BIOME_NAME,BIOME_NUM,mean
Tropical & Subtropical Moist Broadleaf Forests,1,9.970139513
Tropical & Subtropical Dry Broadleaf Forests,2,6.033857748
Tropical & Subtropical Coniferous Forests ,3,9.22757099
Temperate Broadleaf & Mixed Forests,4,7.710294381
Temperate Conifer Forests,5,6.60306817
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7,5.774880572
"Temperate Grasslands, Savannas & Shrublands",8,3.870625099
Montane Grasslands & Shrublands,10,4.582929527
"Mediterranean Forests, Woodlands & Scrub",12,3.309155155
Deserts & Xeric Shrublands,13,4.370580215
