BIOME_NAME,BIOME_NUM,mean
Tropical & Subtropical Moist Broadleaf Forests,1,11.09995895
Tropical & Subtropical Dry Broadleaf Forests,2,35.96181286
Tropical & Subtropical Coniferous Forests ,3,10.53016952
Temperate Broadleaf & Mixed Forests,4,27.82812298
Temperate Conifer Forests,5,13.15149438
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7,19.44682501
"Temperate Grasslands, Savannas & Shrublands",8,23.796589
Montane Grasslands & Shrublands,10,23.0819157
"Mediterranean Forests, Woodlands & Scrub",12,6.713220904
Deserts & Xeric Shrublands,13,1.071443055
