BIOME_NAME,BIOME_NUM,mean
Tropical & Subtropical Moist Broadleaf Forests,1,17.66828466
Tropical & Subtropical Dry Broadleaf Forests,2,11.84812494
Tropical & Subtropical Coniferous Forests ,3,15.95506851
Temperate Broadleaf & Mixed Forests,4,24.5274303
Temperate Conifer Forests,5,18.70201688
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7,18.07555853
"Temperate Grasslands, Savannas & Shrublands",8,16.65622394
Montane Grasslands & Shrublands,10,16.06661223
"Mediterranean Forests, Woodlands & Scrub",12,17.3204392
Deserts & Xeric Shrublands,13,3.165523873
