ADM0_CODE,ADM0_NAME,areaHa,mean
2647,Montenegro,1375248.7994667792,17.101449275362317
2648,Serbia,8830166.067705309,16.894257044013322
74,South Sudan,6.325043999592705E7,13.869046623940456
6,Sudan,1.8493810568671167E8,23.442869543236256
147296,Taiwan,3621078.487012282,15.620535714285714
56,Cocos (Keeling) Islands,1583.2597012558101,
54,Christmas Island,13634.107975092116,
16,Ashmore and Cartier Islands,69.07711941261599,
82,Faroe Islands,139160.47916418288,
88,French Southern and Antarctic Territories,767604.7318854181,
161,Mayotte,37975.04624938594,
206,R�union,251128.70815666346,
247,Tromelin Island,89.1035644985283,
131,Juan de Nova Island,552.4863305611332,
96,Glorioso Island,493.9740071922954,
80,Europa Island,2479.362128412071,
25,Bassas da India,105.4896796256114,
210,Saint Pierre et Miquelon,23252.68191535043,
37,Brazil,8.51829085454009E8,15.308560674353533
250,Turkmenistan,5.545690044901421E7,7.23853903481089
261,Uzbekistan,4.488872905388646E7,13.225441142106733
239,Tajikistan,1.4190155069767214E7,17.255886183363565
138,Kyrgyzstan,1.9891031344047796E7,16.669448947327652
132,Kazakhstan,2.8329982710690683E8,9.602079337162968
167,Mongolia,1.5604355578223833E8,16.277154347590173
202,Republic of Korea,9910137.187147338,
67,Dem People's Rep of Korea,1.2233206884463632E7,
147295,China,9.343372231452856E8,17.184108069233524
171,Myanmar,6.6889653974108204E7,
44,Cambodia,1.8211978385532655E7,7.394097448501898
264,Viet Nam,3.286658426228757E7,21.552083333333332
139,Lao People's Democratic Republic,2.311001358607382E7,18.739157766171992
153,Malaysia,3.3123385983418867E7,6.25
240,Thailand,5.1724223014046006E7,
40,Brunei Darussalam,592492.6113652972,
196,Philippines,2.9718101446289226E7,
116,Indonesia,1.8969785062123498E8,9.188674157883423
222,Singapore,59666.900359775194,
242,Timor-Leste,1495447.439234595,1.6685064099323643
154,Maldives,22420.38571894398,
175,Nepal,1.476551620446641E7,12.588811553483797
188,Pakistan,7.894146342584172E7,5.810175610386823
115,India,2.9685193040796506E8,14.843623312451406
