ADM0_CODE,ADM0_NAME,mean
2647,Montenegro,21.574338054187194
2648,Serbia,18.678095613363563
74,South Sudan,16.461089498860428
6,Sudan,23.439730742221563
147296,Taiwan,16.600567574593455
56,Cocos (Keeling) Islands,
54,Christmas Island,
16,Ashmore and Cartier Islands,
82,Faroe Islands,
88,French Southern and Antarctic Territories,
161,Mayotte,
206,R�union,
247,Tromelin Island,
131,Juan de Nova Island,
96,Glorioso Island,
80,Europa Island,
25,Bassas da India,
210,Saint Pierre et Miquelon,
37,Brazil,17.00036260892128
250,Turkmenistan,9.825207500695944
261,Uzbekistan,14.815777147614186
239,Tajikistan,17.345448963104403
138,Kyrgyzstan,17.006026039562368
132,Kazakhstan,9.587618469931309
167,Mongolia,16.934091090383266
202,Republic of Korea,
67,Dem People's Rep of Korea,
147295,China,17.519115507209353
171,Myanmar,
44,Cambodia,6.9626368676187225
264,Viet Nam,21.949983650335167
139,Lao People's Democratic Republic,16.289730854307372
153,Malaysia,14.392857142857142
240,Thailand,
40,Brunei Darussalam,
196,Philippines,
116,Indonesia,11.706359414292217
222,Singapore,
242,Timor-Leste,6.051443016730336
154,Maldives,
175,Nepal,15.976998559214383
188,Pakistan,7.954355115132833
115,India,17.136724284115054
117,Iran  (Islamic Republic of),24.39466524234252
231,Sri Lanka,0.16280718336483932
31,Bhutan,12.918018556910791
23,Bangladesh,
1,Afghanistan,11.334985193431903
187,Oman,6.257448117845015
137,Kuwait,
141,Lebanon,
201,Qatar,
215,Saudi Arabia,
249,Turkey,25.72104479496959
269,Yemen,9.964437317102002
118,Iraq,33.087688794410404
130,Jordan,21.223881274394117
238,Syrian Arab Republic,20.230425407138576
121,Israel,
92,Georgia,24.39980802972793
64,Cyprus,
21,Bahrain,
19,Azerbaijan,15.28945405436765
13,Armenia,22.749277319828526
255,United Arab Emirates,
165,"Moldova, Republic of",
113,Hungary,28.217019188835586
198,Poland,14.254491878410349
203,Romania,16.217397950614313
254,Ukraine,16.431173823819282
26,Belarus,22.73179571961689
65,Czech Republic,
223,Slovakia,18.515366457884916
41,Bulgaria,22.45542437845052
186,Norway,8.429943395302137
236,Sweden,18.259142319265948
147,Lithuania,
140,Latvia,
119,Ireland,19.140218016273334
114,Iceland,
256,U.K. of Great Britain and Northern Ireland,17.815904605047596
84,Finland,
78,Estonia,
69,Denmark,
241,The former Yugoslav Republic of Macedonia,24.247546930578622
62,Croatia,18.55327422886528
156,Malta,
213,San Marino,
224,Slovenia,22.403593552563294
97,Greece,15.359764724687661
122,Italy,15.830531332881144
199,Portugal,10.72596531330435
229,Spain,21.15379795918729
34,Bosnia and Herzegovina,16.485745620181284
7,Andorra,26.728754415501278
3,Albania,16.27142420804608
166,Monaco,
177,Netherlands,18.881447218401277
148,Luxembourg,
146,Liechtenstein,
85,France,19.060648868020127
93,Germany,19.956401498506615
237,Switzerland,18.185790125096684
27,Belgium,21.074406167564053
18,Austria,15.883967796080483
