ADM0_CODE,ADM0_NAME,mean
2647,Montenegro,4.8998178248712705
2648,Serbia,5.494293866564712
74,South Sudan,6.569464478429005
6,Sudan,3.3949792822379568
147296,Taiwan,10.947674405349655
56,Cocos (Keeling) Islands,
54,Christmas Island,
16,Ashmore and Cartier Islands,
82,Faroe Islands,
88,French Southern and Antarctic Territories,
161,Mayotte,10.6
206,R�union,
247,Tromelin Island,
131,Juan de Nova Island,
96,Glorioso Island,
80,Europa Island,
25,Bassas da India,
210,Saint Pierre et Miquelon,
37,Brazil,10.43624320450996
250,Turkmenistan,1.7476150088715767
261,Uzbekistan,2.7329569499659305
239,Tajikistan,2.367766421784378
138,Kyrgyzstan,2.826613429551266
132,Kazakhstan,1.696642712552974
167,Mongolia,2.5572954798462257
202,Republic of Korea,9.33846769725981
67,Dem People's Rep of Korea,6.2184101004569365
147295,China,6.766308009771052
171,Myanmar,5.729070935193512
44,Cambodia,7.503255152979331
264,Viet Nam,12.506446587039466
139,Lao People's Democratic Republic,6.579692820654316
153,Malaysia,14.99418525677969
240,Thailand,5.595139881271759
40,Brunei Darussalam,16.300728103503044
196,Philippines,15.189386359519817
116,Indonesia,13.672487761333487
222,Singapore,8.892086330935252
242,Timor-Leste,12.194156720162923
154,Maldives,
175,Nepal,8.981299035318951
188,Pakistan,2.8998443910157516
115,India,5.47007134109639
117,Iran  (Islamic Republic of),3.3443477382286244
231,Sri Lanka,11.07363719768711
31,Bhutan,12.654338764510333
23,Bangladesh,13.28658495467545
1,Afghanistan,1.7457750109247834
187,Oman,2.133102694828842
137,Kuwait,1.0035055350553506
141,Lebanon,2.751115936432278
201,Qatar,
215,Saudi Arabia,1.2997588029502616
249,Turkey,2.4420020448619466
269,Yemen,1.8177360325271155
118,Iraq,1.2206641153836437
130,Jordan,1.3849452393530661
238,Syrian Arab Republic,2.057210192788123
121,Israel,1.7622772731009435
92,Georgia,7.531513443370173
64,Cyprus,1.8333592309031228
21,Bahrain,
19,Azerbaijan,2.8764833714812057
13,Armenia,4.264906505502668
255,United Arab Emirates,1.321183953033268
165,"Moldova, Republic of",6.209146608047809
113,Hungary,5.870951796597591
198,Poland,5.971636902965009
203,Romania,5.463104414748427
254,Ukraine,6.820131615580638
26,Belarus,6.6826011636115075
65,Czech Republic,7.304569046084433
223,Slovakia,5.6974431255833435
41,Bulgaria,6.144724815306106
186,Norway,16.52922864164946
236,Sweden,13.521164603298287
147,Lithuania,8.466286514661592
140,Latvia,11.160321157699766
119,Ireland,15.895032506772628
114,Iceland,
256,U.K. of Great Britain and Northern Ireland,11.760744054197115
84,Finland,16.036030141403355
78,Estonia,12.38706736581621
69,Denmark,11.127010590791867
241,The former Yugoslav Republic of Macedonia,3.8381284316300377
62,Croatia,7.411535465789853
156,Malta,1.4040047855928468
213,San Marino,5.568429149663311
224,Slovenia,10.309241465375145
97,Greece,4.09674495918839
122,Italy,5.622007335378551
199,Portugal,4.219181538219476
229,Spain,2.5066599690900198
34,Bosnia and Herzegovina,9.33503498695744
7,Andorra,8.138271604938272
3,Albania,4.367378302894198
166,Monaco,5.0
177,Netherlands,13.96047574231021
148,Luxembourg,9.836753293731057
146,Liechtenstein,17.84093391894922
85,France,6.9084025908522175
93,Germany,8.959327733601548
237,Switzerland,9.969953180313563
27,Belgium,8.26017873726281
18,Austria,7.479148973885709
17,Australia,2.5102877942173136
189,Palau,
46,Canada,9.938569246947313
46,Canada,15.552980252011839
46,Canada,
170,Mozambique,8.977592797129093
160,Mauritius,
152,Malawi,4.573991673502201
205,Rwanda,9.270583137177336
226,Somalia,2.450583121580129
270,Zambia,6.073978254671463
133,Kenya,8.389416081946697
150,Madagascar,5.68246925195442
220,Seychelles,
257,United Republic of Tanzania,4.703203369997711
253,Uganda,13.180531779648222
271,Zimbabwe,2.6239271356567024
