ADM0_CODE,ADM0_NAME,areaHA,mean
2647,Montenegro,,17.898550724637683
2648,Serbia,,18.105742955986685
74,South Sudan,,13.08044914906694
6,Sudan,,3.3291149068523547
147296,Taiwan,,15.629464285714286
56,Cocos (Keeling) Islands,,
54,Christmas Island,,
16,Ashmore and Cartier Islands,,
82,Faroe Islands,,
88,French Southern and Antarctic Territories,,
161,Mayotte,,
206,R�union,,
247,Tromelin Island,,
131,Juan de Nova Island,,
96,Glorioso Island,,
80,Europa Island,,
25,Bassas da India,,
210,Saint Pierre et Miquelon,,
37,Brazil,,12.601195590525515
250,Turkmenistan,,1.5186153313321975
261,Uzbekistan,,2.2589110693258636
239,Tajikistan,,2.252184815529244
138,Kyrgyzstan,,3.5629956493600607
132,Kazakhstan,,1.7764447661185896
167,Mongolia,,2.542030177837773
202,Republic of Korea,,
67,Dem People's Rep of Korea,,
147295,China,,4.9806414745805965
171,Myanmar,,
44,Cambodia,,17.187220631059233
264,Viet Nam,,9.697916666666666
139,Lao People's Democratic Republic,,12.476423679294985
153,Malaysia,,25.0
240,Thailand,,
40,Brunei Darussalam,,
196,Philippines,,
116,Indonesia,,15.746605798548789
222,Singapore,,
242,Timor-Leste,,21.98716941140047
154,Maldives,,
175,Nepal,,16.222329533965496
188,Pakistan,,3.7528788781875404
115,India,,10.115892820769638
117,Iran  (Islamic Republic of),,1.8333922114828245
231,Sri Lanka,,7.160987890099397
31,Bhutan,,9.161349729125707
23,Bangladesh,,
1,Afghanistan,,2.04561862911323
187,Oman,,1.0
137,Kuwait,,
141,Lebanon,,
201,Qatar,,
215,Saudi Arabia,,
249,Turkey,,2.6879795050703996
269,Yemen,,2.8481696315522917
118,Iraq,,1.9292505842046896
130,Jordan,,1.471830985915493
238,Syrian Arab Republic,,2.6496331215262576
121,Israel,,
92,Georgia,,9.199736513952903
64,Cyprus,,
21,Bahrain,,
19,Azerbaijan,,4.786178973232009
13,Armenia,,3.9633719050960567
255,United Arab Emirates,,
165,"Moldova, Republic of",,
113,Hungary,,8.487562189054726
198,Poland,,16.28949262600119
203,Romania,,14.378454844930273
254,Ukraine,,10.879106808415374
26,Belarus,,10.109716965069222
65,Czech Republic,,
223,Slovakia,,15.69937369519833
41,Bulgaria,,15.772181850641086
186,Norway,,20.728070175438596
236,Sweden,,18.199346405228763
147,Lithuania,,
140,Latvia,,
119,Ireland,,20.7027972360635
114,Iceland,,
256,U.K. of Great Britain and Northern Ireland,,19.549319692617605
84,Finland,,
78,Estonia,,
69,Denmark,,
241,The former Yugoslav Republic of Macedonia,,8.05996563573883
62,Croatia,,11.752011277368853
156,Malta,,
213,San Marino,,
224,Slovenia,,15.468348002708195
97,Greece,,10.06687102709381
122,Italy,,12.202956473134536
199,Portugal,,8.20106392891793
229,Spain,,11.30796433459704
34,Bosnia and Herzegovina,,15.893617334781547
7,Andorra,,10.308660525837604
3,Albania,,7.619429590017826
166,Monaco,,
177,Netherlands,,19.226097760348225
148,Luxembourg,,
146,Liechtenstein,,
85,France,,16.087330070991477
93,Germany,,18.134256485315195
237,Switzerland,,10.269818102643782
27,Belgium,,16.13351398820725
18,Austria,,11.932634044625742
17,Australia,,2.8779813523451985
189,Palau,,
46,Canada,,
46,Canada,,
46,Canada,,
170,Mozambique,,14.983187284654301
160,Mauritius,,
152,Malawi,,15.60361931235517
205,Rwanda,,9.399618272770908
226,Somalia,,3.0717846453369573
270,Zambia,,17.036833899535484
133,Kenya,,3.0282707767506003
150,Madagascar,,6.3909527988849275
220,Seychelles,,
257,United Republic of Tanzania,,13.007045539635982
253,Uganda,,14.12056679014928
271,Zimbabwe,,7.135438651359914
79,Ethiopia,,4.512798457126933
77,Eritrea,,1.9843017878338813
70,Djibouti,,0.6578947368421053
58,Comoros,,
43,Burundi,,13.83145710937093
89,Gabon,,8.625290369970443
76,Equatorial Guinea,,24.0
50,Chad,,3.867931618479451
214,Sao Tome and Principe,,
59,Congo,,10.056049220048624
68,Democratic Republic of the Congo,,16.65793929993313
45,Cameroon,,4.029619738180387
49,Central African Republic,,12.772107682834541
8,Angola,,11.927106469810738
169,Morocco,,2.8463175733233035
145,Libya,,2.120187519073313
248,Tunisia,,3.1545699516219403
40765,Egypt,,0.5
4,Algeria,,4.062688234799053
172,Namibia,,2.0917591188314266
235,Swaziland,,10.321145545463606
142,Lesotho,,5.394451097305568
227,South Africa,,4.904826580693768
35,Botswana,,2.574109334723465
243,Togo,,6.688808595502636
221,Sierra Leone,,17.628697517844714
217,Senegal,,5.221569349544047
182,Nigeria,,3.189827342224345
181,Niger,,1.0297771859991713
159,Mauritania,,0.9748693962110205
155,Mali,,2.142235107254403
144,Liberia,,
105,Guinea-Bissau,,18.603484828735063
90,Gambia,,5.171995941210575
106,Guinea,,15.818838785660354
94,Ghana,,6.620054549924531
47,Cape Verde,,
66,C�te d'Ivoire,,11.019034165186213
42,Burkina Faso,,3.1560116043858897
29,Benin,,3.4833044135967266
234,Svalbard and Jan Mayen Islands,,
151,Madeira Islands,,
74578,Azores Islands,,
104,Guernsey,,
128,Jersey,,
38,British Indian Ocean Territory,,
120,Isle of Man,,
110,Holy See,,
98,Greenland,,
268,Western Sahara,,
91,Gaza Strip,,
267,West Bank,,
267,West Bank,,
95,Gibraltar,,
207,Saint Helena,,
149,Macau,,
33364,Hong Kong,,
102,Abyei,,6.8255786998742405
193,Paracel Islands,,
218,Senkaku Islands,,
216,Scarborough Reef,,
52,China/India,,
2,Aksai Chin,,1.5192307692307692
230,Spratly Islands,,
40781,Jammu and Kashmir,,4.163085574251144
15,Arunachal Pradesh,,
61013,Ilemi triangle,,5.426290564140161
40760,Hala'ib triangle,,
40762,Ma'tan al-Sarra,,
184,Norfolk Island,,
266,Wallis and Futuna,,
87,French Polynesia,,
126,Japan,,
204,Russian Federation,,5.6237347831652365
179,New Zealand,,12.76214917916579
17,Australia,,13.284206404793355
17,Australia,,5.318468017356876
192,Papua New Guinea,,
262,Vanuatu,,
225,Solomon Islands,,
83,Fiji,,
157,Marshall Islands,,
173,Nauru,,
163,Micronesia (Federated States of),,
135,Kiribati,,
212,Samoa,,
245,Tonga,,
252,Tuvalu,,
46,Canada,,13.6375
46,Canada,,12.686315220048781
46,Canada,,14.830220713073002
46,Canada,,3.2675791078813536
46,Canada,,13.189569312944712
46,Canada,,
46,Canada,,
259,United States of America,,3.049460238444123
259,United States of America,,6.657856263627015
259,United States of America,,
60,Cook Islands,,
183,Niue,,
185,Northern Mariana Islands,,
265,Wake Island,,
127,Jarvis Island,,
178,New Caledonia,,
244,Tokelau,,
101,Guam,,
5,American Samoa,,
136,Kuril islands,,
158,Martinique,,
100,Guadeloupe,,
55,Clipperton Island,,
195,Peru,,4.03434153685414
51,Chile,,8.344434446801598
