ISO3,NAME,Crop_TotalC_sum_MgC,Graze_TotalC_sum_MgC,Crop_FluxDensity_mean_MgC.ha.yr,Graze_FluxDensity_mean_MgC.ha.yr,CropArea_sum_ha_positiveDelta,GrazeArea_sum_ha_positiveDelta,Crop_Delta_mean_percent,Graze_Delta_mean_percent,Crop_TreeCover_mean_percent_positiveDelta,Graze_TreeCover_mean_percent_positiveDelta,Crop_totalArea_has_sum,Graze_totalArea_has_sum
ABW,Aruba,0,0,NA,NA,0,0,NA,NA,NA,NA,0,0
AFG,Afghanistan,1869860.104,26535589.44,0.085661129,0.138515275,727619.0609,6385719.158,4.374395818,11.33498519,1.745775011,1.831265026,3162912.468,29730667.39
AGO,Angola,77245465.72,384715765.8,0.991987789,0.369548433,2595645.718,34701429.46,20.28526857,16.56755803,4.766266562,11.95165016,2992049.187,45889937.26
AIA,Anguilla,0,0,0,NA,1.700326935,0,0.888888889,NA,1.714285714,NA,46.59053597,0
ALB,Albania,843713.4087,106573.6203,0.11690639,0.287946254,240566.6648,12337.21212,5.162951664,16.27142421,4.367378303,7.829954955,243439.7852,11576.68939
AND,Andorra,0,245990.5698,0,0.462359886,53.90673282,17734.42271,27.40018994,26.72875442,8.138271605,10.54818935,53.77478197,25826.62931
ARE,United Arab Emirates,985.9574871,0,0.143078837,NA,229.700284,0,2.059891214,NA,1.321183953,NA,10911.83032,70091.67617
ARG,Argentina,347308499.9,320963642.6,0.269560597,0.133080071,42947486.17,80393615.41,21.23577523,15.86232978,5.945000157,5.559247959,43355295.05,86207263.74
ARM,Armenia,4649628.051,2144930.601,0.425647957,0.19051367,364121.5686,375289.0102,26.76919111,22.74927732,4.264906506,4.030193532,365536.7075,390732.6329
ASM,American Samoa,0,0,NA,NA,0,0,NA,NA,NA,NA,0,0
ATF,French Southern Territories,0,0,NA,NA,0,0,NA,NA,NA,NA,0,0
ATG,Antigua & Barbuda,0,0,NA,NA,0,0,NA,NA,NA,NA,1283.272588,0
AUS,Australia,193340516.5,819820472.7,0.145833983,0.122682724,44191921.29,222748143.9,11.8301672,13.32425283,3.084005097,3.609044821,45462267.2,287437643
AUT,Austria,14774501.09,2486942.761,0.396856292,0.226627042,1240961.475,365790.8215,27.36962367,15.8839678,7.479148974,11.89304392,1265763.951,867510.6385
AZE,Azerbaijan,6072082.491,4676848.074,0.099373451,0.120532784,2036788.984,1293382.019,6.75239006,15.28945405,2.876483371,4.335710392,2115997.859,1475503.896
