ADM0_CODE,ADM0_NAME,areaHa,mean
2647,Montenegro,1375248.7994667792,17.857142857142858
2648,Serbia,8830166.067705309,17.96087758220446
74,South Sudan,6.325043999592705E7,13.0853838080045
6,Sudan,1.8493810568671167E8,3.32727246103523
147296,Taiwan,3621078.487012282,16.017241379310345
56,Cocos (Keeling) Islands,1583.2597012558101,
54,Christmas Island,13634.107975092116,
16,Ashmore and Cartier Islands,69.07711941261599,
82,Faroe Islands,139160.47916418288,
88,French Southern and Antarctic Territories,767604.7318854181,
161,Mayotte,37975.04624938594,
206,R�union,251128.70815666346,
247,Tromelin Island,89.1035644985283,
131,Juan de Nova Island,552.4863305611332,
96,Glorioso Island,493.9740071922954,
80,Europa Island,2479.362128412071,
25,Bassas da India,105.4896796256114,
210,Saint Pierre et Miquelon,23252.68191535043,
37,Brazil,8.51829085454009E8,12.811685455488847
250,Turkmenistan,5.545690044901421E7,1.4795549932523955
261,Uzbekistan,4.488872905388646E7,2.1691489844382725
239,Tajikistan,1.4190155069767214E7,2.2450047684311842
138,Kyrgyzstan,1.9891031344047796E7,3.5536316238905568
132,Kazakhstan,2.8329982710690683E8,1.7238869351637278
167,Mongolia,1.5604355578223833E8,2.4160661248884683
202,Republic of Korea,9910137.187147338,
67,Dem People's Rep of Korea,1.2233206884463632E7,
147295,China,9.343372231452856E8,4.9678089084031924
171,Myanmar,6.6889653974108204E7,
44,Cambodia,1.8211978385532655E7,17.003581874443647
264,Viet Nam,3.286658426228757E7,9.664772727272727
139,Lao People's Democratic Republic,2.311001358607382E7,12.548341721109063
153,Malaysia,3.3123385983418867E7,25.0
240,Thailand,5.1724223014046006E7,
40,Brunei Darussalam,592492.6113652972,
196,Philippines,2.9718101446289226E7,
116,Indonesia,1.8969785062123498E8,14.994364621543053
222,Singapore,59666.900359775194,
242,Timor-Leste,1495447.439234595,20.730176166646327
154,Maldives,22420.38571894398,
175,Nepal,1.476551620446641E7,17.01010193867337
188,Pakistan,7.894146342584172E7,3.1935006126135237
115,India,2.9685193040796506E8,10.102039524050944
117,Iran  (Islamic Republic of),1.6782635231392774E8,1.8108882342910717
231,Sri Lanka,6645400.85012693,2.857142857142857
31,Bhutan,3773585.7320460305,8.584202948263526
23,Bangladesh,1.4014572301408524E7,
1,Afghanistan,6.4204947900660984E7,1.831265025852575
187,Oman,3.0920016892244544E7,0.9642857142857143
137,Kuwait,1742052.436787621,
141,Lebanon,1013869.9125916223,
201,Qatar,1157245.4403817973,
215,Saudi Arabia,1.9297880167054433E8,
249,Turkey,7.805741067588623E7,2.7535717854549264
269,Yemen,4.5514795111517735E7,2.6451035072309024
118,Iraq,4.360974973227138E7,2.0043855170144433
130,Jordan,8914202.624316065,1.4923076923076923
238,Syrian Arab Republic,1.881517189079607E7,2.4041367764632704
121,Israel,2073762.6622446156,
92,Georgia,6967603.739950553,9.336809239838873
64,Cyprus,924986.2943167958,
21,Bahrain,67458.85558466554,
19,Azerbaijan,1.645849122228552E7,4.335710391843087
13,Armenia,2959021.424718407,4.030193532131036
255,United Arab Emirates,7135417.26824485,
165,"Moldova, Republic of",3370582.4933658815,
113,Hungary,9286469.532451896,8.696969696969697
198,Poland,3.1075583808148023E7,16.36433835747659
203,Romania,2.3754290268263202E7,14.405857553538857
254,Ukraine,5.98637506463604E7,10.942222493546362
26,Belarus,2.0671246075877342E7,10.258706467661693
65,Czech Republic,7858298.442462465,
223,Slovakia,4892048.187986373,15.557739557739557
41,Bulgaria,1.1111097030884387E7,16.41780067870479
186,Norway,3.222264772045802E7,21.02173913043478
236,Sweden,4.4650961338309094E7,18.482394366197184
147,Lithuania,6464487.732557937,
140,Latvia,6424542.31526962,
119,Ireland,6952286.359153488,20.62716609305853
114,Iceland,1.018971440689602E7,
256,U.K. of Great Britain and Northern Ireland,2.432597656165418E7,19.560409402632523
84,Finland,3.347448126984447E7,
78,Estonia,4520054.192295528,
69,Denmark,4424826.53089501,
241,The former Yugoslav Republic of Macedonia,2538752.090909701,7.687473728457334
62,Croatia,5646322.103857141,11.336355439760855
156,Malta,31598.455212656885,
213,San Marino,5992.417153511561,
224,Slovenia,2026997.8612887675,15.231404958677686
97,Greece,1.3243848806919191E7,9.934032689814671
122,Italy,3.01143661624468E7,11.88035019911373
199,Portugal,8866299.447236713,8.008856319356232
