BIOME_NAME,BIOME_NUM,sum
Tropical & Subtropical Moist Broadleaf Forests,1,1.33E+08
Tropical & Subtropical Dry Broadleaf Forests,2,7.91E+07
Tropical & Subtropical Coniferous Forests,3,1315941.875
Temperate Broadleaf & Mixed Forests,4,2.87E+08
Temperate Conifer Forests ,5,8453397.364
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7,1.90E+08
"Temperate Grasslands, Savannas & Shrublands",8,2.90E+08
Montane Grasslands & Shrublands,10,2.31E+07
"Mediterranean Forests, Woodlands & Scrub",12,7.10E+07
Deserts & Xeric Shrublands,13,1.03E+08
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
