ADM0_CODE,ADM0_NAME,areaHa,sum
2647,Montenegro,1375248.7994667792,13810.137399999987
2648,Serbia,8830166.067705309,201862.11200017232
74,South Sudan,6.325043999592705E7,3.422186924208943E7
6,Sudan,1.8493810568671167E8,7.135755779500467E7
147296,Taiwan,3621078.487012282,18330.63781250002
56,Cocos (Keeling) Islands,1583.2597012558101,0.0
54,Christmas Island,13634.107975092116,0.0
16,Ashmore and Cartier Islands,69.07711941261599,0.0
82,Faroe Islands,139160.47916418288,0.0
88,French Southern and Antarctic Territories,767604.7318854181,0.0
161,Mayotte,37975.04624938594,0.0
206,R�union,251128.70815666346,0.0
247,Tromelin Island,89.1035644985283,0.0
131,Juan de Nova Island,552.4863305611332,0.0
96,Glorioso Island,493.9740071922954,0.0
80,Europa Island,2479.362128412071,0.0
25,Bassas da India,105.4896796256114,0.0
210,Saint Pierre et Miquelon,23252.68191535043,0.0
37,Brazil,8.51829085454009E8,1.477458815406799E8
250,Turkmenistan,5.545690044901421E7,2.6603235836540665E7
261,Uzbekistan,4.488872905388646E7,2.078466811724328E7
239,Tajikistan,1.4190155069767214E7,1798212.269826029
138,Kyrgyzstan,1.9891031344047796E7,8990624.674382677
132,Kazakhstan,2.8329982710690683E8,1.844157998603549E8
167,Mongolia,1.5604355578223833E8,8.909418257309946E7
202,Republic of Korea,9910137.187147338,0.0
67,Dem People's Rep of Korea,1.2233206884463632E7,0.0
147295,China,9.343372231452856E8,2.5239987472110507E8
171,Myanmar,6.6889653974108204E7,0.0
44,Cambodia,1.8211978385532655E7,38659.32974156856
264,Viet Nam,3.286658426228757E7,8207.815387500006
139,Lao People's Democratic Republic,2.311001358607382E7,15212.984362647047
153,Malaysia,3.3123385983418867E7,26582.719837500023
240,Thailand,5.1724223014046006E7,0.0
40,Brunei Darussalam,592492.6113652972,0.0
196,Philippines,2.9718101446289226E7,0.0
116,Indonesia,1.8969785062123498E8,306366.7094411034
222,Singapore,59666.900359775194,0.0
242,Timor-Leste,1495447.439234595,20566.89013365197
154,Maldives,22420.38571894398,0.0
175,Nepal,1.476551620446641E7,100700.2835107354
188,Pakistan,7.894146342584172E7,1209517.1593620942
115,India,2.9685193040796506E8,1258111.469889809
117,Iran  (Islamic Republic of),1.6782635231392774E8,5.613585905338081E7
231,Sri Lanka,6645400.85012693,7737.851581249995
31,Bhutan,3773585.7320460305,244325.47803899107
23,Bangladesh,1.4014572301408524E7,0.0
1,Afghanistan,6.4204947900660984E7,2.9730667390938114E7
187,Oman,3.0920016892244544E7,415357.33979151683
137,Kuwait,1742052.436787621,66639.34439056364
141,Lebanon,1013869.9125916223,0.0
201,Qatar,1157245.4403817973,36374.8070836765
215,Saudi Arabia,1.9297880167054433E8,799279.6066903672
249,Turkey,7.805741067588623E7,6702603.03176753
269,Yemen,4.5514795111517735E7,1.6371690829731984E7
118,Iraq,4.360974973227138E7,1332851.5541690213
130,Jordan,8914202.624316065,149280.33395870106
238,Syrian Arab Republic,1.881517189079607E7,5334939.240313853
121,Israel,2073762.6622446156,49532.53092879902
92,Georgia,6967603.739950553,1358293.269395868
64,Cyprus,924986.2943167958,0.0
21,Bahrain,67458.85558466554,0.0
19,Azerbaijan,1.645849122228552E7,1475503.8961215075
13,Armenia,2959021.424718407,390732.6328918887
255,United Arab Emirates,7135417.26824485,70091.67616987744
165,"Moldova, Republic of",3370582.4933658815,0.0
113,Hungary,9286469.532451896,11520.065662500016
198,Poland,3.1075583808148023E7,21688.971197279414
203,Romania,2.3754290268263202E7,1688547.9673136014
254,Ukraine,5.98637506463604E7,30494.28899828437
26,Belarus,2.0671246075877342E7,16320.691575784354
65,Czech Republic,7858298.442462465,0.0
223,Slovakia,4892048.187986373,178126.90510000076
41,Bulgaria,1.1111097030884387E7,321219.66495323635
186,Norway,3.222264772045802E7,14687.005753124997
236,Sweden,4.4650961338309094E7,23153.038125
147,Lithuania,6464487.732557937,0.0
140,Latvia,6424542.31526962,0.0
119,Ireland,6952286.359153488,1745243.580092812
114,Iceland,1.018971440689602E7,0.0
256,U.K. of Great Britain and Northern Ireland,2.432597656165418E7,5576817.221442075
84,Finland,3.347448126984447E7,0.0
78,Estonia,4520054.192295528,0.0
69,Denmark,4424826.53089501,0.0
241,The former Yugoslav Republic of Macedonia,2538752.090909701,98205.81665625093
62,Croatia,5646322.103857141,455036.3623932668
