BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,sum
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,1.9653145172933493E7
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,7683.626129012179
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,949563.9573746895
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,10573.786774936521
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,768371.958877736
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,13106.770245257641
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,88807.36094616179
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,7251.310817829379
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,152230.62098608536
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,1708234.037022779
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,2938171.624866923
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,0.0
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,1987281.08953879
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,53.557730011441116
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,0.8291978698730469
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,314286.30125592556
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,1878595.5422278866
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,1105329.8052605202
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,7.497280677010897E7
Temperate Conifer Forests,5.0,CHN,China,1371444.4733580449
Montane Grasslands & Shrublands,10.0,CHN,China,4769754.482177288
Deserts & Xeric Shrublands,13.0,CHN,China,7029329.7750156075
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,9142295.446606088
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,1.187530401002595E7
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,6384.116465144107
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,2499306.8411809853
Temperate Conifer Forests,5.0,JPN,Japan,408513.54304202675
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,3002.448931701762
Temperate Conifer Forests,5.0,MNG,Mongolia,2938.875704879592
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,539885.44772874
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,10.99755365418677
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,68888.84834084022
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,74069.84965781427
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,834.6098238281279
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,0.0
Deserts & Xeric Shrublands,13.0,QAT,Qatar,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,1.2917065063476563
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,228.40857747627982
Temperate Broadleaf & Mixed Forests,4.0,ARM,Armenia,155788.74272163384
"Temperate Grasslands, Savannas & Shrublands",8.0,ARM,Armenia,208297.23835313122
