"","BIOME_NAME","BIOME_NUM","ISO3","COUNTRY","sum"
"1","Temperate Grasslands, Savannas & Shrublands",8,"ATF","French Southern Territories",0
"2","Temperate Grasslands, Savannas & Shrublands",8,"KAZ","Kazakhstan",19653145.1729335
"3","Montane Grasslands & Shrublands",10,"KAZ","Kazakhstan",7683.62612901218
"4","Deserts & Xeric Shrublands",13,"KAZ","Kazakhstan",949563.95737469
"5","Temperate Conifer Forests",5,"KAZ","Kazakhstan",10573.7867749365
"6","Temperate Grasslands, Savannas & Shrublands",8,"TJK","Tajikistan",768371.958877736
"7","Montane Grasslands & Shrublands",10,"TJK","Tajikistan",13106.7702452576
"8","Deserts & Xeric Shrublands",13,"TJK","Tajikistan",88807.3609461618
"9","Temperate Grasslands, Savannas & Shrublands",8,"TKM","Turkmenistan",7251.31081782938
"10","Montane Grasslands & Shrublands",10,"TKM","Turkmenistan",152230.620986085
"11","Deserts & Xeric Shrublands",13,"TKM","Turkmenistan",1708234.03702278
"12","Temperate Grasslands, Savannas & Shrublands",8,"UZB","Uzbekistan",2938171.62486692
"13","Montane Grasslands & Shrublands",10,"UZB","Uzbekistan",0
"14","Deserts & Xeric Shrublands",13,"UZB","Uzbekistan",1987281.08953879
"15","Tropical & Subtropical Moist Broadleaf Forests",1,"HKG","Hong Kong",53.5577300114411
"16","Tropical & Subtropical Moist Broadleaf Forests",1,"MAC","Macao",0.829197869873047
"17","Tropical & Subtropical Moist Broadleaf Forests",1,"TWN","Taiwan",314286.301255926
"18","Temperate Broadleaf & Mixed Forests",4,"PRK","North Korea",1878595.54222789
"19","Temperate Broadleaf & Mixed Forests",4,"KOR","South Korea",1105329.80526052
"20","Temperate Broadleaf & Mixed Forests",4,"CHN","China",74972806.770109
"21","Temperate Conifer Forests",5,"CHN","China",1371444.47335804
"22","Montane Grasslands & Shrublands",10,"CHN","China",4769754.48217729
"23","Deserts & Xeric Shrublands",13,"CHN","China",7029329.77501561
"24","Tropical & Subtropical Moist Broadleaf Forests",1,"CHN","China",9142295.44660609
"25","Temperate Grasslands, Savannas & Shrublands",8,"CHN","China",11875304.010026
"26","Tropical & Subtropical Moist Broadleaf Forests",1,"JPN","Japan",6384.11646514411
"27","Temperate Broadleaf & Mixed Forests",4,"JPN","Japan",2499306.84118099
"28","Temperate Conifer Forests",5,"JPN","Japan",408513.543042027
"29","Deserts & Xeric Shrublands",13,"MNG","Mongolia",3002.44893170176
"30","Temperate Conifer Forests",5,"MNG","Mongolia",2938.87570487959
"31","Temperate Grasslands, Savannas & Shrublands",8,"MNG","Mongolia",539885.44772874
"32","Montane Grasslands & Shrublands",10,"MNG","Mongolia",10.9975536541868
"33","Mediterranean Forests, Woodlands & Scrub",12,"CYP","Cyprus",68888.8483408402
"34","Mediterranean Forests, Woodlands & Scrub",12,"LBN","Lebanon",74069.8496578143
"35","Deserts & Xeric Shrublands",13,"KWT","Kuwait",834.609823828128
"36","Deserts & Xeric Shrublands",13,"BHR","Bahrain",0
"37","Deserts & Xeric Shrublands",13,"QAT","Qatar",0
"38","Temperate Grasslands, Savannas & Shrublands",8,"ARE","United Arab Emirates",1.29170650634766
"39","Deserts & Xeric Shrublands",13,"ARE","United Arab Emirates",228.40857747628
"40","Temperate Broadleaf & Mixed Forests",4,"ARM","Armenia",155788.742721634
"41","Temperate Grasslands, Savannas & Shrublands",8,"ARM","Armenia",208297.238353131
"42","Deserts & Xeric Shrublands",13,"ARM","Armenia",35.5874874463131
"43","Temperate Broadleaf & Mixed Forests",4,"AZE","Azerbaijan",360230.278182674
"44","Temperate Grasslands, Savannas & Shrublands",8,"AZE","Azerbaijan",38833.6509528687
"45","Deserts & Xeric Shrublands",13,"AZE","Azerbaijan",1637725.0546881
"46","Temperate Broadleaf & Mixed Forests",4,"GEO","Georgia",170454.407806219
"47","Temperate Grasslands, Savannas & Shrublands",8,"GEO","Georgia",30473.3392250341
"48","Deserts & Xeric Shrublands",13,"GEO","Georgia",141899.519248873
"49","Deserts & Xeric Shrublands",13,"ISR","Israel",10750.9923501514
"50","Temperate Grasslands, Savannas & Shrublands",8,"ISR","Israel",1656.53405176366
"51","Mediterranean Forests, Woodlands & Scrub",12,"ISR","Israel",241836.099632571
"52","Temperate Broadleaf & Mixed Forests",4,"IRQ","Iraq",90659.5075047604
"53","Temperate Grasslands, Savannas & Shrublands",8,"IRQ","Iraq",6059.7003166647
"54","Mediterranean Forests, Woodlands & Scrub",12,"IRQ","Iraq",3528.59802637079
"55","Deserts & Xeric Shrublands",13,"IRQ","Iraq",235199.941900381
"56","Temperate Grasslands, Savannas & Shrublands",8,"JOR","Jordan",5229.45676181039
"57","Mediterranean Forests, Woodlands & Scrub",12,"JOR","Jordan",10501.3722485866
"58","Deserts & Xeric Shrublands",13,"JOR","Jordan",4651.47558090938
"59","Temperate Grasslands, Savannas & Shrublands",8,"KGZ","Kyrgyzstan",1030202.39899671
"60","Montane Grasslands & Shrublands",10,"KGZ","Kyrgyzstan",32130.3632507524
"61","Temperate Conifer Forests",5,"KGZ","Kyrgyzstan",28931.363039263
"62","Deserts & Xeric Shrublands",13,"KGZ","Kyrgyzstan",252463.967339012
"63","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"OMN","Oman",0
"64","Deserts & Xeric Shrublands",13,"OMN","Oman",468.228728308105
"65","Temperate Grasslands, Savannas & Shrublands",8,"OMN","Oman",0.161196051025391
"66","Mediterranean Forests, Woodlands & Scrub",12,"PSE","Palestina",22251.5318826161
"67","Deserts & Xeric Shrublands",13,"PSE","Palestina",1785.44171985217
"68","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SAU","Saudi Arabia",272.084718487501
"69","Deserts & Xeric Shrublands",13,"SAU","Saudi Arabia",15010.101436603
"70","Mediterranean Forests, Woodlands & Scrub",12,"SAU","Saudi Arabia",0
"71","Temperate Grasslands, Savannas & Shrublands",8,"SYR","Syria",172504.386179747
"72","Mediterranean Forests, Woodlands & Scrub",12,"SYR","Syria",418731.612036898
"73","Deserts & Xeric Shrublands",13,"SYR","Syria",21886.2195792978
"74","Temperate Broadleaf & Mixed Forests",4,"TUR","Turkey",5235892.32769175
"75","Temperate Conifer Forests",5,"TUR","Turkey",1512846.42947416
"76","Temperate Grasslands, Savannas & Shrublands",8,"TUR","Turkey",1641776.13193712
"77","Mediterranean Forests, Woodlands & Scrub",12,"TUR","Turkey",4851881.3892763
"78","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"YEM","Yemen",43474.1241012362
"79","Deserts & Xeric Shrublands",13,"YEM","Yemen",196953.432470498
"80","Tropical & Subtropical Moist Broadleaf Forests",1,"IOT","British Indian Ocean Territory",0
"81","Tropical & Subtropical Moist Broadleaf Forests",1,"MDV","Maldives",0
"82","Montane Grasslands & Shrublands",10,"AFG","Afghanistan",68323.6179990048
"83","Deserts & Xeric Shrublands",13,"AFG","Afghanistan",644371.21632085
"84","Temperate Conifer Forests",5,"AFG","Afghanistan",11690.7811264246
"85","Temperate Grasslands, Savannas & Shrublands",8,"AFG","Afghanistan",3233.44540814239
"86","Tropical & Subtropical Moist Broadleaf Forests",1,"BGD","Bangladesh",5422135.35356893
"87","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BGD","Bangladesh",5557.39211511277
"88","Tropical & Subtropical Moist Broadleaf Forests",1,"BTN","Bhutan",2618.75776193433
"89","Tropical & Subtropical Coniferous Forests",3,"BTN","Bhutan",532.189021666691
"90","Temperate Broadleaf & Mixed Forests",4,"BTN","Bhutan",7858.81610107117
"91","Temperate Conifer Forests",5,"BTN","Bhutan",41.9987050566071
"92","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BTN","Bhutan",29.798804048043
"93","Montane Grasslands & Shrublands",10,"BTN","Bhutan",10.3853755615234
"94","Tropical & Subtropical Moist Broadleaf Forests",1,"IND","India",46061451.958845
"95","Tropical & Subtropical Dry Broadleaf Forests",2,"IND","India",45770916.4718493
"96","Deserts & Xeric Shrublands",13,"IND","India",39037011.0688795
"97","Tropical & Subtropical Coniferous Forests",3,"IND","India",247044.716786299
"98","Temperate Broadleaf & Mixed Forests",4,"IND","India",289609.572278431
"99","Temperate Conifer Forests",5,"IND","India",10086.191027625
"100","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"IND","India",480080.449307235
"101","Montane Grasslands & Shrublands",10,"IND","India",18204.1232394586
"102","Temperate Broadleaf & Mixed Forests",4,"IRN","Iran",1646386.32298047
"103","Temperate Conifer Forests",5,"IRN","Iran",216502.864928014
"104","Temperate Grasslands, Savannas & Shrublands",8,"IRN","Iran",506150.693341036
