"","BIOME_NAME","BIOME_NUM","ISO3","COUNTRY","sum"
"1","Temperate Grasslands, Savannas & Shrublands",8,"ATF","French Southern Territories",0
"2","Temperate Grasslands, Savannas & Shrublands",8,"KAZ","Kazakhstan",47155368.0069433
"3","Montane Grasslands & Shrublands",10,"KAZ","Kazakhstan",2082361.26820352
"4","Deserts & Xeric Shrublands",13,"KAZ","Kazakhstan",69555488.1693001
"5","Temperate Conifer Forests",5,"KAZ","Kazakhstan",191857.849567942
"6","Temperate Grasslands, Savannas & Shrublands",8,"TJK","Tajikistan",1093018.59616212
"7","Montane Grasslands & Shrublands",10,"TJK","Tajikistan",18178.2660025736
"8","Deserts & Xeric Shrublands",13,"TJK","Tajikistan",45241.2111964215
"9","Temperate Grasslands, Savannas & Shrublands",8,"TKM","Turkmenistan",19197.5842001715
"10","Montane Grasslands & Shrublands",10,"TKM","Turkmenistan",617109.868652206
"11","Deserts & Xeric Shrublands",13,"TKM","Turkmenistan",1874775.20732448
"12","Temperate Grasslands, Savannas & Shrublands",8,"UZB","Uzbekistan",3848110.06443081
"13","Montane Grasslands & Shrublands",10,"UZB","Uzbekistan",57134.5470492156
"14","Deserts & Xeric Shrublands",13,"UZB","Uzbekistan",1659815.72536452
"15","Tropical & Subtropical Moist Broadleaf Forests",1,"HKG","Hong Kong",0
"16","Tropical & Subtropical Moist Broadleaf Forests",1,"MAC","Macao",0
"17","Tropical & Subtropical Moist Broadleaf Forests",1,"TWN","Taiwan",8834.400625
"18","Temperate Broadleaf & Mixed Forests",4,"PRK","North Korea",0
"19","Temperate Broadleaf & Mixed Forests",4,"KOR","South Korea",0
"20","Temperate Broadleaf & Mixed Forests",4,"CHN","China",24211174.9205677
"21","Temperate Conifer Forests",5,"CHN","China",11047556.7478808
"22","Montane Grasslands & Shrublands",10,"CHN","China",83994951.0761329
"23","Deserts & Xeric Shrublands",13,"CHN","China",9808815.42146265
"24","Tropical & Subtropical Moist Broadleaf Forests",1,"CHN","China",10990264.7452758
"25","Temperate Grasslands, Savannas & Shrublands",8,"CHN","China",38596432.1332531
"26","Tropical & Subtropical Moist Broadleaf Forests",1,"JPN","Japan",0
"27","Temperate Broadleaf & Mixed Forests",4,"JPN","Japan",0
"28","Temperate Conifer Forests",5,"JPN","Japan",0
"29","Deserts & Xeric Shrublands",13,"MNG","Mongolia",6570194.542061
"30","Temperate Conifer Forests",5,"MNG","Mongolia",5974689.52950825
"31","Temperate Grasslands, Savannas & Shrublands",8,"MNG","Mongolia",38278406.7328115
"32","Montane Grasslands & Shrublands",10,"MNG","Mongolia",6022502.70382426
"33","Mediterranean Forests, Woodlands & Scrub",12,"CYP","Cyprus",0
"34","Mediterranean Forests, Woodlands & Scrub",12,"LBN","Lebanon",0
"35","Deserts & Xeric Shrublands",13,"KWT","Kuwait",0
"36","Deserts & Xeric Shrublands",13,"BHR","Bahrain",0
"37","Deserts & Xeric Shrublands",13,"QAT","Qatar",0
"38","Temperate Grasslands, Savannas & Shrublands",8,"ARE","United Arab Emirates",0
"39","Deserts & Xeric Shrublands",13,"ARE","United Arab Emirates",0
"40","Temperate Broadleaf & Mixed Forests",4,"ARM","Armenia",125461.94991843
"41","Temperate Grasslands, Savannas & Shrublands",8,"ARM","Armenia",249827.060295663
"42","Deserts & Xeric Shrublands",13,"ARM","Armenia",0
"43","Temperate Broadleaf & Mixed Forests",4,"AZE","Azerbaijan",422257.792949468
"44","Temperate Grasslands, Savannas & Shrublands",8,"AZE","Azerbaijan",189282.197650586
"45","Deserts & Xeric Shrublands",13,"AZE","Azerbaijan",681842.02886247
"46","Temperate Broadleaf & Mixed Forests",4,"GEO","Georgia",777497.795739306
"47","Temperate Grasslands, Savannas & Shrublands",8,"GEO","Georgia",90795.5225406617
"48","Deserts & Xeric Shrublands",13,"GEO","Georgia",128780.768385613
"49","Deserts & Xeric Shrublands",13,"ISR","Israel",0
"50","Temperate Grasslands, Savannas & Shrublands",8,"ISR","Israel",0
"51","Mediterranean Forests, Woodlands & Scrub",12,"ISR","Israel",0
"52","Temperate Broadleaf & Mixed Forests",4,"IRQ","Iraq",36539.0875767402
"53","Temperate Grasslands, Savannas & Shrublands",8,"IRQ","Iraq",0
"54","Mediterranean Forests, Woodlands & Scrub",12,"IRQ","Iraq",0
"55","Deserts & Xeric Shrublands",13,"IRQ","Iraq",0
"56","Temperate Grasslands, Savannas & Shrublands",8,"JOR","Jordan",0
"57","Mediterranean Forests, Woodlands & Scrub",12,"JOR","Jordan",10069.6912163725
"58","Deserts & Xeric Shrublands",13,"JOR","Jordan",192.734953627451
"59","Temperate Grasslands, Savannas & Shrublands",8,"KGZ","Kyrgyzstan",4750278.262855
"60","Montane Grasslands & Shrublands",10,"KGZ","Kyrgyzstan",2974128.76773573
"61","Temperate Conifer Forests",5,"KGZ","Kyrgyzstan",391757.814032183
"62","Deserts & Xeric Shrublands",13,"KGZ","Kyrgyzstan",3859.19229835784
"63","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"OMN","Oman",409.478625
"64","Deserts & Xeric Shrublands",13,"OMN","Oman",819.1031
"65","Temperate Grasslands, Savannas & Shrublands",8,"OMN","Oman",0
"66","Mediterranean Forests, Woodlands & Scrub",12,"PSE","Palestina",0
"67","Deserts & Xeric Shrublands",13,"PSE","Palestina",0
"68","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SAU","Saudi Arabia",0
"69","Deserts & Xeric Shrublands",13,"SAU","Saudi Arabia",0
"70","Mediterranean Forests, Woodlands & Scrub",12,"SAU","Saudi Arabia",0
"71","Temperate Grasslands, Savannas & Shrublands",8,"SYR","Syria",5995.58997137255
"72","Mediterranean Forests, Woodlands & Scrub",12,"SYR","Syria",92811.4800718134
"73","Deserts & Xeric Shrublands",13,"SYR","Syria",498.578038823529
"74","Temperate Broadleaf & Mixed Forests",4,"TUR","Turkey",2515652.63345869
"75","Temperate Conifer Forests",5,"TUR","Turkey",846024.3891895
"76","Temperate Grasslands, Savannas & Shrublands",8,"TUR","Turkey",1715510.04054586
"77","Mediterranean Forests, Woodlands & Scrub",12,"TUR","Turkey",476691.561427203
"78","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"YEM","Yemen",689349.840579028
"79","Deserts & Xeric Shrublands",13,"YEM","Yemen",1567764.87488847
"80","Tropical & Subtropical Moist Broadleaf Forests",1,"IOT","British Indian Ocean Territory",0
"81","Tropical & Subtropical Moist Broadleaf Forests",1,"MDV","Maldives",0
"82","Montane Grasslands & Shrublands",10,"AFG","Afghanistan",2393629.54313331
"83","Deserts & Xeric Shrublands",13,"AFG","Afghanistan",3304468.25562433
"84","Temperate Conifer Forests",5,"AFG","Afghanistan",420813.678193991
"85","Temperate Grasslands, Savannas & Shrublands",8,"AFG","Afghanistan",266807.680964118
"86","Tropical & Subtropical Moist Broadleaf Forests",1,"BGD","Bangladesh",0
"87","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BGD","Bangladesh",0
"88","Tropical & Subtropical Moist Broadleaf Forests",1,"BTN","Bhutan",0
"89","Tropical & Subtropical Coniferous Forests",3,"BTN","Bhutan",0
"90","Temperate Broadleaf & Mixed Forests",4,"BTN","Bhutan",0
"91","Temperate Conifer Forests",5,"BTN","Bhutan",6051.93558602941
"92","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BTN","Bhutan",0
"93","Montane Grasslands & Shrublands",10,"BTN","Bhutan",140964.822037843
"94","Tropical & Subtropical Moist Broadleaf Forests",1,"IND","India",33282.8714125
"95","Tropical & Subtropical Dry Broadleaf Forests",2,"IND","India",9457.798575
"96","Deserts & Xeric Shrublands",13,"IND","India",37358.0520371324
"97","Tropical & Subtropical Coniferous Forests",3,"IND","India",91128.2665683579
"98","Temperate Broadleaf & Mixed Forests",4,"IND","India",186833.020359166
"99","Temperate Conifer Forests",5,"IND","India",59051.9817023282
"100","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"IND","India",0
"101","Montane Grasslands & Shrublands",10,"IND","India",395844.002459262
"102","Temperate Broadleaf & Mixed Forests",4,"IRN","Iran",3730713.0960988
"103","Temperate Conifer Forests",5,"IRN","Iran",2006387.18016339
"104","Temperate Grasslands, Savannas & Shrublands",8,"IRN","Iran",1781030.79928143
"105","Deserts & Xeric Shrublands",13,"IRN","Iran",777805.988777252
"106","Montane Grasslands & Shrublands",10,"IRN","Iran",781292.788560978
"107","Tropical & Subtropical Moist Broadleaf Forests",1,"LKA","Sri Lanka",0
"108","Tropical & Subtropical Dry Broadleaf Forests",2,"LKA","Sri Lanka",0
"109","Deserts & Xeric Shrublands",13,"LKA","Sri Lanka",7670.40413750001
"110","Tropical & Subtropical Moist Broadleaf Forests",1,"NPL","Nepal",6852.68958747549
"111","Tropical & Subtropical Coniferous Forests",3,"NPL","Nepal",4919.26365921569
"112","Temperate Broadleaf & Mixed Forests",4,"NPL","Nepal",23751.6284772304
"113","Temperate Conifer Forests",5,"NPL","Nepal",3582.14782955882
"114","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"NPL","Nepal",0
"115","Montane Grasslands & Shrublands",10,"NPL","Nepal",16087.4940105392
"116","Tropical & Subtropical Moist Broadleaf Forests",1,"PAK","Pakistan",0
"117","Temperate Conifer Forests",5,"PAK","Pakistan",10172.751311348
"118","Montane Grasslands & Shrublands",10,"PAK","Pakistan",100145.478367157
"119","Deserts & Xeric Shrublands",13,"PAK","Pakistan",263302.861602156
"120","Tropical & Subtropical Coniferous Forests",3,"PAK","Pakistan",0
"121","Temperate Broadleaf & Mixed Forests",4,"PAK","Pakistan",0
"122","Tropical & Subtropical Moist Broadleaf Forests",1,"CXR","Christmas Island",0
"123","Tropical & Subtropical Moist Broadleaf Forests",1,"CCK","Cocos Islands",0
"124","Tropical & Subtropical Dry Broadleaf Forests",2,"TLS","East Timor",9251.74253703431
"125","Tropical & Subtropical Moist Broadleaf Forests",1,"BRN","Brunei",0
"126","Tropical & Subtropical Moist Broadleaf Forests",1,"SGP","Singapore",0
"127","Tropical & Subtropical Moist Broadleaf Forests",1,"S--","Spratly islands",0
"128","Tropical & Subtropical Moist Broadleaf Forests",1,"P--","Paracel Islands",0
"129","Tropical & Subtropical Moist Broadleaf Forests",1,"IDN","Indonesia",42979.7310127451
"130","Tropical & Subtropical Dry Broadleaf Forests",2,"IDN","Indonesia",165846.632265
"131","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"IDN","Indonesia",0
"132","Montane Grasslands & Shrublands",10,"IDN","Indonesia",5312.51565710784
"133","Tropical & Subtropical Coniferous Forests",3,"IDN","Indonesia",0
"134","Tropical & Subtropical Moist Broadleaf Forests",1,"KHM","Cambodia",4102.64379375
"135","Tropical & Subtropical Dry Broadleaf Forests",2,"KHM","Cambodia",23243.6837375
"136","Tropical & Subtropical Moist Broadleaf Forests",1,"LAO","Laos",13160.2571125
"137","Tropical & Subtropical Dry Broadleaf Forests",2,"LAO","Laos",0
"138","Tropical & Subtropical Moist Broadleaf Forests",1,"MMR","Myanmar",0
"139","Tropical & Subtropical Coniferous Forests",3,"MMR","Myanmar",0
"140","Tropical & Subtropical Dry Broadleaf Forests",2,"MMR","Myanmar",0
"141","Temperate Broadleaf & Mixed Forests",4,"MMR","Myanmar",0
"142","Temperate Conifer Forests",5,"MMR","Myanmar",0
"143","Montane Grasslands & Shrublands",10,"MMR","Myanmar",0
"144","Tropical & Subtropical Moist Broadleaf Forests",1,"MYS","Malaysia",85.3392625
"145","Montane Grasslands & Shrublands",10,"MYS","Malaysia",0
"146","Tropical & Subtropical Moist Broadleaf Forests",1,"MYS","Malaysia",0
"147","Montane Grasslands & Shrublands",10,"MYS","Malaysia",0
"148","Tropical & Subtropical Moist Broadleaf Forests",1,"PHL","Philippines",0
"149","Tropical & Subtropical Coniferous Forests",3,"PHL","Philippines",0
"150","Tropical & Subtropical Moist Broadleaf Forests",1,"THA","Thailand",0
"151","Tropical & Subtropical Dry Broadleaf Forests",2,"THA","Thailand",0
"152","Tropical & Subtropical Moist Broadleaf Forests",1,"VNM","Vietnam",7652.32544526961
"153","Tropical & Subtropical Dry Broadleaf Forests",2,"VNM","Vietnam",0
"154","Tropical & Subtropical Moist Broadleaf Forests",1,"GNQ","Equatorial Guinea",85.45614375
"155","Tropical & Subtropical Moist Broadleaf Forests",1,"STP","Sao Tome and Principe",0
"156","Tropical & Subtropical Moist Broadleaf Forests",1,"AGO","Angola",0
"157","Tropical & Subtropical Dry Broadleaf Forests",2,"AGO","Angola",8809.6696562255
"158","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"AGO","Angola",31235532.732405
"159","Montane Grasslands & Shrublands",10,"AGO","Angola",1053543.60728451
"160","Deserts & Xeric Shrublands",13,"AGO","Angola",2403543.44576396
"161","Tropical & Subtropical Moist Broadleaf Forests",1,"COD","Democratic Republic of the Congo",420108.593534048
"162","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"COD","Democratic Republic of the Congo",3763205.84297515
"163","Montane Grasslands & Shrublands",10,"COD","Democratic Republic of the Congo",0
"164","Tropical & Subtropical Moist Broadleaf Forests",1,"CAF","Central African Republic",1368.44950985294
"165","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"CAF","Central African Republic",1062344.18891937
"166","Tropical & Subtropical Moist Broadleaf Forests",1,"COG","Republic of Congo",96762.009949657
"167","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"COG","Republic of Congo",541557.510188928
"168","Tropical & Subtropical Moist Broadleaf Forests",1,"CMR","Cameroon",406.415003848039
"169","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"CMR","Cameroon",498996.503719808
"170","Tropical & Subtropical Moist Broadleaf Forests",1,"GAB","Gabon",49313.5078227207
"171","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"GAB","Gabon",239894.732852964
"172","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"TCD","Chad",28613364.5241922
"173","Deserts & Xeric Shrublands",13,"TCD","Chad",7740.79105850489
