,BIOME_NAME,crop_C_perBiome,graze_C_perBiome,,Gt CO2e/year tic,Gt CO2e/year TIP
10,"Tropical & Subtropical Grasslands, Savannas & Shrublands",3797829455,6631138566,,0.443080103,0.773632833
11,Tropical & Subtropical Moist Broadleaf Forests,1586534612,1947635473,,0.185095705,0.227224139
7,"Temperate Grasslands, Savannas & Shrublands",2418034597,1381370121,,0.282104036,0.161159847
4,Montane Grasslands & Shrublands,428952785.8,818595440.8,,0.050044492,0.095502801
5,Temperate Broadleaf & Mixed Forests,3962771486,542522970,,0.46232334,0.063294346
9,Tropical & Subtropical Dry Broadleaf Forests,2802468803,360809875.9,,0.326954694,0.042094486
2,Deserts & Xeric Shrublands,45287112.16,209742329.1,,0.005283496,0.024469938
6,Temperate Conifer Forests,45299719.89,197399295,,0.005284967,0.023029918
3,"Mediterranean Forests, Woodlands & Scrub",119809372.5,174804647.6,,0.01397776,0.020393876
8,Tropical & Subtropical Coniferous Forests,10614857.71,28395478,,0.0012384,0.003312806
1,Boreal Forests/Taiga,12508470.75,1854631.258,,0.001459322,0.000216374
,,,,,,
,,12292414196,,,,
