"","continent","biome","repTree","name","id","institution","countryExpertise","reasonImportance","reason","crop","b_or_f"
"1","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Top","acts as windbreak","corn","field"
"2","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Top","acts as windbreak","corn","field"
"3","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Top","acts as windbreak","corn","field"
"4","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Top","improves microclimate","corn","field"
"5","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Top","acts as windbreak","corn","field"
"6","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Top","other cultural/historical reason","corn","field"
"7","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Top","improves microclimate","corn","field"
"8","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Top","improves microclimate","corn","field"
"9","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Top","acts as windbreak","corn","field"
"10","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Top","improves microclimate","corn","field"
